,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
88470,3.210526315789474,5.5964912280701755,9.75438596491228,5.824561403508772,371.7368421052632,454.6140350877193,12903.82456140351,149.40350877192984,130.66666666666666,2.0,19.0,454.0,10.0,28.860285320000003,36350.0,26.0,1785.0,26.0,5586.0,1.0,2.0,1.0,17.0,20.0,70.0,45.0,645390.0,739.0,1.0,1560.1246157999997,21.0,19.0,9.0,29.463301829881352,462.0,9868.0
95560,8.0,4.166666666666667,13.333333333333334,12.0,479.1666666666667,512.0,17750.0,0.0,149.0,2.0,0.0,33.0,1.0,3.43690675,21102.0,11.0,210.0,11.0,706.0,2.0,0.0,0.0,1.0,2.0,31.0,3.0,78940.0,131.0,2.0,117.16591650000001,0.0,0.0,1.0,3.536295998391313,44.0,2609.0
431070,7.714285714285714,6.428571428571429,13.0,5.428571428571429,380.57142857142856,410.2857142857143,12694.142857142857,700.2857142857143,133.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883737,3.7142857142857144,8.857142857142858,14.714285714285714,1.5714285714285714,248.42857142857142,309.0,8689.857142857143,0.0,35.42857142857143,1.0,44.0,53.0,45.0,3.8274678499999997,3708.0,4.0,57.0,4.0,178.0,0.0,0.0,0.0,8.0,2.0,0.0,17.0,54985.0,184.0,0.0,305.29115,4.0,40.0,21.0,2.1431731349286145,55.0,1093.0
2503633,3.857142857142857,9.714285714285714,13.571428571428571,7.857142857142857,249.28571428571428,287.7142857142857,9818.714285714286,446.42857142857144,33.0,1.0,19.0,40.0,13.0,4.61419717,2156.0,2.0,28.0,2.0,196.0,0.0,0.0,1.0,5.0,3.0,2.0,3.0,49270.0,262.0,0.0,176.885077,4.0,13.0,11.0,2.511361351297004,63.0,1563.0
3505786,5.5,6.928571428571429,16.071428571428573,10.642857142857142,390.2857142857143,450.7142857142857,18392.5,1346.7142857142858,152.0,1.0,8.0,129.0,6.0,8.422561550000001,11606.0,5.0,639.0,5.0,1501.0,1.0,4.0,0.0,6.0,3.0,38.0,16.0,185275.0,444.0,1.0,460.0437093,9.0,8.0,6.0,7.501910315704805,137.0,1945.0
4022514,3.0,7.0,18.8,1.6,309.0,380.6,10033.6,61.0,98.8,1.0,38.0,64.0,57.0,3.09215786,2270.0,3.0,258.0,3.0,201.0,0.0,0.0,0.0,6.0,6.0,3.0,12.0,58620.0,193.0,0.0,261.332241,3.0,25.0,33.0,2.008244520410215,35.0,907.0
4897705,3.4375,6.75,16.25,4.3125,295.9375,413.1875,11058.25,476.5625,46.3125,2.0,155.0,187.0,137.0,9.41435536,7837.0,1.0,191.0,1.0,512.0,0.0,4.0,1.0,24.0,9.0,8.0,26.0,145460.0,945.0,0.0,636.7514486,8.0,72.0,39.0,5.8079630002010845,150.0,3074.0
5178461,3.75,7.083333333333333,15.5,6.666666666666667,268.9166666666667,374.8333333333333,9568.333333333334,33.833333333333336,55.583333333333336,4.0,130.0,113.0,92.0,7.20139538,15667.0,11.0,73.0,11.0,561.0,0.0,0.0,0.0,19.0,16.0,4.0,24.0,103705.0,169.0,0.0,402.8170345,5.0,96.0,4.0,3.901065755077418,86.0,2347.0
5571849,3.977777777777778,6.711111111111111,9.511111111111111,2.688888888888889,271.44444444444446,281.8888888888889,7156.333333333333,781.2666666666667,52.06666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7353870,5.375,6.5,6.25,6.0,355.5,388.25,15262.75,10.0,96.75,0.0,10.0,53.0,14.0,4.90896724,689.0,0.0,259.0,0.0,544.0,0.0,0.0,0.0,4.0,1.0,6.0,7.0,79435.0,273.0,0.0,110.68569612000002,3.0,8.0,11.0,4.6102955962195855,55.0,3343.0
7583514,4.8,10.4,12.8,4.0,317.2,362.0,11796.6,478.4,95.4,0.0,1.0,30.0,0.0,2.8588296200000003,4154.0,3.0,129.0,3.0,334.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,43425.0,286.0,0.0,243.332924,4.0,1.0,0.0,2.330585159863262,34.0,649.0
9001808,7.833333333333333,8.666666666666666,14.333333333333334,10.333333333333334,459.1666666666667,525.5,20369.0,1462.0,212.5,0.0,0.0,16.0,0.0,3.2482366899999997,10659.0,7.0,280.0,7.0,953.0,6.0,1.0,1.0,0.0,3.0,42.0,3.0,98995.0,200.0,6.0,85.68129700000001,8.0,0.0,0.0,3.8343052483410416,60.0,1062.0
9876019,4.166666666666667,6.0,12.166666666666666,7.166666666666667,374.3333333333333,404.5,15050.5,800.5,148.66666666666666,0.0,4.0,34.0,1.0,3.27621163,3801.0,4.0,292.0,4.0,605.0,0.0,0.0,0.0,3.0,0.0,23.0,4.0,73085.0,51.0,0.0,175.33463,2.0,4.0,1.0,2.9730544942690527,39.0,947.0
11582420,4.625,6.1875,16.4375,9.3125,404.125,483.5,15896.8125,627.5625,181.5,2.0,4.0,54.0,0.0,8.18639788,46058.0,13.0,811.0,13.0,2026.0,1.0,0.0,0.0,6.0,4.0,61.0,2.0,222260.0,154.0,1.0,623.849588,7.0,4.0,0.0,7.92720691735371,139.0,3701.0
11760391,6.214285714285714,4.857142857142857,12.714285714285714,20.285714285714285,478.14285714285717,572.5,16267.642857142857,99.28571428571429,263.64285714285717,1.0,0.0,117.0,0.0,8.65874517,56944.0,29.0,1162.0,29.0,2576.0,5.0,6.0,0.0,7.0,1.0,246.0,16.0,242895.0,600.0,5.0,101.71695434000002,10.0,0.0,0.0,8.98934244922582,116.0,2999.0
11767812,8.666666666666666,5.666666666666667,13.666666666666666,11.333333333333334,422.0,417.44444444444446,11269.888888888889,827.3333333333334,95.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12692042,3.0,10.0,15.5,2.75,278.375,347.5,9942.625,1849.0,44.875,3.0,113.0,21.0,123.0,4.07481452,2687.0,1.0,28.0,1.0,299.0,0.0,0.0,1.0,23.0,16.0,2.0,8.0,73155.0,522.0,0.0,142.720747,7.0,51.0,67.0,2.5218178162075207,89.0,2683.0
12929500,2.25,9.333333333333334,12.166666666666666,0.4166666666666667,215.83333333333334,294.75,10028.583333333334,274.1666666666667,11.583333333333334,1.0,76.0,51.0,113.0,6.986633489999999,4820.0,1.0,3.0,1.0,98.0,0.0,0.0,0.0,12.0,12.0,0.0,4.0,76130.0,93.0,0.0,358.65691699999996,5.0,43.0,37.0,3.1807761914337425,69.0,1888.0
14353349,7.733333333333333,5.666666666666667,12.2,14.866666666666667,531.1333333333333,560.2666666666667,22734.866666666665,70.2,255.66666666666666,2.0,9.0,123.0,9.0,8.85167251,67866.0,26.0,840.0,26.0,3054.0,4.0,2.0,1.0,11.0,3.0,93.0,14.0,260080.0,120.0,4.0,324.79871330000003,10.0,8.0,6.0,10.523426503116829,93.0,5190.0
16446200,4.842105263157895,5.2631578947368425,11.894736842105264,11.263157894736842,459.2105263157895,539.7368421052631,18910.263157894737,286.10526315789474,197.31578947368422,1.0,3.0,126.0,0.0,10.353558510000001,50991.0,26.0,953.0,26.0,2803.0,2.0,0.0,1.0,10.0,8.0,80.0,1.0,248100.0,202.0,2.0,421.964167,14.0,3.0,0.0,11.73215362959984,138.0,3122.0
16769223,8.555555555555555,8.0,16.333333333333332,7.555555555555555,721.7777777777778,814.2222222222222,8637.0,301.0,174.44444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19891058,6.125,4.375,9.375,10.75,459.125,507.375,18688.75,48.125,233.875,2.0,1.0,37.0,0.0,4.843999080000001,6385.0,5.0,360.0,5.0,1338.0,0.0,0.0,0.0,5.0,2.0,54.0,1.0,113840.0,225.0,0.0,184.6422058,4.0,1.0,0.0,4.726121053689925,64.0,1439.0
20130815,4.733333333333333,8.733333333333333,17.6,6.466666666666667,379.0,478.6,16766.8,987.8666666666667,149.4,3.0,13.0,61.0,20.0,8.66939238,13986.0,7.0,649.0,7.0,1463.0,0.0,3.0,0.0,12.0,10.0,49.0,33.0,187970.0,226.0,0.0,652.8388909999999,11.0,12.0,17.0,6.822843354112206,148.0,4293.0
20603135,6.7105263157894735,3.8684210526315788,10.105263157894736,14.447368421052632,543.7368421052631,566.3421052631579,17832.052631578947,129.0,240.26315789473685,2.0,5.0,310.0,1.0,18.539837640000002,92657.0,55.0,1818.0,53.0,5919.0,6.0,2.0,2.0,11.0,11.0,181.0,35.0,495490.0,1700.0,6.0,563.486976,14.0,5.0,1.0,22.526643876935445,215.0,5905.0
20969644,3.75,5.625,12.0,2.625,288.875,360.25,11772.875,32.0,67.0,2.0,29.0,84.0,26.0,5.8227869000000005,2974.0,0.0,53.0,0.0,455.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,79620.0,356.0,0.0,370.887519,5.0,18.0,19.0,3.168912125477579,84.0,2928.0
