,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
88470,3.210526315789474,5.5964912280701755,9.75438596491228,5.824561403508772,371.7368421052632,454.6140350877193,12903.82456140351,149.40350877192984,130.66666666666666,2.0,19.0,454.0,10.0,28.860285320000003,36350.0,26.0,1785.0,26.0,5586.0,1.0,2.0,1.0,17.0,20.0,70.0,45.0,645390.0,739.0,1.0,1560.1246157999997,21.0,19.0,9.0,29.463301829881363,462.0,9868.0
95560,8.0,4.166666666666667,13.333333333333334,12.0,479.1666666666667,512.0,17750.0,0.0,149.0,2.0,0.0,33.0,1.0,3.4369067500000003,21102.0,11.0,210.0,11.0,706.0,2.0,0.0,0.0,1.0,2.0,31.0,3.0,78940.0,131.0,2.0,117.16591650000001,0.0,0.0,1.0,3.536295998391313,44.0,2609.0
431070,7.714285714285714,6.428571428571429,13.0,5.428571428571429,380.57142857142856,410.2857142857143,12694.142857142857,700.2857142857143,133.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883737,3.7142857142857144,8.857142857142858,14.714285714285714,1.5714285714285714,248.42857142857142,309.0,8689.857142857143,0.0,35.42857142857143,1.0,44.0,53.0,45.0,3.82746785,3708.0,4.0,57.0,4.0,178.0,0.0,0.0,0.0,8.0,2.0,0.0,17.0,54985.0,184.0,0.0,305.29114999999996,4.0,40.0,21.0,2.143173134928614,55.0,1093.0
1296625,3.1785714285714284,6.017857142857143,13.205357142857142,3.4107142857142856,274.26785714285717,370.07142857142856,11223.94642857143,1717.4375,57.875,16.0,321.0,749.0,238.0,75.93142321999999,31574.0,23.0,1180.0,23.0,4939.0,4.0,11.0,2.0,87.0,62.0,70.0,116.0,986260.0,6831.0,4.0,4825.6448559,56.0,281.0,140.0,39.78483812587976,795.0,16907.0
1522705,9.105263157894736,15.052631578947368,22.894736842105264,10.68421052631579,721.3157894736842,756.3684210526316,9912.578947368422,2591.5263157894738,90.26315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434347,6.357142857142857,8.380952380952381,13.821428571428571,3.3333333333333335,372.5,469.7142857142857,14552.452380952382,217.1904761904762,88.10714285714286,12.0,178.0,868.0,101.0,48.66709823,96068.0,49.0,1904.0,49.0,4618.0,12.0,3.0,4.0,27.0,10.0,188.0,26.0,843940.0,4753.0,12.0,3370.484284630001,19.0,141.0,36.0,39.77297405992358,811.0,26455.0
2503633,3.857142857142857,9.714285714285714,13.571428571428571,7.857142857142857,249.28571428571428,287.7142857142857,9818.714285714286,446.42857142857144,33.0,1.0,19.0,40.0,13.0,4.61419717,2156.0,2.0,28.0,2.0,196.0,0.0,0.0,1.0,5.0,3.0,2.0,3.0,49270.0,262.0,0.0,176.885077,4.0,13.0,11.0,2.5113613512970034,63.0,1563.0
3423212,19.181818181818183,7.363636363636363,13.636363636363637,12.818181818181818,797.5454545454545,851.3636363636364,18383.454545454544,108.81818181818181,184.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3505786,5.5,6.928571428571429,16.071428571428573,10.642857142857142,390.2857142857143,450.7142857142857,18392.5,1346.7142857142858,152.0,1.0,8.0,129.0,6.0,8.422561550000001,11606.0,5.0,639.0,5.0,1501.0,1.0,4.0,0.0,6.0,3.0,38.0,16.0,185275.0,444.0,1.0,460.04370930000005,9.0,8.0,6.0,7.501910315704806,137.0,1945.0
