,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, ","0,302658"
1,"deaths, gold_per_min, hero_healing, necronomicon_kills, obs_placed, ","0,288972"
2,"deaths, gold_per_min, hero_healing, lane_efficiency, sentry_uses, ","0,285978"
3,"deaths, gold_per_min, gold_spent, hero_healing, sentry_uses, ","0,279397"
4,"camps_stacked, deaths, gold_per_min, hero_healing, necronomicon_kills, obs_placed, ","0,276449"
5,"deaths, gold_per_min, hero_healing, necronomicon_kills, sen_placed, ","0,275534"
6,"deaths, hero_healing, sentry_uses, xp_per_min, ","0,273240"
7,"deaths, gold_per_min, hero_healing, lane_efficiency, necronomicon_kills, sentry_uses, ","0,272467"
8,"camps_stacked, deaths, gold_per_min, hero_healing, necronomicon_kills, ","0,271477"
9,"deaths, hero_healing, lane_efficiency, sentry_uses, xp_per_min, ","0,266779"
