File output_ga/std/ga_setpack_cosine_log,csv
elapsed_time;max_gen_reached
171,911072;False
corr_threshold;cxpb;db;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;std;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,130406;0;1;1;0;0;1;0;1;0;initial;0
0,163692;0;1;0;0;1;0;1;1;0;initial;0
0,113195;0;1;1;1;0;0;1;1;0;initial;0
0,184474;0;1;0;0;0;1;0;1;0;initial;0
0,117695;1;1;0;0;0;0;0;1;1;initial;0
0,095562;1;1;1;0;0;0;0;1;1;initial;0
0,065758;1;0;1;0;0;0;0;1;1;initial;0
0,043808;1;0;1;1;0;0;0;1;0;initial;0
0,060472;0;1;1;0;0;1;0;0;0;initial;0
0,064796;0;0;1;0;0;1;0;1;0;initial;0
0,108130;1;1;1;1;0;0;0;1;0;initial;0
0,098600;0;1;0;1;0;0;1;1;0;initial;0
-0,024022;1;1;0;1;0;0;0;0;0;initial;0
-0,033749;0;1;0;1;0;0;1;0;0;initial;0
0,118905;0;1;1;0;1;0;1;1;0;initial;0
0,005950;1;1;0;0;0;0;0;0;1;initial;0
0,083731;0;0;1;0;1;0;1;1;0;initial;0
0,074488;1;1;0;0;0;0;0;1;0;initial;0
-0,013156;0;0;1;0;1;0;1;0;0;initial;0
-0,110854;0;0;0;0;1;0;1;1;0;initial;0
0,068928;1;1;1;0;0;0;0;0;1;initial;0
-0,083314;1;0;1;1;0;0;0;0;0;initial;0
0,097518;0;1;1;0;0;0;0;0;1;crossover;1
-0,582580;1;1;0;1;0;0;1;1;0;crossover;1
-0,568249;0;1;1;1;0;1;0;1;0;crossover;1
0,034448;0;1;1;0;0;0;1;1;0;crossover;1
0,169698;0;1;1;0;1;0;0;1;0;crossover;1
-0,590138;0;1;1;0;0;1;1;1;0;crossover;1
0,147110;0;1;1;0;0;0;0;1;1;crossover;1
-0,584477;1;1;1;0;0;1;0;1;0;crossover;1
-1,049557;0;0;1;0;1;0;1;1;1;crossover;1
0,093745;0;1;1;1;0;0;0;1;0;crossover;1
-0,568010;0;1;1;0;1;0;0;1;1;crossover;2
0,076421;1;1;1;0;0;0;0;1;0;crossover;2
-0,538741;0;1;0;0;0;1;0;1;1;crossover;2
-0,576942;0;1;1;1;0;1;0;0;0;crossover;2
-0,597714;1;1;0;0;0;1;0;1;0;crossover;2
-0,076941;0;1;1;0;0;0;0;1;0;crossover;2
0,137250;0;1;1;0;1;0;1;0;0;crossover;3
-0,995928;1;1;1;0;1;0;1;1;0;crossover;3
0,162101;0;1;0;0;0;0;0;1;1;crossover;4
-0,033951;1;0;1;0;0;0;0;1;0;crossover;4
-0,572597;1;1;1;0;1;0;0;1;0;crossover;4
-0,565645;0;1;1;1;0;0;0;1;1;crossover;5
0,039596;0;1;1;0;0;0;1;0;0;crossover;5
-0,602476;1;1;0;0;0;0;1;1;0;crossover;5
-0,609707;0;1;1;1;0;0;0;0;1;crossover;5
-0,555528;0;1;1;0;0;1;0;1;1;crossover;6
-0,726946;1;1;0;0;0;0;1;0;0;crossover;6
0,043552;0;0;1;0;0;0;0;1;1;crossover;7
0,098866;0;1;1;0;1;0;0;0;0;crossover;9
0,035573;0;0;1;0;1;0;0;1;0;crossover;10
0,186726;0;1;0;0;1;0;0;1;0;crossover;10
-0,547772;0;1;0;0;0;1;1;1;0;crossover;10
-1,996478;1;0;1;1;1;0;1;0;1;diversification;11
-1,658665;1;0;1;1;0;1;0;0;1;diversification;11
-2,125981;1;0;0;1;0;1;1;1;1;diversification;11
-2,122400;1;0;1;1;0;1;1;0;1;diversification;11
-0,537917;0;1;0;0;1;0;0;1;1;crossover;11
0,044822;1;1;1;1;0;0;0;0;0;crossover;11
-2,206987;1;0;0;1;0;1;1;0;1;diversification;11
-1,730753;1;0;0;1;0;1;0;0;1;diversification;11
-2,124371;1;0;0;1;1;0;1;0;1;diversification;11
-1,876221;1;0;1;0;1;1;0;0;1;diversification;11
0,067292;0;1;1;1;0;0;0;0;0;crossover;12
0,063297;0;1;1;1;0;0;1;0;0;crossover;12
-1,070723;0;1;0;0;1;0;1;0;1;crossover;12
-1,136620;1;0;0;1;0;1;0;1;0;crossover;12
-2,617704;0;1;0;0;1;0;0;0;0;mutation;12
-0,530460;0;1;0;1;0;1;0;1;0;mutation;12
-0,974978;0;1;0;0;1;0;1;1;1;mutation;12
-2,780356;0;1;0;0;0;0;0;1;0;mutation;12
-0,625050;0;0;1;0;1;0;0;1;1;crossover;13
0,050172;0;1;0;0;1;0;1;0;0;crossover;13
-0,606269;0;1;1;0;1;0;0;0;1;crossover;14
-0,542899;1;1;0;0;1;0;0;1;0;crossover;14
-0,969683;1;1;0;0;0;1;0;1;1;mutation;14
-0,589107;1;1;1;1;0;0;0;1;1;crossover;14
-0,687241;0;1;0;0;0;1;0;0;1;crossover;15
-0,526557;0;1;0;1;0;0;0;1;1;crossover;15
-0,542229;0;1;1;0;1;1;0;1;0;crossover;15
0,052201;0;1;0;0;0;0;1;1;0;crossover;15
0,062833;0;1;0;1;0;0;0;1;0;crossover;17
-1,005502;0;1;1;1;0;1;1;1;0;mutation;18
-0,668374;1;0;1;0;0;1;0;1;0;crossover;18
-0,634591;1;1;1;0;0;0;1;1;0;crossover;19
-1,033494;1;1;1;0;1;0;1;0;0;crossover;20
-1,949949;1;0;0;0;1;1;0;0;1;diversification;21
-1,271612;0;0;1;1;0;1;0;1;1;diversification;21
-2,274249;1;0;0;0;1;1;1;1;1;diversification;21
-2,634010;1;0;0;1;1;1;1;0;1;diversification;21
-1,954919;0;0;0;0;1;1;1;0;1;diversification;21
-1,069536;1;0;1;0;1;0;1;1;0;crossover;22
-1,507225;1;0;0;0;1;1;0;1;0;crossover;22
-1,274143;0;1;1;0;0;1;1;1;1;crossover;22
-2,694210;0;0;0;0;0;1;0;1;0;mutation;23
-0,599028;1;1;1;1;0;0;1;1;0;crossover;24
-1,001803;1;1;1;1;0;1;0;1;0;crossover;28
-0,961065;0;1;0;0;1;1;1;1;0;mutation;29
-2,141768;1;0;0;1;1;1;1;1;0;diversification;31
-1,631685;1;0;0;1;0;1;0;1;1;diversification;31
-0,515081;0;1;0;1;1;0;0;1;0;mutation;31
-0,981589;1;1;0;0;1;0;1;1;0;crossover;31
-2,527928;1;0;1;1;0;1;1;1;1;diversification;31
-2,133435;1;0;1;1;1;1;1;0;0;diversification;31
-0,577702;0;1;1;1;1;0;1;1;0;crossover;33
-0,663124;0;1;0;0;1;0;0;0;1;crossover;34
-0,671975;0;1;0;0;0;1;1;0;0;crossover;35
-0,657394;1;0;1;0;1;0;0;1;0;crossover;38
-1,420910;1;0;1;1;1;0;1;0;0;crossover;42
-0,549435;0;1;0;0;1;1;0;1;0;crossover;42
-0,617239;0;0;1;0;0;1;1;1;0;crossover;42
-1,650842;0;0;1;1;1;0;1;0;1;diversification;51
-1,856767;1;0;1;0;0;1;1;0;1;diversification;51
-1,932662;1;0;0;0;0;1;1;0;1;diversification;51
-0,739162;0;0;1;1;1;0;1;0;0;crossover;52
-1,366778;0;1;0;0;0;1;1;0;1;crossover;52
-0,585440;1;1;1;0;1;0;0;0;0;crossover;53
-0,824518;1;0;0;0;1;0;0;1;0;crossover;59
-1,643206;0;0;1;1;1;1;1;0;0;diversification;61
-2,027490;1;0;0;0;1;1;1;0;0;diversification;61
-1,644652;1;0;1;1;0;1;1;0;0;diversification;61
-0,537846;0;1;0;1;1;0;1;1;0;crossover;62
-1,827990;0;0;1;1;0;1;1;0;1;crossover;62
-0,567583;0;1;1;1;1;0;0;1;0;crossover;63
-0,975157;0;1;1;0;1;0;1;1;1;crossover;63
-0,589326;0;1;0;0;0;0;1;1;1;mutation;64
-0,557460;1;1;0;1;0;0;0;1;1;crossover;66
-0,644909;0;1;0;1;1;0;1;0;0;crossover;68
