,all
0,1260.9189749648208
1,1092.521942875791
2,1022.2225534032569
3,971.6318277468341
4,924.0599511581156
5,890.5965136793834
6,862.4476700221288
7,842.4034849565437
8,820.9612913736869
9,806.2350791162623
10,792.7247644154138
11,778.9139504493744
12,766.9519715053183
13,755.1880562430276
14,744.4924138546305
15,736.4803353311266
16,727.1702099648357
17,715.2158933268001
18,706.8532312931644
19,701.3371902972442
20,692.3153649290125
21,682.8730964612422
22,680.0763825369277
23,674.5990604871122
24,664.7868941720136
25,659.993784831842
26,658.4461780001444
27,652.7412452374148
28,649.3977971100528
29,641.4866145556969
30,634.9258875983373
31,632.8712437270816
32,628.7896556768213
33,621.6325439579753
34,618.5181100680046
35,613.9334271366118
36,614.0836395773845
37,609.4099539704887
38,604.5788872596133
39,602.5158939448037
40,599.4809359520999
41,596.9675850479089
42,593.3055206148064
43,593.1169808014913
44,587.207109474975
45,585.1284849035271
46,583.5443712774595
47,580.4044332864441
48,574.9875120021153
49,573.9443855192609
50,571.7583020869747
51,568.5914811566934
52,566.6780632788864
53,564.2342076336822
54,563.2236146987348
55,560.9170232341202
56,559.3092636083512
57,558.8936551068896
58,555.4248010258772
59,550.4760992093152
60,548.8535813409544
61,548.1988785865362
62,545.1526840478432
63,543.3839551092611
64,540.3719230000623
65,538.1296865930352
66,536.8082573640534
67,535.0277636629196
68,532.2777366891399
69,531.1930879221914
70,530.6443172873885
71,527.4391551574481
72,525.6264749442648
73,522.5978799030914
74,522.8937146274636
75,520.8290299974234
76,517.668086898387
77,518.7933756266029
78,515.8008722229118
79,513.9369796018461
80,511.35527311328826
81,512.3612669507302
82,508.5357145879823
83,509.0943417360114
84,506.9263973884069
85,503.8397589565142
86,503.4781757924762
87,502.46194531275114
88,500.53955008342575
89,496.5914630748008
90,498.4831401299284
91,494.66593738651073
92,495.0106864057854
93,492.94834947059155
94,492.34363757073504
95,489.18542858471375
96,487.97224393791976
97,487.7319240805021
