,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills
95560,6.75,4.0,12.5,9.75,447.125,481.375,16293.875,0.0,139.625,2.0,0.0,41.0,1.0,4.457268709999999,23321.0,15.0,265.0,0.0,2.0,2.0,33.0
431070,7.714285714285714,6.428571428571429,13.0,5.428571428571429,380.57142857142856,410.2857142857143,12694.142857142857,700.2857142857143,133.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883737,3.3,7.9,12.7,1.1,241.2,298.6,7992.1,259.6,37.3,1.0,69.0,62.0,73.0,5.36357896,3720.0,4.0,58.0,0.0,11.0,2.0,0.0
2503633,3.5555555555555554,8.666666666666666,11.0,6.444444444444445,257.22222222222223,293.1111111111111,8973.222222222223,347.22222222222223,35.888888888888886,1.0,23.0,45.0,14.0,6.155863869999999,2372.0,2.0,61.0,1.0,6.0,3.0,2.0
3505786,5.0625,7.25,14.875,9.3125,382.0,440.8125,17182.75,1178.375,147.375,1.0,10.0,144.0,7.0,9.457649300000002,11662.0,5.0,743.0,0.0,6.0,3.0,41.0
4022514,2.5,6.0,16.833333333333332,1.8333333333333333,287.0,349.3333333333333,9152.333333333334,80.83333333333333,83.33333333333333,1.0,42.0,72.0,62.0,3.52965786,2270.0,3.0,258.0,0.0,6.0,6.0,3.0
5178461,3.6923076923076925,6.846153846153846,14.76923076923077,6.6923076923076925,262.0,363.84615384615387,9314.23076923077,51.92307692307692,52.0,5.0,133.0,115.0,93.0,7.80139538,15685.0,11.0,78.0,0.0,19.0,16.0,4.0
5571849,3.977777777777778,6.711111111111111,9.511111111111111,2.688888888888889,271.44444444444446,281.8888888888889,7156.333333333333,781.2666666666667,52.06666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6359015,5.294117647058823,7.647058823529412,8.941176470588236,13.470588235294118,446.1764705882353,471.2352941176471,20552.58823529412,0.0,254.35294117647058,0.0,1.0,68.0,0.0,9.559466700000002,46410.0,18.0,1370.0,2.0,7.0,6.0,256.0
7353870,5.375,6.5,6.25,6.0,355.5,388.25,15262.75,10.0,96.75,0.0,10.0,53.0,14.0,4.90896724,689.0,0.0,259.0,0.0,4.0,1.0,6.0
7583514,4.8,10.4,12.8,4.0,317.2,362.0,11796.6,478.4,95.4,0.0,1.0,30.0,0.0,2.8588296200000003,4154.0,3.0,129.0,0.0,3.0,3.0,5.0
8712306,4.105263157894737,5.947368421052632,10.736842105263158,8.052631578947368,406.10526315789474,468.9736842105263,16355.684210526315,560.2631578947369,164.8421052631579,0.0,7.0,324.0,16.0,22.946034820000005,65771.0,42.0,1135.0,4.0,20.0,11.0,21.0
9001808,7.833333333333333,8.666666666666666,14.333333333333334,10.333333333333334,459.1666666666667,525.5,20369.0,1462.0,212.5,0.0,0.0,16.0,0.0,3.2482366899999997,10659.0,7.0,280.0,1.0,0.0,3.0,42.0
9876019,4.0,5.5,10.75,6.125,359.125,387.25,13061.625,600.375,121.875,0.0,6.0,41.0,1.0,3.70174355,4856.0,4.0,306.0,0.0,3.0,0.0,23.0
11582420,4.625,6.1875,16.4375,9.3125,404.125,483.5,15896.8125,627.5625,181.5,2.0,4.0,54.0,0.0,8.18639788,46058.0,13.0,811.0,0.0,6.0,4.0,61.0
11760391,6.875,4.3125,13.0,21.125,495.875,583.125,16610.5625,86.875,270.125,1.0,0.0,142.0,0.0,10.01961473,77698.0,38.0,1411.0,0.0,9.0,3.0,321.0
11767812,8.666666666666666,5.666666666666667,13.666666666666666,11.333333333333334,422.0,417.44444444444446,11269.888888888889,827.3333333333334,95.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12692042,3.0,10.0,15.5,2.75,278.375,347.5,9942.625,1849.0,44.875,3.0,113.0,21.0,123.0,4.07481452,2687.0,1.0,28.0,1.0,23.0,16.0,2.0
12929500,2.6666666666666665,8.6,11.933333333333334,0.4666666666666667,222.0,294.73333333333335,9928.933333333332,272.3333333333333,11.6,1.0,98.0,72.0,135.0,8.80272549,5997.0,3.0,5.0,0.0,14.0,16.0,0.0
14353349,7.7894736842105265,5.0,11.894736842105264,14.157894736842104,544.3684210526316,557.8421052631579,20323.684210526317,166.78947368421052,239.78947368421052,2.0,10.0,158.0,9.0,10.949123240000002,90711.0,38.0,1062.0,1.0,11.0,3.0,129.0
15272141,3.4,5.6,11.8,8.0,348.2,435.2,14201.6,1104.0,200.8,0.0,0.0,40.0,0.0,3.7724868299999996,1206.0,1.0,282.0,0.0,1.0,2.0,19.0
16446200,5.521739130434782,5.086956521739131,11.73913043478261,9.91304347826087,483.3478260869565,553.0434782608696,19485.08695652174,236.34782608695653,206.69565217391303,1.0,3.0,164.0,0.0,12.79040061,67714.0,33.0,1276.0,2.0,10.0,8.0,125.0
16769223,8.555555555555555,8.0,16.333333333333332,7.555555555555555,721.7777777777778,814.2222222222222,8637.0,301.0,174.44444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19891058,6.125,4.375,9.375,10.75,459.125,507.375,18688.75,48.125,233.875,2.0,1.0,37.0,0.0,4.843999080000001,6385.0,5.0,360.0,0.0,5.0,2.0,54.0
19961875,8.833333333333334,7.333333333333333,13.0,15.583333333333334,479.5,552.9166666666666,27988.166666666668,143.08333333333334,193.66666666666666,3.0,2.0,74.0,2.0,7.25427244,28542.0,17.0,551.0,2.0,11.0,13.0,68.0
20130815,4.75,8.5,17.0,6.8125,386.125,481.8125,16948.25,926.125,155.5625,3.0,13.0,62.0,20.0,9.150873879999999,14503.0,8.0,753.0,0.0,13.0,10.0,69.0
20969644,3.888888888888889,5.333333333333333,12.0,2.3333333333333335,289.0,355.3333333333333,11188.555555555555,28.444444444444443,60.77777777777778,2.0,31.0,101.0,28.0,6.429929769999999,3353.0,0.0,53.0,0.0,5.0,3.0,0.0
21487219,8.75,8.75,8.625,9.25,501.75,578.125,25415.25,145.0,275.625,0.0,22.0,53.0,19.0,3.7641459799999994,25033.0,10.0,721.0,0.0,11.0,23.0,95.0
21604967,4.678571428571429,5.035714285714286,11.928571428571429,3.75,332.2857142857143,395.2857142857143,12382.75,1309.2142857142858,58.92857142857143,3.0,152.0,150.0,125.0,14.348421320000002,16652.0,8.0,410.0,3.0,22.0,9.0,25.0
23467004,4.333333333333333,6.266666666666667,9.533333333333333,10.266666666666667,397.4,447.8666666666667,16406.066666666666,717.3333333333334,147.53333333333333,0.0,10.0,116.0,3.0,8.659993519999999,26716.0,11.0,362.0,0.0,2.0,0.0,19.0
24534272,2.2,8.4,9.0,3.2,211.4,229.6,8548.8,1225.0,14.6,0.0,39.0,7.0,40.0,2.7402244,1194.0,2.0,2.0,0.0,3.0,2.0,0.0
25051015,1.6666666666666667,6.0,14.0,0.3333333333333333,257.5,288.5,6811.333333333333,268.1666666666667,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25273800,7.9,7.0,12.6,15.4,487.3,513.6,20278.9,455.1,245.2,0.0,0.0,47.0,1.0,5.70062013,19342.0,13.0,678.0,1.0,4.0,4.0,70.0
26168855,3.4444444444444446,6.888888888888889,6.333333333333333,3.0,268.22222222222223,306.1111111111111,9664.888888888889,137.55555555555554,86.77777777777777,0.0,9.0,39.0,3.0,4.75953005,5223.0,3.0,267.0,0.0,2.0,2.0,28.0
26698681,3.8,7.6,10.6,7.4,314.8,397.6,12789.0,683.6,85.8,1.0,27.0,43.0,25.0,2.20313063,1951.0,1.0,73.0,1.0,3.0,10.0,0.0
28519224,6.181818181818182,5.545454545454546,13.727272727272727,7.2727272727272725,353.0,423.09090909090907,14998.363636363636,93.27272727272727,99.0909090909091,2.0,28.0,114.0,11.0,6.43972803,24178.0,11.0,115.0,1.0,1.0,2.0,9.0
28989415,9.0,6.25,8.75,9.875,491.5,561.625,24372.625,0.0,245.125,2.0,5.0,69.0,6.0,4.99326177,17670.0,13.0,526.0,0.0,11.0,6.0,75.0
29071850,8.2,4.8,17.4,8.0,417.4,499.4,20149.6,251.4,193.4,0.0,0.0,37.0,0.0,3.59758038,7960.0,8.0,224.0,0.0,0.0,1.0,27.0
29086891,5.2,9.4,16.0,3.6,385.4,457.8,7169.6,116.2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29203166,6.483870967741935,8.741935483870968,13.612903225806452,12.35483870967742,482.19354838709677,556.6451612903226,13632.258064516129,291.7741935483871,126.64516129032258,2.0,34.0,128.0,7.0,11.368447370000002,55006.0,23.0,737.0,0.0,6.0,7.0,45.0
29750839,3.75,7.75,9.416666666666666,9.5,322.0,436.0,12279.083333333334,1311.0833333333333,103.33333333333333,0.0,76.0,36.0,75.0,6.61642784,6701.0,4.0,165.0,0.0,13.0,12.0,16.0
29903942,2.8,6.7,10.3,0.8,222.4,288.9,7223.7,0.0,39.5,2.0,104.0,62.0,79.0,5.51643488,4726.0,1.0,70.0,1.0,10.0,10.0,6.0
29904110,4.113207547169812,5.584905660377358,9.169811320754716,4.849056603773585,333.9622641509434,367.49056603773585,7870.471698113208,587.3018867924528,81.35849056603773,4.0,49.0,105.0,33.0,11.680318329999999,12767.0,6.0,301.0,2.0,10.0,4.0,49.0
29923238,2.5,6.785714285714286,15.857142857142858,2.4285714285714284,301.07142857142856,365.0,11604.5,202.14285714285714,62.57142857142857,3.0,100.0,166.0,92.0,8.97729347,5495.0,3.0,120.0,0.0,11.0,6.0,1.0
