,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,cluster
88470,0.2896227015333715,0.5200895419584431,0.4982917970295248,0.18348387096774194,0.34628972188802054,0.44696954200503214,0.4199919036333636,0.19795866355558744,0.32455597033664224,5
95560,0.5167652859960552,0.3238434163701066,0.6020066889632106,0.39,0.47329573055540564,0.5307149651236525,0.5697700522100724,0.0,0.3467176959003633,3
140746,0.23947093630351543,0.4956301025748376,0.3596301396812906,0.10941176470588236,0.18384138887918747,0.23977955164310508,0.12437382964050803,0.4958421506210829,0.13107085075857017,6
153671,0.32381442414887224,0.524988395481974,0.44864524259609323,0.10956521739130436,0.2520997557031923,0.3156240522731659,0.20431778136303638,0.0019142840944335686,0.1981002233704113,2
182666,0.126232741617357,0.41637010676156566,0.4584169453734671,0.024,0.17482592972418634,0.2612555485098288,0.1028738464318136,0.5144895297998006,0.09963674104826155,6
261696,0.5789713245334546,0.661921708185053,0.5371751993825573,0.28,0.5028627657763515,0.5603629091263843,0.5252804995931982,0.27441424112437385,0.49199632749191646,3
295911,0.48389217619986835,0.2756524317912217,0.4823485693050911,0.5,0.5336805742969721,0.5180987106320019,0.3994785445572025,0.019687555930556613,0.4577495243037536,9
308675,0.3471400394477317,0.5088967971530247,0.3959866220735786,0.16,0.32833162411615485,0.4102726696258719,0.2807433372129473,0.0026846667178031755,0.25064867669953295,5
400183,0.20876953421332117,0.5373665480427045,0.4507332132750193,0.07692307692307693,0.15465993498054814,0.18538120091702848,0.1251108244992674,0.6140245809264755,0.08951738453554749,6
423355,0.3655489809335963,0.6129893238434161,0.39390561129691565,0.4533333333333334,0.5079073784206833,0.48361868526738544,0.21377669385566264,0.057093912198614184,0.40088220031136484,5
431070,0.4891518737672584,0.7093712930011858,0.6290598290598293,0.2186666666666667,0.3250931073568306,0.3735996618051152,0.3431794246193942,0.25114162256142775,0.3151703857464107,7
570733,0.6003569080492157,0.42848669716997106,0.4934968413229285,0.2380952380952381,0.4933726067746686,0.5498988434942779,0.42081698761500863,0.22321086139449256,0.48619863098327043,3
758174,0.3288084464555052,0.6061858907263972,0.4303232998885173,0.15588235294117647,0.292760327534695,0.37191801260770646,0.24841293194634678,0.20438999408922115,0.28015201929240824,5
883737,0.24457593688362914,0.7749110320284694,0.6144927536231883,0.044000000000000004,0.13984994872348464,0.2409638554216868,0.23143431491982713,0.13938789598834087,0.08121432278152568,7
956503,0.6416831032215649,0.38167259786476854,0.3730955035302862,0.56,0.4083229880714633,0.4690868738110336,0.3144202433662506,0.17924624785865867,0.37882719252724445,9
1185644,0.5715538023230331,0.36368129695531803,0.3148272017837236,0.5871111111111109,0.5323042046742593,0.5785422391319663,0.3606694988867761,0.09926704337228227,0.5717003978550423,9
1296625,0.21894716209097473,0.5030779602572887,0.5289128011245213,0.11751552795031055,0.2073539138950138,0.3019177067866104,0.23463428716955487,0.8050331664726813,0.15266062202051917,4
1654178,0.29980276134122286,0.747924080664294,0.6401585532020314,0.16888888888888887,0.35002968640362714,0.4506799126329881,0.2407268225327347,0.5019133577084025,0.3156893271060371,0
1887602,0.48490365650128964,0.49288256227757987,0.2730469084984136,0.2230769230769231,0.44650011833042025,0.45262426223111074,0.36102524845757455,0.08008567332031319,0.4901999920162868,5
2109481,0.4125105663567202,0.654295882053889,0.4726867335562988,0.38285714285714284,0.3380009098689943,0.41597970830691183,0.27589353668986166,0.0796195443737056,0.3384239009563348,5
2434347,0.4502885528526554,0.7639877421905887,0.6644370122630993,0.1162962962962963,0.34074893698686004,0.47632342234434827,0.45524068455847577,0.2414062255858682,0.19376213265678757,7
2503633,0.26473811089195703,0.8635824436536177,0.5083612040133779,0.25777777777777783,0.16579406631762653,0.23226238286479248,0.2714195843865857,0.18643518873633164,0.07755290318860635,7
2946314,0.6825918620790415,0.3045670225385527,0.45517981749865816,0.394074074074074,0.6238042976316845,0.6536849150989925,0.7572668045757934,0.2588416444364899,0.5478675354129428,8
3117027,0.2822704361165899,0.7350731514432578,0.6540319583797846,0.5244444444444444,0.1931415411741422,0.2049601916437681,0.37710085853016406,0.1611993215889818,0.07957100847604219,7
3224518,0.6082123005199928,0.7549336784212225,0.49133475220431744,0.22181818181818183,0.36975519757405656,0.41698852827578253,0.42504064888033916,0.05506007377603604,0.27150068405906497,3
3246092,0.4217321140398063,0.5236169524425751,0.37214958954089394,0.36,0.39934346432970064,0.44170461751311485,0.27899274076744845,0.03531557036964722,0.47447752040383084,5
3352452,0.15779092702169625,0.5551601423487542,0.15875139353400228,0.04,0.23279537971609007,0.3611287254280279,0.0726094609827095,0.1009434685893994,0.22885313959522577,2
3505786,0.383629191321499,0.699733096085409,0.750278706800446,0.3725,0.3678415285799104,0.4664116994292961,0.6059958206130786,0.6327088287182634,0.36682667358588483,0
3916428,0.2213247341452469,0.6124793663346448,0.5956755715209823,0.09876543209876544,0.21462884284711883,0.2887707890878469,0.1898462889136532,0.9061654531215524,0.12144326103848677,4
3962943,0.15328261482107636,0.3899339095068631,0.24972129319955413,0.09142857142857143,0.1850966543037575,0.22914213243953263,0.04757447628971047,0.0,0.08747868633701536,2
4022514,0.18145956607495067,0.5551601423487542,0.8725380899293942,0.07333333333333333,0.2140119825120095,0.32139082646374967,0.27871919077614127,0.043402111937818,0.20065732572219339,7
4182536,0.11947027331642715,0.8856126080325366,0.4548494983277592,0.10285714285714288,0.12865393364124944,0.1906422683214059,0.08461460945642205,0.24614558564086825,0.08488397953888355,2
4281729,0.23360754317602345,0.797478517489801,0.6688528156184571,0.22058536585365854,0.2868193684365731,0.3629382742781138,0.18717061595423834,0.6783917069054864,0.11970458313820292,4
5150808,0.6488229641727727,0.24638894703788985,0.37417838244121954,0.5782805429864254,0.7084646182274762,0.70030108526509,0.647844474986065,0.11059693081450162,0.7977842847649621,8
5178461,0.27552723410711577,0.6530249110320283,0.7436754995283423,0.2676923076923077,0.17353052302045663,0.34439783425198767,0.28531726026607074,0.027879231300263745,0.11935651271406332,7
5448108,0.3968399624508221,0.6658705539802459,0.7223603336135307,0.16941176470588232,0.41446231529702715,0.4973889365511584,0.16491563827782518,0.37117886197203426,0.11218291156628715,7
5571849,0.2707614864292542,0.5331637665655087,0.41605624747796,0.06969325153374233,0.19657763615429782,0.21756577488513953,0.17338240018091383,0.388990090026922,0.12244469135723862,6
6103402,0.23793759612126267,0.6957844074811479,0.7063780884887952,0.09726872246696035,0.30935562789775334,0.404533506155389,0.18715509574130207,0.6331201031020148,0.10441694537856429,4
6199147,0.24148872309407424,0.7085331889215531,0.793369201686782,0.09913043478260869,0.2080629680302074,0.3435044525929807,0.32058452824740796,0.8199905953290134,0.12291013289411339,4
6245324,0.42800788954635105,0.4828736654804269,0.2820512820512821,0.355,0.42087224051384464,0.31788998097653776,0.5362544664523199,0.0436258341643016,0.5205630513751947,5
6359015,0.40190277294349686,0.7456562696252875,0.379828185454784,0.5388235294117647,0.4717598163570497,0.5146406057667201,0.7433323183966363,0.0,0.644403064806618,3
6763095,0.3356643356643356,0.9652216111290839,0.758082497212932,0.16727272727272727,0.28260965568678637,0.41943851962875434,0.10300870719502239,0.6194258299804053,0.07713355663537293,4
6922000,0.21356578025597078,0.5774429462274313,0.6781422274042938,0.15287024901703802,0.2566835791566572,0.3327884207035773,0.23493802165212188,0.9414214870449875,0.12955850536726832,4
7353870,0.3874643874643874,0.6708185053380781,0.3488170444692184,0.22222222222222218,0.31728468361490436,0.3895582329317268,0.5315156090784553,0.028636444989900544,0.23554171711929886,5
7396553,0.24601039985655368,0.770705273374312,0.7325428194993414,0.1290909090909091,0.19163677581122393,0.2681155242981496,0.3895748616326408,0.18792667024622228,0.07288767278388453,7
7910302,0.25692479204184887,0.7672004744958477,0.6694133423812062,0.12521739130434784,0.38239138648412074,0.42400953930137025,0.10587084714234686,0.5715616533989658,0.10527364755608702,4
8363146,0.3282051282051282,0.8527876631079476,0.7139650687476774,0.17066666666666666,0.38677605656609265,0.44104840414288726,0.15075455492382106,0.7857124594103958,0.20235253416363952,4
8517055,0.47337278106508873,0.37010676156583616,0.2211817168338908,0.42,0.5932422950288768,0.5611921369689283,0.6197647710897548,0.008913093503106543,0.5757654385054489,9
8591574,0.21872250037930507,0.674021352313167,0.6228488122802504,0.12073846153846153,0.24954100252853437,0.33227647431832597,0.19120717893786282,0.6033478679025966,0.10952057802083752,4
8704322,0.07889546351084813,0.37010676156583616,0.18372352285395765,0.184,0.08155664705564848,0.06943563728598608,0.03497663910861481,0.0,0.046185781006746245,2
8712306,0.3000564445036371,0.5410282523371971,0.4613879060964202,0.22546623794212217,0.372626411058719,0.4213370659826648,0.37455773490749517,0.23827927785055,0.4116322958399592,5
8760696,0.2110453648915187,0.4684163701067614,0.24303232998885177,0.145,0.21603605548658714,0.2049381737476221,0.1942110770394888,0.33155633964869213,0.23417228853139596,2
8944452,0.23076923076923075,0.4539590747330959,0.21962095875139356,0.325,0.36156690235871974,0.33552631578947373,0.3282377597725348,0.050001917619084145,0.46153347171769593,5
9001808,0.6022353714661406,0.8635824436536177,0.7164622816796731,0.41333333333333333,0.4927943002105037,0.6006658211794547,0.7358502484843523,0.7849965482856485,0.5358069538142191,1
9403474,0.23781346858269933,0.4890696492119978,0.6075808249721294,0.10428571428571429,0.18260993607784773,0.3215418063230366,0.29406355014422525,0.8256021323924215,0.0865983393876492,4
9807809,0.6844181459566075,0.5696174377224197,0.6566332218506131,0.275,0.5886678901063312,0.6745798985415346,0.687647714293768,0.5692164608422182,0.42163985469641935,1
9876019,0.29980276134122286,0.49733096085409234,0.4927536231884058,0.245,0.33080099314513955,0.3814996829422955,0.4380409115315554,0.32236135614021627,0.30066165023352365,0
10288378,0.19105496028572944,0.5457824372415117,0.5876645876645876,0.12,0.26346500870169026,0.28641450581843736,0.2304444180926418,0.816312822756023,0.2260200002805089,4
10366616,0.3802132042104772,0.42173446805826387,0.5469075483846533,0.39420974889217136,0.5187195756219575,0.579791294541456,0.45229159884711495,0.48892975781122455,0.47472402974446165,0
10516239,0.7712031558185404,0.8067170818505336,0.8314381270903011,0.5489999999999999,0.6915717601338586,0.8323557387444515,0.96553720880395,0.3330329063434839,0.6701478982874935,1
10574477,0.583826429980276,0.9252669039145903,0.7539204756596063,0.36,0.33081448696496996,0.33830057070386815,0.38564574516607675,0.16387205645470582,0.3597993426742778,3
11354087,0.42603550295857984,0.39323843416370086,0.40847268673355636,0.32799999999999996,0.3895395908673827,0.46163601775523155,0.4551568356885544,0.22196824422796652,0.2833419823559938,5
11473065,0.675495444726214,0.42848669716997106,0.4816053511705686,0.4095238095238094,0.6849462945970746,0.6584533623214663,0.6151670670404382,0.1513768505024162,0.6690019027849853,8
11550182,0.18328373864167546,0.6368898237097073,0.6325001127715378,0.06947976878612716,0.18377256626869518,0.259782971252213,0.2197750641849536,0.9255574729283172,0.09257703879461622,4
11550933,0.32407828857533,0.48398576512455493,0.6572335134208045,0.21538461538461537,0.30842720188000056,0.4284181259450758,0.2867123224721297,0.35772151450605083,0.2764360704163506,0
11582420,0.3491124260355029,0.5768460854092524,0.8478260869565217,0.3725,0.4036676202299347,0.5340837032339886,0.5535879184268985,0.33695923141827105,0.4553710430721329,0
