,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min,Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,Metric_10,KDA
88470,3.2105263157894735,5.596491228070176,9.754385964912279,5.824561403508773,371.73684210526324,454.61403508771934,12903.824561403508,149.40350877192984,130.66666666666666,2.0,19.0,454.0,10.0,28.860285320000006,36350.0,26.0,1785.0,26.0,5586.0,1.0,2.0,1.0,17.0,20.0,70.0,45.0,645390.0,739.0,1.0,1560.1246157999994,21.0,19.0,9.0,29.463301829881352,462.0,9868.0,51.82979489081229,109.53409296448308,132.7719222571885,56.915623151257904,114.79860141779045,56.29679971235623,115427.94376401424,111.32089489310066,114.17977797888878,53.79527701229162,2.316573026751559
95560,8.0,4.166666666666667,13.333333333333336,12.0,479.16666666666674,512.0,17750.0,0.0,149.0,2.0,0.0,33.0,1.0,3.43690675,21102.0,11.0,210.0,11.0,706.0,2.0,0.0,0.0,1.0,2.0,31.0,3.0,78940.0,131.0,2.0,117.1659165,0.0,0.0,1.0,3.536295998391313,44.0,2609.0,35.9991360207355,123.11704519091542,43.91894594529731,36.847826691773314,123.96573586195323,38.639072662256105,19068.26236170332,122.87705095077717,125.75698183243603,35.75914178059727,5.11987712294905
431070,7.7142857142857135,6.428571428571429,13.0,5.428571428571429,380.57142857142856,410.28571428571433,12694.142857142857,700.2857142857142,133.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.68687153755386,172.7528682887155,129.68687153755386,129.68687153755386,172.7528682887155,129.68687153755386,172.7528682887155,172.7528682887155,172.7528682887155,129.68687153755386,3.2221720995451184
883737,3.7142857142857135,8.857142857142858,14.714285714285715,1.5714285714285714,248.42857142857144,309.0,8689.857142857143,0.0,35.42857142857143,1.0,44.0,53.0,45.0,3.82746785,3708.0,4.0,57.0,4.0,178.0,0.0,0.0,0.0,8.0,2.0,0.0,17.0,54985.0,184.0,0.0,305.29115,4.0,40.0,21.0,2.1431731349286145,55.0,1093.0,6.3708958124666335,37.257643865311195,12.354699221137826,6.612864240960188,37.499612293804745,6.822503616894648,6245.171425483905,39.402780936344264,37.70925166973921,8.516032883499703,2.080621670400496
2503633,3.8571428571428568,9.714285714285714,13.571428571428573,7.857142857142858,249.28571428571428,287.7142857142857,9818.714285714286,446.4285714285714,33.0,1.0,19.0,40.0,13.0,4.61419717,2156.0,2.0,28.0,2.0,196.0,0.0,0.0,1.0,5.0,3.0,2.0,3.0,49270.0,262.0,0.0,176.885077,4.0,13.0,11.0,2.511361351297004,63.0,1563.0,50.587714538232696,76.70509274169237,54.60237909315639,50.74329425225151,76.96361257250409,50.69065465502561,5148.564647128633,76.9109729752782,76.9109729752782,50.69065465502561,1.7940991783908111
3505786,5.5,6.928571428571429,16.071428571428573,10.642857142857142,390.28571428571433,450.71428571428567,18392.5,1346.7142857142858,152.0,1.0,8.0,129.0,6.0,8.422561550000001,11606.0,5.0,639.0,5.0,1501.0,1.0,4.0,0.0,6.0,3.0,38.0,16.0,185275.0,444.0,1.0,460.04370930000005,9.0,8.0,6.0,7.501910315704805,137.0,1945.0,217.17212328894223,260.2849031044913,235.79041127241464,218.2548576043219,261.3676374198709,217.89376235806907,27000.62060959945,260.57355873214203,261.00654217361813,218.03809017189442,3.1133571268043556
4022514,3.0,7.0,18.8,1.6,309.0,380.6,10033.6,61.0,98.8,1.0,38.0,64.0,57.0,3.09215786,2270.0,3.0,258.0,3.0,201.0,0.0,0.0,0.0,6.0,6.0,3.0,12.0,58620.0,193.0,0.0,261.332241,3.0,25.0,33.0,2.008244520410215,35.0,907.0,27.5424636790903,67.79903144240797,36.68519021156841,27.82935165503496,68.08591941835263,27.97102898530021,8441.965114784074,66.65619062584821,68.22759674861788,26.39962286253054,3.1142412251253555
4897705,3.4375,6.75,16.25,4.3125,295.9375,413.1875,11058.25,476.5625,46.3125,2.0,155.0,187.0,137.0,9.41435536,7837.0,1.0,191.0,1.0,512.0,0.0,4.0,1.0,24.0,9.0,8.0,26.0,145460.0,945.0,0.0,636.7514486,8.0,72.0,39.0,5.8079630002010845,150.0,3074.0,83.3876535162442,137.59055421401166,110.94280084739486,84.09993377878862,138.45098042994934,83.3876535162442,21686.900934800968,142.47937067599,137.73870016740494,88.7209078384024,2.9166234574302603
5178461,3.75,7.083333333333332,15.5,6.666666666666668,268.9166666666667,374.83333333333326,9568.333333333334,33.833333333333336,55.58333333333334,4.0,130.0,113.0,92.0,7.20139538,15667.0,11.0,73.0,11.0,561.0,0.0,0.0,0.0,19.0,16.0,4.0,24.0,103705.0,169.0,0.0,402.81703450000003,5.0,96.0,4.0,3.901065755077418,86.0,2347.0,13.188049109894925,58.2580010635144,29.14076507155194,13.738780029704632,58.80873198332411,14.74096836279959,14698.757194016087,71.24605299689888,59.81092031641906,26.176101043279395,2.717608692583164
5571849,3.9777777777777783,6.711111111111111,9.511111111111113,2.688888888888889,271.44444444444446,281.8888888888889,7156.333333333332,781.2666666666668,52.06666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.17033521023696,158.4148580567508,124.17033521023696,124.17033521023696,158.4148580567508,124.17033521023696,158.4148580567508,158.4148580567508,158.4148580567508,124.17033521023696,2.0099038259363686
7353870,5.375,6.5,6.25,6.0,355.5,388.25,15262.75,10.0,96.75,0.0,10.0,53.0,14.0,4.90896724,689.0,0.0,259.0,0.0,544.0,0.0,0.0,0.0,4.0,1.0,6.0,7.0,79435.0,273.0,0.0,110.68569612000002,3.0,8.0,11.0,4.6102955962195855,55.0,3343.0,18.115105921447363,62.96056983738712,26.268826633436408,18.82437125524524,63.669835171185,18.115105921447363,12283.541791664744,62.49903847633114,62.96056983738712,17.65357456039138,1.7884340240919372
7583514,4.8,10.4,12.8,4.0,317.2,362.0,11796.6,478.4,95.4,0.0,1.0,30.0,0.0,2.8588296200000003,4154.0,3.0,129.0,3.0,334.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,43425.0,286.0,0.0,243.33292400000002,4.0,1.0,0.0,2.3305851598632614,34.0,649.0,55.1725464178229,80.80691531812194,58.05713406601859,55.39663898999656,81.0310078902956,55.46100518264247,4256.247536081384,80.90306823972846,81.0953740829415,55.268699339429425,1.6922914202748052
9001808,7.833333333333332,8.666666666666666,14.333333333333336,10.333333333333334,459.16666666666674,525.5,20369.0,1462.0,212.5,0.0,0.0,16.0,0.0,3.24823669,10659.0,7.0,280.0,7.0,953.0,6.0,1.0,1.0,0.0,3.0,42.0,3.0,98995.0,200.0,6.0,85.68129700000001,8.0,0.0,0.0,3.8343052483410416,60.0,1062.0,193.3246924073953,229.32427702757278,195.05544166798077,193.65172385491798,229.76669175913446,194.0169921116295,11651.69248047138,229.32427702757278,230.131960015846,193.3246924073953,2.557662796198506
9876019,4.166666666666667,6.0,12.166666666666664,7.166666666666668,374.33333333333326,404.5,15050.5,800.5,148.66666666666666,0.0,4.0,34.0,1.0,3.27621163,3801.0,4.0,292.0,4.0,605.0,0.0,0.0,0.0,3.0,0.0,23.0,4.0,73085.0,51.0,0.0,175.33463,2.0,4.0,1.0,2.9730544942690527,39.0,947.0,158.3584718032477,200.99665005583242,164.025044027044,158.85397262727884,201.49215087986352,159.02512735898847,12381.626972883785,201.49664172263797,201.66330561157315,158.85846347005327,2.722176852608012
11582420,4.625,6.1875,16.4375,9.3125,404.125,483.5,15896.8125,627.5625,181.5,2.0,4.0,54.0,0.0,8.18639788,46058.0,13.0,811.0,13.0,2026.0,1.0,0.0,0.0,6.0,4.0,61.0,2.0,222260.0,154.0,1.0,623.849588,7.0,4.0,0.0,7.92720691735371,139.0,3701.0,130.75546253797918,179.56275454134075,139.48259422069947,132.03660658694062,180.8438985903022,132.85643868381925,36099.790306419294,180.20920874006077,181.66373068718082,131.4019167366992,3.403985390135109
11760391,6.2142857142857135,4.857142857142857,12.714285714285715,20.285714285714285,478.1428571428572,572.5,16267.642857142857,99.28571428571428,263.64285714285717,1.0,0.0,117.0,0.0,8.65874517,56944.0,29.0,1162.0,29.0,2576.0,5.0,6.0,0.0,7.0,1.0,246.0,16.0,242895.0,600.0,5.0,101.71695434000002,10.0,0.0,0.0,8.98934244922582,116.0,2999.0,74.71904990191379,138.3059760534342,98.8067892719856,76.56975877392469,140.1566849254451,80.68951521586321,50145.0705426653,138.3059760534342,144.27644136738363,75.9543185875585,3.8969785916172324
11767812,8.666666666666666,5.666666666666668,13.666666666666664,11.333333333333336,422.0,417.4444444444445,11269.888888888889,827.3333333333335,95.88888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.91869359168172,219.66279026448555,162.91869359168172,162.91869359168172,219.66279026448555,162.91869359168172,219.66279026448555,219.66279026448555,219.66279026448555,162.91869359168172,3.941106921642558
