,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,n_matches
88470,484,678,1343,632,45532,53248,1621993,50290,16354,121
95560,54,32,100,78,3577,3851,130351,0,1117,8
883737,33,79,127,11,2412,2986,79921,2596,373,10
1296625,196,423,866,150,18197,24457,648315,88818,3236,72
2434347,586,779,1315,297,36375,44572,1340716,39880,8159,100
2503633,32,78,99,58,2315,2638,80759,3125,323,9
2946314,333,122,332,385,18327,18809,789393,18956,7298,32
3505786,79,103,233,149,5800,6719,265847,18854,2224,15
3916428,362,913,1870,353,39917,49930,1234924,292420,8459,146
4022514,15,36,101,11,1722,2096,54914,485,500,6
4281729,285,838,1364,574,31087,38443,1050558,155104,6704,118
4897705,57,126,292,60,5483,7078,198200,18306,881,19
5150808,3300,1308,3407,5445,223682,227025,8132766,97520,122945,376
5178461,48,89,192,87,3406,4730,121085,675,676,13
6103402,276,772,1569,236,28874,37754,979429,165283,5364,113
6199147,63,156,334,38,5988,7807,204600,34918,1023,22
6922000,929,2216,5003,1683,107945,129829,3592303,838842,23310,390
7353870,44,60,74,36,2767,3081,131697,480,703,8
7396553,35,76,174,40,2701,3021,129325,3097,455,9
7583514,24,52,64,20,1586,1810,58983,2392,477,5
7932121,47,33,68,35,3045,3327,127523,264,1969,6
8591574,354,864,1706,295,35503,42837,1184691,181431,6735,136
8712306,340,598,1024,597,35366,39158,1482757,66582,15062,92
9403474,38,44,126,29,2482,2995,72344,17162,251,9
9807809,49,31,59,45,2995,3325,125997,1231,1148,5
9876019,32,44,86,49,2873,3098,104493,4803,975,8
10288378,49,106,265,25,5726,6161,176982,36978,1448,18
10366616,1439,1557,3911,2479,139440,156289,4760092,351527,57580,315
10516239,308,250,516,482,18976,21889,1040194,24810,10571,40
11473065,26,28,38,39,2256,2165,64065,2196,693,5
11550182,732,1722,3956,515,72481,92700,2469610,442175,11062,276
11760391,110,69,208,338,7934,9330,265769,1390,4322,16
11865327,1620,894,1892,3823,116267,121812,4678151,50654,63341,208
11929046,37,35,99,36,2612,2604,76353,29365,747,7
12231202,2480,1224,3563,4916,200984,203429,8115028,43318,103473,366
12929500,40,129,179,7,3330,4421,148934,4085,174,15
14353349,204,140,308,343,13886,14414,518739,14145,5896,26
15272141,17,28,59,40,1741,2176,71008,5520,1004,5
16446200,63,45,132,77,6652,7394,198471,2100,2595,13
17108462,16,23,50,11,1749,1974,45433,0,550,5
18180970,834,1429,3378,646,70945,85783,2243092,637445,13605,255
19195168,108,252,503,37,9609,13368,333855,8339,1730,37
19672354,1945,1700,3869,4024,166905,169129,6623700,252524,77373,339
19757254,80,48,111,148,5777,5649,240267,1114,3201,11
19966396,15,17,47,2,1237,1478,33612,7118,183,5
20321748,610,815,1481,1256,50890,56987,1861478,38198,18025,131
20603135,319,152,426,576,24640,25104,812665,5931,10517,43
20969644,58,58,134,73,4171,4832,150344,9468,1186,12
21265941,223,284,641,117,16613,19420,634887,16240,4041,56
21289303,1105,462,1331,2071,83440,79284,2789099,19685,40249,144
21604967,164,212,501,100,13143,15164,530069,41916,2751,43
23090404,57,78,223,28,4790,4952,169643,31598,1215,15
23467004,83,126,188,182,7451,8409,305654,10760,2493,20
23589642,166,369,699,47,13956,18660,422214,47253,2410,52
23883296,697,1236,3340,555,62379,74549,2224278,245139,8252,226
23900288,122,138,146,313,10494,12007,328631,4390,4373,25
24009418,1017,1596,3534,1089,102917,120349,3529276,276959,37519,279
25051015,19,69,118,7,2076,2485,58455,1192,165,10
25175582,557,683,1468,1276,45873,53804,2462889,84779,22430,111
25907144,866,1467,3903,734,80735,101618,2803998,399545,13929,283
26168855,34,59,86,26,2549,3025,98741,1238,844,9
26316691,1557,1035,2071,2574,111551,115580,4465403,69935,56981,210
26356855,1023,2427,4531,981,96129,118580,3560190,216382,20587,333
26682464,410,906,1988,198,43012,47900,1208763,285760,7708,156
26698681,19,38,53,37,1574,1988,63945,3418,429,5
26771994,1144,1932,4834,931,103224,131100,3690038,328170,21876,346
27178898,856,1160,2638,1549,82815,93542,2821207,227633,33921,208
28070572,2184,1298,2817,3908,155927,168234,5550174,70792,70353,318
28519224,68,61,151,80,3883,4654,164982,1026,1090,11
28989415,72,50,70,79,3932,4493,194981,0,1961,8
29071850,41,24,87,40,2087,2497,100748,1257,967,5
29110522,368,154,557,423,22655,25108,992293,16068,9869,42
29147141,79,65,135,174,7318,7753,170664,5304,2454,17
29203166,38,44,88,82,3324,3813,93368,403,796,8
29903942,50,120,185,28,4179,4861,142172,3321,683,17
