,Solution,Evaluation
0,"camps_stacked, deaths, gold_per_min, necronomicon_kills, neutral_kills, obs_placed",0.242546
1,"deaths, gold_per_min, necronomicon_kills, sen_placed, sentry_kills",0.228793
2,"camps_stacked, deaths, gold_per_min, necronomicon_kills, obs_placed",0.22486599999999998
3,"camps_stacked, deaths, gold_per_min, lane_efficiency, necronomicon_kills, obs_placed",0.222223
4,"deaths, gold_per_min, lane_efficiency, necronomicon_kills, observer_uses, roshans_killed",0.220966
5,"deaths, gold_per_min, necronomicon_kills, neutral_kills, obs_placed, pings",0.219869
6,"deaths, gold_per_min, obs_placed, pings, teamfight_participation, tower_kills",0.21933899999999998
7,"camps_stacked, deaths, gold_per_min, necronomicon_kills, obs_placed, teamfight_participation",0.218261
8,"deaths, gold_per_min, necronomicon_kills, obs_placed, sentry_kills",0.217531
9,"deaths, gold_per_min, lane_kills, necronomicon_kills, obs_placed",0.216367
10,"deaths, gold_per_min, necronomicon_kills, roshans_killed, sentry_uses",0.21404499999999999
11,"camps_stacked, deaths, gold_per_min, lane_efficiency, necronomicon_kills, sen_placed",0.21126999999999999
12,"deaths, gold_per_min, necronomicon_kills, obs_placed, purchase_tpscroll",0.21046399999999998
13,"camps_stacked, deaths, gold_per_min, necronomicon_kills, sen_placed",0.209957
14,"camps_stacked, deaths, gold_per_min, necronomicon_kills, sen_placed, teamfight_participation",0.20994899999999997
15,"deaths, gold_per_min, necronomicon_kills, obs_placed, pings, teamfight_participation",0.208977
16,"deaths, gold_per_min, pings, sen_placed, teamfight_participation, tower_kills",0.208207
17,"buyback_count, deaths, gold_per_min, necronomicon_kills, obs_placed, sentry_kills",0.20800500000000002
18,"deaths, gold_per_min, necronomicon_kills, obs_placed, sentry_kills, teamfight_participation",0.20784499999999997
19,"camps_stacked, deaths, gold_per_min, necronomicon_kills, obs_placed, purchase_tpscroll",0.20578000000000002
20,"camps_stacked, deaths, gold_per_min, necronomicon_kills, obs_placed, sentry_kills",0.205306
21,"deaths, gold_per_min, lane_efficiency, necronomicon_kills, obs_placed, sentry_kills",0.20490500000000003
22,"camps_stacked, deaths, gold_per_min, necronomicon_kills, sen_placed, sentry_kills",0.20239400000000002
23,"deaths, gold_per_min, necronomicon_kills, pings, sen_placed, sentry_kills",0.202052
24,"camps_stacked, deaths, gold_per_min, necronomicon_kills, neutral_kills, sen_placed",0.201961
