evaluation,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills
0.299032,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0.271765,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.271048,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.2706,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.269916,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.269336,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.266539,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.264025,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
0.259231,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0.256496,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
