,Solution,Evaluation
0,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, ","0,299444"
1,"deaths, gold_per_min, hero_healing, last_hits, necronomicon_kills, sentry_uses, ","0,296978"
2,"deaths, gold_per_min, hero_healing, necronomicon_kills, observer_uses, ","0,293933"
3,"deaths, gold_per_min, hero_healing, lane_kills, sentry_uses, ","0,284666"
4,"deaths, hero_healing, last_hits, necronomicon_kills, sentry_uses, ","0,284029"
5,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, actions_per_min, ","0,280883"
6,"deaths, gold_per_min, hero_healing, necronomicon_kills, sentry_uses, lane_efficiency, ","0,280687"
7,"deaths, gold_per_min, hero_healing, tower_damage, sentry_uses, ","0,278925"
8,"deaths, gold_per_min, hero_healing, tower_kills, sentry_uses, ","0,278799"
9,"deaths, gold_per_min, hero_healing, sentry_uses, lane_efficiency, ","0,278049"
