k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;159.673632
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,xp_per_min,hero_healing;0,299783;1;3;0
deaths,assists,gold_per_min,hero_healing;0,280811;1;4;0
deaths,assists,hero_healing,last_hits;0,263965;1;4;0
deaths,gold_per_min,hero_healing;0,258106;1;3;0
deaths,assists,xp_per_min,hero_healing;0,255646;1;4;0
assists,gold_per_min,hero_healing;0,229981;1;3;0
deaths,hero_healing,last_hits;0,224181;1;3;0
assists,hero_healing,last_hits;0,217126;1;3;0
assists,denies,hero_damage,hero_healing;0,210830;1;4;0
deaths,assists,gold_per_min;0,205226;1;3;0
