k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;159.673632
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,xp_per_min,hero_healing;0,299783;1;3;0
deaths,assists,gold_per_min,hero_healing;0,280811;1;4;0
deaths,assists,hero_healing,last_hits;0,263965;1;4;0
deaths,gold_per_min,hero_healing;0,258106;1;3;0
deaths,assists,xp_per_min,hero_healing;0,255646;1;4;0
assists,gold_per_min,hero_healing;0,229981;1;3;0
deaths,hero_healing,last_hits;0,224181;1;3;0
assists,hero_healing,last_hits;0,217126;1;3;0
assists,denies,hero_damage,hero_healing;0,210830;1;4;0
deaths,assists,gold_per_min;0,205226;1;3;0
assists,xp_per_min,hero_healing;0,201287;1;3;0
deaths,denies,hero_damage,hero_healing;0,190885;1;4;0
deaths,assists,denies,hero_damage,hero_healing;0,190360;1;5;0
kills,deaths,assists,denies,hero_healing;0,186486;1;5;0
kills,deaths,denies,hero_healing;0,182607;1;4;0
deaths,assists,denies,hero_healing;0,175806;1;4;0
kills,deaths,assists,hero_healing;0,175212;1;4;0
deaths,assists,xp_per_min;0,157395;1;3;0
deaths,assists,last_hits;0,147007;1;3;0
deaths,denies,hero_healing;0,141521;1;3;0
kills,assists,denies,hero_healing;0,131185;1;4;0
kills,deaths,hero_healing;0,129377;1;3;0
deaths,hero_damage,hero_healing;0,119265;1;3;0
deaths,assists,hero_damage,hero_healing;0,108180;1;4;0
assists,denies,hero_healing;0,106505;1;3;0
deaths,assists,denies;0,098124;1;3;0
deaths,assists,denies,hero_damage;0,090279;1;4;0
kills,deaths,assists,denies;0,089734;1;4;0
assists,hero_damage,hero_healing;0,078211;1;3;0
kills,deaths,assists;0,069128;1;3;0
kills,assists,hero_healing;0,054881;1;3;0
deaths,assists,hero_damage;0,015310;1;3;0
deaths,denies,hero_damage;-0,011311;1;3;0
kills,deaths,denies;-0,015419;1;3;0
kills,assists,denies;-0,026864;1;3;0
assists,denies,hero_damage;-0,033176;1;3;0
deaths,assists,hero_healing;-0,075258;1;3;0
denies,hero_damage,hero_healing;-0,098521;1;3;0
kills,denies,hero_healing;-0,105708;1;3;0
deaths,gold_per_min,hero_healing,last_hits;-0,397149;0;4;1
deaths,assists,gold_per_min,hero_healing,last_hits;-0,400319;0;5;1
deaths,assists,xp_per_min,hero_healing,last_hits;-0,415946;0;5;1
deaths,assists,gold_per_min,xp_per_min,hero_healing;-0,419391;0;5;1
deaths,denies,xp_per_min,hero_healing;-0,423429;0;4;1
deaths,denies,gold_per_min,hero_healing;-0,427097;0;4;1
deaths,gold_per_min,xp_per_min,hero_healing;-0,432902;0;4;1
deaths,xp_per_min,hero_healing,last_hits;-0,433044;0;4;1
deaths,assists,denies,gold_per_min,hero_healing;-0,434802;0;5;1
assists,xp_per_min,hero_healing,last_hits;-0,447719;0;4;1
assists,gold_per_min,hero_healing,last_hits;-0,451546;0;4;1
kills,deaths,gold_per_min,hero_healing;-0,453590;0;4;1
deaths,gold_per_min,hero_damage,hero_healing;-0,454255;0;4;1
deaths,assists,denies,xp_per_min,hero_healing;-0,454975;0;5;1
deaths,assists,denies,hero_healing,last_hits;-0,461292;0;5;1
assists,denies,hero_healing,last_hits;-0,464094;0;4;1
assists,denies,gold_per_min,hero_healing;-0,465937;0;4;1
deaths,denies,hero_healing,last_hits;-0,472109;0;4;1
deaths,xp_per_min,hero_damage,hero_healing;-0,476220;0;4;1
assists,denies,xp_per_min,hero_healing;-0,478468;0;4;1
