k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;0;0.750000;10;169.469245
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
denies,hero_damage,hero_healing;0,281186;1;3;0
assists,gold_per_min,hero_healing;0,279512;1;3;0
assists,hero_healing,last_hits;0,276957;1;3;0
assists,denies,hero_damage;0,275264;1;3;0
kills,denies,hero_healing;0,272063;1;3;0
kills,assists,denies;0,270999;1;3;0
deaths,xp_per_min,hero_healing;0,270057;1;3;0
kills,assists,hero_healing;0,268546;1;3;0
deaths,hero_healing,last_hits;0,264139;1;3;0
assists,hero_damage,hero_healing;0,263325;1;3;0
