k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;0;0.750000;10;169.469245
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
denies,hero_damage,hero_healing;0,281186;1;3;0
assists,gold_per_min,hero_healing;0,279512;1;3;0
assists,hero_healing,last_hits;0,276957;1;3;0
assists,denies,hero_damage;0,275264;1;3;0
kills,denies,hero_healing;0,272063;1;3;0
kills,assists,denies;0,270999;1;3;0
deaths,xp_per_min,hero_healing;0,270057;1;3;0
kills,assists,hero_healing;0,268546;1;3;0
deaths,hero_healing,last_hits;0,264139;1;3;0
assists,hero_damage,hero_healing;0,263325;1;3;0
kills,deaths,hero_healing;0,260559;1;3;0
deaths,denies,hero_healing;0,260472;1;3;0
assists,xp_per_min,hero_healing;0,258425;1;3;0
deaths,gold_per_min,hero_healing;0,256475;1;3;0
assists,denies,hero_healing;0,253822;1;3;0
deaths,denies,hero_damage;0,253257;1;3;0
deaths,assists,last_hits;0,252771;1;3;0
deaths,assists,gold_per_min;0,250514;1;3;0
deaths,assists,hero_damage;0,250183;1;3;0
kills,deaths,denies;0,248537;1;3;0
deaths,hero_damage,hero_healing;0,246957;1;3;0
deaths,assists,hero_healing;0,243902;1;3;0
deaths,assists,denies;0,240736;1;3;0
deaths,assists,xp_per_min;0,238095;1;3;0
kills,deaths,assists;0,234493;1;3;0
assists,denies,hero_damage,hero_healing;0,234441;1;4;0
kills,assists,denies,hero_healing;0,228638;1;4;0
deaths,assists,gold_per_min,hero_healing;0,219325;1;4;0
deaths,denies,hero_damage,hero_healing;0,217111;1;4;0
kills,deaths,denies,hero_healing;0,216842;1;4;0
deaths,assists,denies,hero_damage;0,215759;1;4;0
deaths,assists,xp_per_min,hero_healing;0,214095;1;4;0
kills,deaths,assists,denies;0,210539;1;4;0
deaths,assists,hero_healing,last_hits;0,209700;1;4;0
kills,deaths,assists,hero_healing;0,207670;1;4;0
deaths,assists,denies,hero_healing;0,207667;1;4;0
deaths,assists,hero_damage,hero_healing;0,200101;1;4;0
kills,deaths,assists,denies,hero_healing;0,183546;1;5;0
deaths,assists,denies,hero_damage,hero_healing;0,182485;1;5;0
gold_per_min,hero_healing,last_hits;-0,353041;0;3;1
gold_per_min,xp_per_min,hero_healing;-0,362268;0;3;1
xp_per_min,hero_healing,last_hits;-0,374045;0;3;1
kills,hero_damage,hero_healing;-0,378259;0;3;1
assists,gold_per_min,xp_per_min;-0,385315;0;3;1
assists,gold_per_min,last_hits;-0,387262;0;3;1
hero_damage,hero_healing,last_hits;-0,387844;0;3;1
denies,hero_healing,last_hits;-0,388021;0;3;1
kills,gold_per_min,hero_healing;-0,392184;0;3;1
kills,xp_per_min,hero_healing;-0,392206;0;3;1
xp_per_min,hero_damage,hero_healing;-0,392476;0;3;1
deaths,gold_per_min,last_hits;-0,395051;0;3;1
gold_per_min,hero_damage,hero_healing;-0,395340;0;3;1
denies,gold_per_min,hero_healing;-0,397313;0;3;1
assists,hero_damage,last_hits;-0,398484;0;3;1
assists,xp_per_min,hero_damage;-0,398804;0;3;1
assists,xp_per_min,last_hits;-0,399914;0;3;1
deaths,gold_per_min,xp_per_min;-0,400764;0;3;1
kills,hero_healing,last_hits;-0,401673;0;3;1
kills,denies,hero_damage;-0,403253;0;3;1
denies,xp_per_min,hero_healing;-0,403613;0;3;1
assists,gold_per_min,hero_damage;-0,407775;0;3;1
kills,assists,gold_per_min;-0,408077;0;3;1
kills,assists,last_hits;-0,409558;0;3;1
deaths,xp_per_min,last_hits;-0,412422;0;3;1
kills,assists,hero_damage;-0,417723;0;3;1
deaths,xp_per_min,hero_damage;-0,417773;0;3;1
assists,denies,last_hits;-0,418638;0;3;1
deaths,denies,last_hits;-0,418737;0;3;1
assists,denies,gold_per_min;-0,419130;0;3;1
kills,deaths,gold_per_min;-0,419348;0;3;1
deaths,hero_damage,last_hits;-0,419892;0;3;1
deaths,gold_per_min,hero_damage;-0,420102;0;3;1
assists,gold_per_min,hero_healing,last_hits;-0,420524;0;4;1
assists,denies,xp_per_min;-0,420669;0;3;1
kills,deaths,hero_damage;-0,420718;0;3;1
kills,assists,xp_per_min;-0,421241;0;3;1
kills,denies,hero_damage,hero_healing;-0,421489;0;4;1
kills,deaths,xp_per_min;-0,422679;0;3;1
assists,xp_per_min,hero_healing,last_hits;-0,423842;0;4;1
assists,gold_per_min,xp_per_min,hero_healing;-0,424955;0;4;1
deaths,denies,gold_per_min;-0,428673;0;3;1
deaths,denies,xp_per_min;-0,430799;0;3;1
deaths,gold_per_min,hero_healing,last_hits;-0,437143;0;4;1
