k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;inertia;3;6;0;0.750000;10;109.853800
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,hero_damage;44,458878;1;3;0
kills,assists,denies;45,995858;1;3;0
deaths,denies,hero_damage;48,875296;1;3;0
deaths,assists,xp_per_min;49,344874;1;3;0
deaths,assists,gold_per_min;49,447637;1;3;0
deaths,assists,last_hits;49,940566;1;3;0
kills,deaths,denies;51,202608;1;3;0
denies,hero_damage,hero_healing;53,332142;1;3;0
kills,deaths,assists;54,973714;1;3;0
kills,denies,hero_healing;55,018379;1;3;0
