k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;inertia;3;6;0;0.750000;10;109.853800
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,hero_damage;44,458878;1;3;0
kills,assists,denies;45,995858;1;3;0
deaths,denies,hero_damage;48,875296;1;3;0
deaths,assists,xp_per_min;49,344874;1;3;0
deaths,assists,gold_per_min;49,447637;1;3;0
deaths,assists,last_hits;49,940566;1;3;0
kills,deaths,denies;51,202608;1;3;0
denies,hero_damage,hero_healing;53,332142;1;3;0
kills,deaths,assists;54,973714;1;3;0
kills,denies,hero_healing;55,018379;1;3;0
assists,xp_per_min,hero_healing;55,617952;1;3;0
deaths,assists,hero_damage;55,655627;1;3;0
deaths,assists,denies;55,685044;1;3;0
assists,hero_healing,last_hits;56,676099;1;3;0
deaths,xp_per_min,hero_healing;57,129202;1;3;0
assists,gold_per_min,hero_healing;57,983310;1;3;0
deaths,gold_per_min,hero_healing;58,391912;1;3;0
kills,assists,hero_healing;58,494132;1;3;0
assists,hero_damage,hero_healing;59,651320;1;3;0
deaths,hero_healing,last_hits;59,703242;1;3;0
assists,denies,hero_healing;61,079326;1;3;0
kills,deaths,hero_healing;62,384761;1;3;0
deaths,assists,hero_healing;63,258697;1;3;0
deaths,denies,hero_healing;64,155845;1;3;0
deaths,hero_damage,hero_healing;64,266420;1;3;0
deaths,assists,denies,hero_damage;86,222218;1;4;0
kills,deaths,assists,denies;87,708988;1;4;0
assists,denies,hero_damage,hero_healing;92,724745;1;4;0
kills,assists,denies,hero_healing;94,046266;1;4;0
deaths,assists,xp_per_min,hero_healing;97,686770;1;4;0
deaths,assists,gold_per_min,hero_healing;99,380701;1;4;0
deaths,denies,hero_damage,hero_healing;99,987483;1;4;0
kills,deaths,denies,hero_healing;100,591038;1;4;0
deaths,assists,hero_healing,last_hits;100,861708;1;4;0
kills,deaths,assists,hero_healing;105,092129;1;4;0
deaths,assists,hero_damage,hero_healing;106,766314;1;4;0
deaths,assists,denies,hero_healing;106,946514;1;4;0
kills,deaths,assists,denies,hero_healing;143,874503;1;5;0
deaths,assists,denies,hero_damage,hero_healing;144,089655;1;5;0
assists,gold_per_min,xp_per_min;1027,808518;0;3;1
deaths,gold_per_min,xp_per_min;1027,925212;0;3;1
deaths,gold_per_min,last_hits;1028,908536;0;3;1
assists,xp_per_min,last_hits;1028,950393;0;3;1
assists,gold_per_min,last_hits;1029,253250;0;3;1
deaths,xp_per_min,last_hits;1030,627982;0;3;1
kills,denies,hero_damage;1032,763185;0;3;1
gold_per_min,xp_per_min,hero_healing;1033,496787;0;3;1
assists,xp_per_min,hero_damage;1033,593038;0;3;1
assists,hero_damage,last_hits;1033,691147;0;3;1
kills,assists,xp_per_min;1034,310042;0;3;1
gold_per_min,hero_healing,last_hits;1034,553480;0;3;1
deaths,xp_per_min,hero_damage;1034,945409;0;3;1
xp_per_min,hero_healing,last_hits;1035,188794;0;3;1
kills,assists,hero_damage;1035,657588;0;3;1
kills,assists,gold_per_min;1035,708963;0;3;1
deaths,hero_damage,last_hits;1035,967575;0;3;1
deaths,gold_per_min,hero_damage;1036,030996;0;3;1
assists,gold_per_min,hero_damage;1036,258979;0;3;1
kills,deaths,xp_per_min;1036,358793;0;3;1
kills,deaths,gold_per_min;1037,020551;0;3;1
kills,assists,last_hits;1038,022214;0;3;1
kills,deaths,hero_damage;1038,085739;0;3;1
assists,denies,xp_per_min;1039,188753;0;3;1
xp_per_min,hero_damage,hero_healing;1039,333104;0;3;1
kills,xp_per_min,hero_healing;1039,923573;0;3;1
assists,denies,last_hits;1039,943848;0;3;1
kills,hero_damage,hero_healing;1040,778048;0;3;1
hero_damage,hero_healing,last_hits;1041,019399;0;3;1
deaths,denies,xp_per_min;1041,060303;0;3;1
deaths,denies,last_hits;1041,170176;0;3;1
assists,denies,gold_per_min;1041,193620;0;3;1
deaths,denies,gold_per_min;1041,233185;0;3;1
kills,deaths,last_hits;1042,088312;0;3;1
kills,gold_per_min,hero_healing;1042,610149;0;3;1
gold_per_min,hero_damage,hero_healing;1042,850925;0;3;1
kills,hero_healing,last_hits;1046,576436;0;3;1
denies,xp_per_min,hero_healing;1046,653727;0;3;1
denies,hero_healing,last_hits;1047,007425;0;3;1
denies,gold_per_min,hero_healing;1048,635914;0;3;1
kills,assists,denies,hero_damage;1063,203865;0;4;1
deaths,assists,gold_per_min,xp_per_min;1063,553849;0;4;1
deaths,assists,gold_per_min,last_hits;1065,031649;0;4;1
deaths,assists,xp_per_min,last_hits;1065,604159;0;4;1
kills,deaths,denies,hero_damage;1070,800602;0;4;1
