k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;0;0.750000;10;0.796544
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
kills,denies,hero_healing;0,048212;1;3;0
denies,hero_damage,hero_healing;0,047732;1;3;0
deaths,denies,hero_healing;0,045309;1;3;0
assists,denies,hero_healing;0,044702;1;3;0
kills,deaths,denies,hero_healing;0,043891;1;4;0
deaths,denies,hero_damage,hero_healing;0,043531;1;4;0
kills,assists,denies,hero_healing;0,043436;1;4;0
assists,denies,hero_damage,hero_healing;0,043076;1;4;0
deaths,gold_per_min,hero_healing;0,042777;1;3;0
deaths,hero_healing,last_hits;0,042529;1;3;0
