k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;0;0.750000;10;0.796544
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
kills,denies,hero_healing;0,048212;1;3;0
denies,hero_damage,hero_healing;0,047732;1;3;0
deaths,denies,hero_healing;0,045309;1;3;0
assists,denies,hero_healing;0,044702;1;3;0
kills,deaths,denies,hero_healing;0,043891;1;4;0
deaths,denies,hero_damage,hero_healing;0,043531;1;4;0
kills,assists,denies,hero_healing;0,043436;1;4;0
assists,denies,hero_damage,hero_healing;0,043076;1;4;0
deaths,gold_per_min,hero_healing;0,042777;1;3;0
deaths,hero_healing,last_hits;0,042529;1;3;0
kills,deaths,hero_healing;0,042224;1;3;0
assists,gold_per_min,hero_healing;0,042171;1;3;0
assists,hero_healing,last_hits;0,041922;1;3;0
deaths,hero_damage,hero_healing;0,041744;1;3;0
kills,assists,hero_healing;0,041617;1;3;0
deaths,assists,denies,hero_healing;0,041259;1;4;0
assists,hero_damage,hero_healing;0,041138;1;3;0
kills,deaths,assists,denies,hero_healing;0,040935;1;5;0
deaths,assists,denies,hero_damage,hero_healing;0,040647;1;5;0
kills,deaths,denies;0,039820;1;3;0
deaths,assists,gold_per_min,hero_healing;0,039360;1;4;0
deaths,denies,hero_damage;0,039341;1;3;0
deaths,xp_per_min,hero_healing;0,039220;1;3;0
kills,assists,denies;0,039214;1;3;0
deaths,assists,hero_healing,last_hits;0,039174;1;4;0
kills,deaths,assists,hero_healing;0,038945;1;4;0
assists,denies,hero_damage;0,038734;1;3;0
deaths,assists,hero_healing;0,038714;1;3;0
assists,xp_per_min,hero_healing;0,038614;1;3;0
deaths,assists,hero_damage,hero_healing;0,038586;1;4;0
kills,deaths,assists,denies;0,037143;1;4;0
deaths,assists,denies,hero_damage;0,036783;1;4;0
deaths,assists,xp_per_min,hero_healing;0,036693;1;4;0
deaths,assists,denies;0,036311;1;3;0
deaths,assists,gold_per_min;0,033779;1;3;0
deaths,assists,last_hits;0,033531;1;3;0
kills,deaths,assists;0,033226;1;3;0
deaths,assists,hero_damage;0,032746;1;3;0
deaths,assists,xp_per_min;0,030222;1;3;0
