File output_ga/ga_setpack_cosine_log,csv
elapsed_time;max_gen_reached
48,495800;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,000289;1;1;0;1;0;0;0;0;0;initial;0
0,256083;0;1;1;0;0;1;0;1;0;initial;0
0,150111;1;1;1;0;0;0;0;1;0;initial;0
0,183259;0;1;1;1;0;0;1;1;0;initial;0
0,281512;0;1;1;0;1;0;0;1;0;initial;0
0,189649;1;1;1;1;0;0;0;1;0;initial;0
0,112994;0;1;1;0;0;0;1;1;0;initial;0
0,260726;0;1;1;0;0;0;0;1;1;initial;0
0,197473;0;0;1;0;0;1;0;1;0;initial;0
-0,015765;0;1;0;1;0;0;1;0;0;initial;0
0,321870;0;1;0;0;1;0;0;1;0;initial;0
0,098188;1;1;1;1;0;0;0;0;0;initial;0
0,136235;1;0;1;1;0;0;0;1;0;initial;0
-0,025746;1;0;1;1;0;0;0;0;0;initial;0
-0,108008;1;0;0;1;0;0;0;1;0;initial;0
0,056124;1;0;1;0;0;0;0;1;0;initial;0
0,209043;0;0;1;0;1;0;0;1;0;initial;0
0,108988;0;0;1;1;0;0;0;1;0;initial;0
0,089291;0;1;1;1;0;0;1;0;0;initial;0
-0,555244;1;1;1;1;0;0;1;1;0;crossover;1
0,175292;0;1;1;1;0;0;0;1;0;crossover;1
-0,075353;0;1;1;0;0;0;0;1;0;crossover;1
-0,426876;0;1;1;0;0;1;0;1;1;crossover;1
-0,436648;0;1;1;1;1;0;0;1;0;crossover;1
0,067619;0;0;1;0;0;0;1;1;0;crossover;1
-0,518005;1;0;1;0;0;0;0;1;1;crossover;2
0,180502;1;1;0;1;0;0;0;1;0;crossover;2
-0,460863;1;1;1;0;0;0;0;1;1;mutation;3
-0,458618;0;1;0;0;1;0;1;1;0;mutation;3
0,147263;0;1;0;1;0;0;0;1;0;crossover;3
-0,035264;0;0;1;1;0;0;1;0;0;crossover;3
-0,519515;0;0;1;0;1;0;0;1;1;crossover;3
-0,899979;1;1;0;1;0;0;0;1;1;crossover;4
0,212465;0;0;1;1;0;0;1;1;0;crossover;4
-0,513119;1;1;1;0;0;1;0;1;0;crossover;5
-0,912336;1;0;1;1;0;0;0;1;1;crossover;6
0,194666;0;0;1;0;0;0;0;1;1;crossover;6
-0,402622;0;1;0;0;1;0;0;1;1;crossover;7
0,180438;0;1;0;1;0;0;1;1;0;crossover;7
-0,411595;0;1;1;0;1;1;0;1;0;crossover;8
0,227314;0;1;0;0;0;0;0;1;1;crossover;9
-0,481070;0;0;1;0;1;1;0;1;0;crossover;9
-0,513453;0;1;1;0;0;1;1;1;0;crossover;9
0,157255;0;1;1;0;0;1;0;0;0;crossover;10
-0,442524;1;1;1;0;1;0;0;1;0;crossover;10
-0,446531;0;1;1;1;0;0;0;1;1;crossover;10
-0,898050;1;1;1;1;1;0;0;1;0;crossover;10
-2,230656;0;1;0;1;1;1;1;0;1;diversification;11
-2,125399;1;1;0;1;0;1;1;0;1;diversification;11
-2,101982;0;0;0;0;1;1;1;0;1;diversification;11
-0,486430;0;1;1;0;1;0;1;1;0;crossover;11
-2,114909;1;1;0;1;1;1;1;0;0;diversification;11
-2,430985;1;0;1;0;1;1;1;0;1;diversification;11
-1,982959;0;0;1;0;1;1;1;0;1;diversification;11
-0,903034;0;1;1;1;0;0;1;1;1;mutation;12
-2,766691;0;1;0;0;0;0;0;0;1;mutation;12
-0,533267;0;1;1;1;0;1;0;0;0;mutation;13
-0,520439;0;0;1;0;0;1;1;1;0;mutation;13
0,062654;0;1;1;0;0;0;1;0;0;crossover;13
-0,481509;0;1;0;1;0;0;0;1;1;crossover;13
-0,402527;0;1;1;0;1;0;0;1;1;crossover;15
-0,592130;1;0;1;0;0;0;1;1;0;crossover;17
-0,444727;0;1;0;0;1;1;0;1;0;crossover;19
-2,385050;1;0;0;1;1;1;1;0;0;diversification;21
-2,211697;1;0;1;1;1;1;1;0;0;diversification;21
-2,329220;1;0;0;1;0;1;1;0;1;diversification;21
-2,217855;1;0;1;1;0;1;1;0;1;diversification;21
-1,906414;1;1;0;0;0;1;1;0;1;diversification;21
0,105705;0;1;0;0;0;0;1;1;0;crossover;21
-1,741711;0;1;0;1;1;1;1;0;0;diversification;21
-2,206052;1;1;0;1;1;1;0;0;1;diversification;21
-1,988179;0;0;1;1;1;1;0;0;1;crossover;22
-0,556258;1;1;0;1;0;0;1;1;0;crossover;22
-0,706231;1;1;0;1;0;0;1;0;0;crossover;22
0,207583;0;1;1;0;1;0;0;0;0;crossover;23
0,338854;0;1;0;0;0;1;0;1;0;crossover;27
-0,509185;1;1;0;0;1;0;0;1;0;crossover;27
-2,024782;0;0;0;0;1;1;1;1;1;diversification;28
-2,236417;1;0;0;1;0;1;1;1;1;diversification;28
-2,345475;1;1;0;0;1;1;1;0;1;diversification;28
-2,304149;1;0;1;1;1;1;0;0;1;diversification;28
-0,464674;0;0;1;1;0;0;0;1;1;crossover;28
-2,438963;1;0;0;1;1;0;1;0;1;diversification;28
-0,908537;1;1;1;1;0;0;0;1;1;crossover;29
-1,630685;1;0;1;1;1;1;0;1;0;crossover;29
-0,720351;0;0;1;0;0;1;0;0;1;crossover;29
-1,233232;1;1;1;0;1;0;1;1;0;crossover;29
0,096710;0;1;1;1;0;0;0;0;0;crossover;29
-0,517232;0;1;1;1;1;0;0;0;0;crossover;30
-0,443845;0;1;0;0;0;1;0;1;1;crossover;31
-0,457690;0;1;1;1;0;1;0;1;0;mutation;33
-2,693883;0;1;0;0;0;1;0;0;0;mutation;33
-0,572605;1;0;1;0;0;1;0;1;0;crossover;33
-0,477388;0;0;1;1;0;1;0;1;0;crossover;34
-0,779637;1;0;0;0;0;1;0;1;0;crossover;36
-0,508742;1;1;0;0;0;1;0;1;0;crossover;36
-0,485667;0;1;0;0;0;1;1;1;0;crossover;37
-2,122175;1;1;0;1;1;0;1;0;1;diversification;38
-2,216920;1;0;1;1;1;0;1;0;1;diversification;38
-0,905368;1;1;0;1;0;1;0;1;0;crossover;39
-0,577923;1;1;1;0;1;0;0;0;0;crossover;42
-2,833890;0;0;0;0;0;1;0;1;0;mutation;44
-2,737451;0;0;1;0;1;0;0;0;0;mutation;44
-0,466805;0;0;1;1;1;0;0;1;0;crossover;46
-2,089803;1;0;0;0;1;1;0;0;1;diversification;48
-0,431924;0;1;0;1;0;1;0;1;0;mutation;48
-2,080303;1;0;0;0;0;1;1;0;1;diversification;48
-2,868694;0;0;1;0;0;0;0;1;0;mutation;50
-0,588936;1;1;0;0;0;0;1;1;0;crossover;54
-1,922433;1;1;0;0;1;1;0;0;1;diversification;58
-2,547332;1;0;0;0;1;1;1;0;1;diversification;58
-1,812811;0;0;1;1;1;0;1;0;1;diversification;58
-2,272595;1;0;0;1;1;0;1;1;1;diversification;58
-2,641529;0;1;0;0;1;0;0;0;0;mutation;61
-0,569303;1;1;1;0;0;1;0;0;0;crossover;62
-0,423458;0;1;0;1;1;0;0;1;0;mutation;63
-0,698211;0;1;0;0;1;1;0;0;0;crossover;63
-1,949013;0;0;0;1;1;1;1;0;0;diversification;68
-1,978140;1;0;1;0;1;1;0;0;1;diversification;68
-0,675692;0;1;0;1;0;0;0;0;1;crossover;69
-1,495515;1;0;1;1;0;1;1;1;0;crossover;69
-1,768091;0;1;0;1;1;0;1;0;1;crossover;69
-0,562929;1;1;1;0;0;0;1;1;0;crossover;73
-0,753996;1;0;0;0;0;0;0;1;1;mutation;81
