File output_ga/ga_setpack_euclidean,csv
elapsed_time;max_gen_reached
47,418453;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,289930;1;0;0;1;0;0;0;1;0;crossover;12
0,280675;0;0;0;1;0;0;1;1;0;initial;0
0,279808;0;0;1;0;1;0;0;1;0;crossover;1
0,276651;0;0;1;0;0;0;0;1;1;initial;0
0,276053;1;0;1;1;0;0;0;0;0;initial;0
0,275279;0;0;1;1;0;0;1;0;0;initial;0
0,272034;0;1;0;0;1;0;0;1;0;crossover;3
0,268052;0;1;0;0;0;0;0;1;1;crossover;25
0,264746;0;0;1;0;0;0;1;1;0;crossover;5
0,262501;0;1;0;1;0;0;1;0;0;crossover;1
0,260785;0;1;0;1;0;0;0;1;0;crossover;1
0,258656;0;1;1;0;0;0;0;0;1;initial;0
0,254511;0;0;1;1;0;0;0;1;0;crossover;8
0,253902;0;0;1;0;0;1;0;1;0;initial;0
0,249550;0;1;1;0;1;0;0;0;0;crossover;1
0,249218;1;1;0;1;0;0;0;0;0;crossover;32
0,246809;0;1;0;0;0;0;1;1;0;initial;0
0,244323;0;1;1;0;0;0;1;0;0;crossover;7
0,242688;0;1;1;0;0;0;0;1;0;initial;0
0,241412;0;1;1;0;0;1;0;0;0;initial;0
0,240736;0;1;1;1;0;0;0;0;0;initial;0
0,234263;0;0;1;1;0;0;1;1;0;initial;0
0,228601;1;0;1;1;0;0;0;1;0;crossover;1
0,218779;0;1;1;0;1;0;0;1;0;initial;0
0,216518;0;1;0;1;0;0;1;1;0;initial;0
Last Generation
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,289930;1;0;0;1;0;0;0;1;0;crossover;12
0,289930;1;0;0;1;0;0;0;1;0;crossover;72
0,289930;1;0;0;1;0;0;0;1;0;crossover;71
0,289930;1;0;0;1;0;0;0;1;0;crossover;72
0,289930;1;0;0;1;0;0;0;1;0;crossover;72
0,289930;1;0;0;1;0;0;0;1;0;crossover;72
0,280675;0;0;0;1;0;0;1;1;0;initial;0
0,280675;0;0;0;1;0;0;1;1;0;initial;0
0,280675;0;0;0;1;0;0;1;1;0;crossover;72
0,279808;0;0;1;0;1;0;0;1;0;crossover;1
0,276651;0;0;1;0;0;0;0;1;1;initial;0
0,276651;0;0;1;0;0;0;0;1;1;crossover;72
0,276053;1;0;1;1;0;0;0;0;0;initial;0
0,276053;1;0;1;1;0;0;0;0;0;initial;0
0,275279;0;0;1;1;0;0;1;0;0;initial;0
0,275279;0;0;1;1;0;0;1;0;0;crossover;71
0,275279;0;0;1;1;0;0;1;0;0;crossover;72
0,272034;0;1;0;0;1;0;0;1;0;crossover;3
0,272034;0;1;0;0;1;0;0;1;0;crossover;71
0,272034;0;1;0;0;1;0;0;1;0;crossover;72
0,272034;0;1;0;0;1;0;0;1;0;crossover;72
0,272034;0;1;0;0;1;0;0;1;0;crossover;72
0,272034;0;1;0;0;1;0;0;1;0;crossover;72
0,268052;0;1;0;0;0;0;0;1;1;crossover;25
0,264746;0;0;1;0;0;0;1;1;0;crossover;5
0,262501;0;1;0;1;0;0;1;0;0;crossover;1
0,260785;0;1;0;1;0;0;0;1;0;crossover;1
0,260785;0;1;0;1;0;0;0;1;0;crossover;72
0,258656;0;1;1;0;0;0;0;0;1;initial;0
0,254511;0;0;1;1;0;0;0;1;0;crossover;8
0,254511;0;0;1;1;0;0;0;1;0;crossover;72
0,254511;0;0;1;1;0;0;0;1;0;crossover;72
0,254511;0;0;1;1;0;0;0;1;0;crossover;71
0,254511;0;0;1;1;0;0;0;1;0;crossover;72
0,254511;0;0;1;1;0;0;0;1;0;crossover;72
0,253902;0;0;1;0;0;1;0;1;0;initial;0
0,253902;0;0;1;0;0;1;0;1;0;crossover;72
0,249550;0;1;1;0;1;0;0;0;0;crossover;1
0,249218;1;1;0;1;0;0;0;0;0;crossover;32
0,246809;0;1;0;0;0;0;1;1;0;initial;0
0,244323;0;1;1;0;0;0;1;0;0;crossover;7
0,242688;0;1;1;0;0;0;0;1;0;initial;0
0,241412;0;1;1;0;0;1;0;0;0;initial;0
0,240736;0;1;1;1;0;0;0;0;0;initial;0
0,234263;0;0;1;1;0;0;1;1;0;initial;0
0,228601;1;0;1;1;0;0;0;1;0;crossover;1
0,218779;0;1;1;0;1;0;0;1;0;initial;0
0,216518;0;1;0;1;0;0;1;1;0;initial;0
-0,400386;1;0;0;1;0;0;1;0;0;crossover;72
-0,415676;1;0;1;0;1;0;0;0;0;crossover;72
