File output_ga/ga_setpack_euclidean_log,csv
elapsed_time;max_gen_reached
47,418453;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,214039;0;1;1;0;0;1;0;1;0;initial;0
0,246809;0;1;0;0;0;0;1;1;0;initial;0
0,182715;1;1;1;1;0;0;0;1;0;initial;0
0,202840;1;1;1;1;0;0;0;0;0;initial;0
0,180160;0;1;1;1;0;0;1;1;0;initial;0
0,276651;0;0;1;0;0;0;0;1;1;initial;0
0,218779;0;1;1;0;1;0;0;1;0;initial;0
0,253902;0;0;1;0;0;1;0;1;0;initial;0
0,216518;0;1;0;1;0;0;1;1;0;initial;0
0,216441;1;1;0;1;0;0;0;1;0;initial;0
0,258656;0;1;1;0;0;0;0;0;1;initial;0
0,200919;0;1;1;0;0;0;0;1;1;initial;0
0,241412;0;1;1;0;0;1;0;0;0;initial;0
0,234263;0;0;1;1;0;0;1;1;0;initial;0
0,276053;1;0;1;1;0;0;0;0;0;initial;0
0,275279;0;0;1;1;0;0;1;0;0;initial;0
0,280675;0;0;0;1;0;0;1;1;0;initial;0
0,242688;0;1;1;0;0;0;0;1;0;initial;0
0,240736;0;1;1;1;0;0;0;0;0;initial;0
0,260785;0;1;0;1;0;0;0;1;0;crossover;1
0,228601;1;0;1;1;0;0;0;1;0;crossover;1
0,249550;0;1;1;0;1;0;0;0;0;crossover;1
-0,862369;1;0;1;1;0;0;0;0;1;crossover;1
0,279808;0;0;1;0;1;0;0;1;0;crossover;1
0,204722;0;1;1;1;0;0;0;1;0;crossover;1
0,262501;0;1;0;1;0;0;1;0;0;crossover;1
-0,479255;0;1;1;0;1;1;0;1;0;crossover;2
-0,880388;1;0;1;1;1;0;0;1;0;crossover;2
-2,333480;0;0;0;1;0;0;0;1;0;mutation;3
-0,465060;1;1;1;0;1;0;0;0;0;mutation;3
0,272034;0;1;0;0;1;0;0;1;0;crossover;3
-0,404443;0;0;0;1;1;0;0;1;0;crossover;4
-0,453496;1;0;1;0;0;0;0;1;1;crossover;5
-0,420659;0;1;0;0;1;0;1;0;0;crossover;5
-2,379754;0;1;0;1;0;0;0;0;0;mutation;5
-2,393168;0;1;1;0;0;0;0;0;0;mutation;5
0,264746;0;0;1;0;0;0;1;1;0;crossover;5
-0,387689;0;0;0;1;0;0;0;1;1;crossover;5
-0,390393;1;0;0;0;1;0;0;1;0;crossover;5
-0,450868;0;0;1;0;1;0;1;1;0;mutation;6
-0,445471;0;1;0;0;1;1;0;1;0;mutation;6
-0,431116;1;0;0;1;0;0;1;1;0;crossover;6
-0,792327;0;0;0;1;0;0;1;0;1;crossover;7
-0,418681;0;0;1;1;0;0;0;0;1;crossover;7
0,244323;0;1;1;0;0;0;1;0;0;crossover;7
-0,420621;0;1;0;1;0;0;0;0;1;crossover;7
-0,473735;1;1;0;1;0;0;1;0;0;mutation;8
-0,418656;0;0;1;0;1;0;1;0;0;crossover;8
0,254511;0;0;1;1;0;0;0;1;0;crossover;8
-1,729961;1;1;1;0;1;1;0;0;1;diversification;11
-2,088923;1;1;0;1;1;1;0;0;1;diversification;11
-1,716377;1;0;1;0;1;1;0;1;1;diversification;11
-1,736199;1;1;1;0;1;1;1;0;0;diversification;11
0,289930;1;0;0;1;0;0;0;1;0;crossover;12
-0,473362;1;1;1;0;0;0;0;0;1;crossover;12
-1,159206;0;1;1;0;1;1;0;0;1;crossover;12
-1,166080;1;1;1;0;0;1;0;0;1;mutation;12
-0,403126;0;0;0;1;0;1;0;1;0;crossover;12
-1,198246;1;1;1;0;1;1;0;1;0;diversification;13
-2,426662;1;0;0;1;1;1;1;0;1;diversification;13
-1,731008;0;1;1;0;1;1;1;0;1;diversification;13
-1,990412;1;1;0;1;1;1;1;0;0;diversification;13
-2,364792;0;0;0;1;0;0;1;0;0;mutation;15
-2,367241;0;0;1;0;1;0;0;0;0;mutation;15
-2,375622;0;1;0;0;0;0;0;1;0;mutation;15
-2,367297;0;0;1;1;0;0;0;0;0;mutation;15
0,198751;0;1;1;0;0;0;1;1;0;crossover;16
-0,400386;1;0;0;1;0;0;1;0;0;crossover;18
-0,424944;0;0;1;0;1;1;0;1;0;mutation;19
-0,455784;0;0;1;0;0;1;1;1;0;mutation;20
-0,456331;0;1;1;0;0;0;1;0;1;mutation;20
-0,895259;1;1;0;1;0;0;0;1;1;mutation;20
-0,421416;0;0;1;0;1;0;0;1;1;mutation;20
-0,447802;0;0;1;0;0;0;1;1;1;mutation;22
-0,858098;1;0;1;1;1;0;0;0;0;mutation;22
-1,978387;1;0;1;1;0;1;1;0;1;diversification;23
-2,176952;1;1;0;0;1;1;1;0;1;diversification;23
-1,588928;0;1;1;1;1;1;1;0;0;diversification;23
-0,795226;1;0;0;1;0;0;0;0;1;crossover;23
-0,493480;1;1;1;0;0;1;0;1;0;crossover;24
0,268052;0;1;0;0;0;0;0;1;1;crossover;25
-0,401688;1;0;0;0;0;0;0;1;1;crossover;27
-0,415676;1;0;1;0;1;0;0;0;0;crossover;28
-0,816871;0;0;0;1;0;0;1;1;1;mutation;29
-0,839355;1;0;0;1;1;0;0;1;0;mutation;29
-2,340706;0;0;0;1;0;0;0;0;1;mutation;29
-2,368774;0;0;1;0;0;0;0;1;0;mutation;29
-0,387857;0;0;1;0;1;0;0;0;1;crossover;30
0,249218;1;1;0;1;0;0;0;0;0;crossover;32
-2,060186;1;0;0;1;1;1;0;1;1;diversification;33
-2,066993;1;0;0;1;1;1;0;0;1;diversification;33
-1,163962;0;1;1;0;0;1;1;0;1;diversification;33
-1,592176;0;1;0;1;1;1;1;1;0;diversification;33
-1,363858;1;0;0;1;1;0;1;1;0;diversification;33
-1,975635;1;0;1;1;1;1;1;0;0;diversification;33
-1,967104;1;0;0;1;1;1;1;1;0;diversification;33
-1,991435;1;1;0;1;0;1;1;0;1;diversification;33
-1,703417;0;1;0;0;1;1;1;0;1;diversification;33
-1,106922;0;0;0;0;0;1;1;0;1;crossover;34
-0,400319;0;0;1;0;0;1;0;0;1;crossover;34
