File output_ga/ga_setpack_inertia_log,csv
elapsed_time;max_gen_reached
29,227558;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;i;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
49,444487;0;1;1;0;1;0;0;0;0;initial;0
100,821799;0;1;1;0;0;0;0;1;1;initial;0
144,022978;1;1;1;1;0;0;0;1;0;initial;0
55,096397;1;1;1;0;0;0;0;0;0;initial;0
99,396787;0;1;1;0;1;0;0;1;0;initial;0
97,777043;0;1;1;0;0;1;0;1;0;initial;0
100,564088;1;1;0;1;0;0;0;1;0;initial;0
87,696558;1;1;1;1;0;0;0;0;0;initial;0
86,417393;0;1;1;1;0;0;1;0;0;initial;0
49,911842;0;1;1;0;0;0;0;0;1;initial;0
63,290807;0;1;1;0;0;0;0;1;0;initial;0
105,010193;1;1;1;0;0;0;0;1;0;initial;0
144,101004;0;1;1;1;0;0;1;1;0;initial;0
59,698363;0;1;0;0;0;0;0;1;1;initial;0
48,826872;0;1;0;1;0;0;1;0;0;initial;0
59,650410;0;0;1;0;0;0;1;1;0;initial;0
56,953084;0;1;0;0;0;1;0;1;0;initial;0
55,746648;0;0;1;0;0;1;0;1;0;initial;0
51,270128;1;1;0;1;0;0;0;0;0;initial;0
55,688769;0;1;1;1;0;0;0;0;0;initial;0
20105,527984;1;1;1;1;1;0;0;0;0;crossover;1
1072,932223;0;1;1;0;1;0;1;0;0;crossover;1
20107,220218;1;1;1;1;0;0;0;0;1;crossover;1
10129,703582;0;1;1;0;1;0;1;1;0;mutation;1
92,711643;0;0;1;1;0;0;1;1;0;mutation;1
10117,614126;1;0;1;1;0;0;1;1;0;crossover;2
1039,929178;0;0;1;1;0;0;0;0;1;crossover;2
106,767185;0;1;1;0;0;0;1;1;0;crossover;2
1077,538651;1;1;1;0;0;0;0;0;1;crossover;3
60,899631;0;0;1;1;0;0;0;1;0;crossover;3
1078,131012;0;1;1;1;1;0;0;0;0;crossover;3
10171,119252;1;1;1;1;0;0;1;1;0;crossover;4
55,623471;0;1;1;0;0;0;1;0;0;crossover;5
1041,195738;0;1;0;1;0;0;0;0;1;crossover;5
107,037829;0;1;1;1;0;0;0;1;0;crossover;5
2059,568706;0;0;1;1;0;0;1;0;1;crossover;6
1041,244613;0;1;0;1;1;0;0;0;0;crossover;10
64,204973;0;1;0;1;0;0;0;1;0;crossover;10
2065,031685;0;1;0;1;1;0;1;0;0;mutation;10
80108,186504;1;0;0;1;0;1;1;1;1;diversification;11
60110,875096;1;0;1;0;1;1;0;1;1;diversification;11
10076,103314;1;1;0;0;1;1;1;0;1;diversification;11
8098,367773;1;1;0;1;1;0;1;0;1;diversification;11
80106,731871;1;0;0;1;1;1;1;1;0;diversification;11
10086,878097;1;0;0;0;1;1;1;1;1;diversification;11
60118,916192;0;0;1;1;1;1;0;1;1;diversification;11
60107,927887;0;0;1;0;1;1;1;1;1;diversification;11
9092,196176;1;1;0;1;1;1;0;0;1;diversification;11
44,458638;0;0;1;1;0;0;1;0;0;crossover;12
6069,655424;1;0;0;0;1;1;0;1;1;diversification;13
60117,350730;1;1;0;0;1;1;0;1;1;diversification;13
8057,230850;1;0;0;1;1;1;1;0;0;diversification;13
57,868501;0;0;1;0;1;0;0;1;0;crossover;14
1034,829847;0;1;0;0;0;1;1;0;0;crossover;14
1070,803036;1;1;0;1;0;0;1;0;0;crossover;15
1033,576399;0;0;1;0;0;1;1;0;0;crossover;16
62,384445;1;1;0;0;0;0;0;1;0;crossover;19
56,720935;0;0;1;0;0;0;0;1;1;crossover;21
1036,977682;1;1;0;0;1;0;0;0;0;crossover;21
1036,248748;0;0;1;0;1;0;1;0;0;crossover;22
1041,193599;0;0;1;1;1;0;0;0;0;crossover;22
6066,951493;0;1;0;1;1;1;0;0;1;crossover;24
1073,436119;1;1;1;0;1;0;0;0;0;crossover;24
14021,480118;0;1;0;1;0;0;0;0;0;mutation;25
1038,122145;1;1;0;0;0;0;1;0;0;crossover;26
2066,596444;1;1;0;1;1;0;0;0;0;mutation;27
1079,770657;0;0;1;0;0;1;1;1;0;crossover;27
49,292465;0;1;1;0;0;1;0;0;0;crossover;27
14019,690295;0;0;1;0;0;0;1;0;0;mutation;29
14021,495082;0;1;1;0;0;0;0;0;0;mutation;29
2059,095656;0;0;1;1;0;1;1;0;0;mutation;29
14025,089673;0;1;0;0;0;0;0;1;0;mutation;30
1041,951781;1;1;0;0;0;0;0;0;1;crossover;31
1027,770304;0;0;1;0;1;1;0;0;0;crossover;32
13069,136265;1;0;0;1;1;1;1;0;1;diversification;33
9098,701762;0;0;0;1;1;1;1;1;1;diversification;33
9086,370919;1;0;1;1;1;1;0;0;1;diversification;33
30104,573694;1;1;0;0;1;0;0;1;1;diversification;33
14020,766625;0;0;1;1;0;0;0;0;0;crossover;34
1028,941878;0;0;1;0;0;1;0;0;1;crossover;34
40137,211479;1;0;1;1;1;0;1;1;0;crossover;34
1073,309339;0;0;1;0;0;1;0;1;1;crossover;34
3054,637445;1;0;0;0;1;1;0;1;0;crossover;34
1039,170917;0;0;1;1;0;1;0;0;0;crossover;35
1084,068119;1;0;1;0;0;0;0;1;1;mutation;36
14016,973647;0;0;0;1;0;0;1;0;0;mutation;39
1040,896699;0;1;0;1;0;1;0;0;0;crossover;39
14017,371688;0;0;1;0;0;1;0;0;0;mutation;43
90102,881318;1;0;0;1;1;1;0;1;1;diversification;43
80109,937489;1;0;0;1;1;0;1;1;1;diversification;43
8089,808745;1;0;1;1;1;1;1;0;0;diversification;43
8092,743898;1;0;1;1;1;0;1;0;1;diversification;43
8095,695868;1;1;0;1;1;1;1;0;0;diversification;43
60123,621248;1;1;0;0;1;0;1;1;1;diversification;43
6060,700630;1;0;1;0;1;1;1;0;0;crossover;44
1085,565797;0;0;1;1;0;0;0;1;1;crossover;44
8060,464890;1;0;0;1;1;0;1;0;1;mutation;44
10126,869181;1;1;1;0;0;1;0;1;0;crossover;45
1079,795611;1;0;1;0;0;1;0;1;0;mutation;45
2064,007114;0;1;0;1;0;0;1;0;1;mutation;48
60115,814988;1;0;1;0;0;1;1;1;1;diversification;53
50128,838387;0;0;1;1;1;0;1;1;1;diversification;53
60120,344514;1;1;0;0;1;1;1;1;0;diversification;53
14017,850928;0;1;0;0;0;1;0;0;0;mutation;57
3051,253034;1;1;0;0;0;1;1;0;0;mutation;57
8098,096135;1;1;0;1;0;1;1;0;1;diversification;63
64,271157;0;1;0;0;0;0;1;1;0;crossover;66
14021,261668;0;1;0;0;0;0;1;0;0;mutation;67
14021,203357;1;1;0;0;0;0;0;0;0;mutation;67
1075,715409;1;1;1;0;0;0;1;0;0;crossover;69
1065,630381;0;1;1;0;0;1;0;0;1;mutation;69
1064,802944;0;1;1;0;1;0;0;0;1;mutation;69
