File output_ga/ga_setpack_variance,csv
elapsed_time;max_gen_reached
2,411046;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,048212;1;0;0;1;0;0;0;1;0;initial;0
0,047732;0;0;0;1;0;0;1;1;0;crossover;8
0,045309;0;1;0;1;0;0;0;1;0;crossover;1
0,044702;0;0;1;1;0;0;0;1;0;crossover;2
0,043891;1;1;0;1;0;0;0;1;0;initial;0
0,043531;0;1;0;1;0;0;1;1;0;initial;0
0,043436;1;0;1;1;0;0;0;1;0;mutation;10
0,043076;0;0;1;1;0;0;1;1;0;initial;0
0,042777;0;1;0;0;1;0;0;1;0;initial;0
0,042529;0;1;0;0;0;0;0;1;1;initial;0
0,042224;1;1;0;0;0;0;0;1;0;initial;0
0,042171;0;0;1;0;1;0;0;1;0;crossover;5
0,041922;0;0;1;0;0;0;0;1;1;crossover;22
0,041744;0;1;0;0;0;0;1;1;0;initial;0
0,041617;1;0;1;0;0;0;0;1;0;initial;0
0,041259;0;1;1;1;0;0;0;1;0;crossover;4
0,041138;0;0;1;0;0;0;1;1;0;initial;0
0,040935;1;1;1;1;0;0;0;1;0;initial;0
0,040647;0;1;1;1;0;0;1;1;0;initial;0
0,039820;1;1;0;1;0;0;0;0;0;initial;0
0,039360;0;1;1;0;1;0;0;1;0;initial;0
0,039341;0;1;0;1;0;0;1;0;0;initial;0
0,039174;0;1;1;0;0;0;0;1;1;initial;0
0,038945;1;1;1;0;0;0;0;1;0;initial;0
0,038714;0;1;1;0;0;0;0;1;0;crossover;1
Last Generation
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,048212;1;0;0;1;0;0;0;1;0;initial;0
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,048212;1;0;0;1;0;0;0;1;0;crossover;60
0,047732;0;0;0;1;0;0;1;1;0;crossover;8
0,047732;0;0;0;1;0;0;1;1;0;crossover;60
0,045309;0;1;0;1;0;0;0;1;0;crossover;1
0,045309;0;1;0;1;0;0;0;1;0;crossover;60
0,045309;0;1;0;1;0;0;0;1;0;crossover;60
0,045309;0;1;0;1;0;0;0;1;0;crossover;60
0,045309;0;1;0;1;0;0;0;1;0;crossover;60
0,044702;0;0;1;1;0;0;0;1;0;crossover;2
0,044702;0;0;1;1;0;0;0;1;0;crossover;60
0,044702;0;0;1;1;0;0;0;1;0;crossover;60
0,043891;1;1;0;1;0;0;0;1;0;initial;0
0,043891;1;1;0;1;0;0;0;1;0;initial;0
0,043531;0;1;0;1;0;0;1;1;0;initial;0
0,043531;0;1;0;1;0;0;1;1;0;crossover;60
0,043436;1;0;1;1;0;0;0;1;0;mutation;10
0,043436;1;0;1;1;0;0;0;1;0;crossover;60
0,043076;0;0;1;1;0;0;1;1;0;initial;0
0,043076;0;0;1;1;0;0;1;1;0;crossover;60
0,042777;0;1;0;0;1;0;0;1;0;initial;0
0,042529;0;1;0;0;0;0;0;1;1;initial;0
0,042224;1;1;0;0;0;0;0;1;0;initial;0
0,042171;0;0;1;0;1;0;0;1;0;crossover;5
0,042171;0;0;1;0;1;0;0;1;0;crossover;60
0,041922;0;0;1;0;0;0;0;1;1;crossover;22
0,041744;0;1;0;0;0;0;1;1;0;initial;0
0,041744;0;1;0;0;0;0;1;1;0;crossover;60
0,041617;1;0;1;0;0;0;0;1;0;initial;0
0,041259;0;1;1;1;0;0;0;1;0;crossover;4
0,041138;0;0;1;0;0;0;1;1;0;initial;0
0,040935;1;1;1;1;0;0;0;1;0;initial;0
0,040647;0;1;1;1;0;0;1;1;0;initial;0
0,040647;0;1;1;1;0;0;1;1;0;crossover;60
0,039820;1;1;0;1;0;0;0;0;0;initial;0
0,039820;1;1;0;1;0;0;0;0;0;initial;0
0,039360;0;1;1;0;1;0;0;1;0;initial;0
0,039341;0;1;0;1;0;0;1;0;0;initial;0
0,039174;0;1;1;0;0;0;0;1;1;initial;0
0,038945;1;1;1;0;0;0;0;1;0;initial;0
0,038714;0;1;1;0;0;0;0;1;0;crossover;1
-0,647439;1;0;0;1;0;0;1;1;0;crossover;60
-0,650904;1;0;0;1;0;0;1;0;0;crossover;60
