File output_ga/ga_setpack_variance_log,csv
elapsed_time;max_gen_reached
2,411046;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,039174;0;1;1;0;0;0;0;1;1;initial;0
0,039360;0;1;1;0;1;0;0;1;0;initial;0
0,040647;0;1;1;1;0;0;1;1;0;initial;0
0,043891;1;1;0;1;0;0;0;1;0;initial;0
0,042224;1;1;0;0;0;0;0;1;0;initial;0
0,040935;1;1;1;1;0;0;0;1;0;initial;0
0,043531;0;1;0;1;0;0;1;1;0;initial;0
0,036783;0;1;1;1;0;0;1;0;0;initial;0
0,036693;0;1;1;0;0;1;0;1;0;initial;0
0,039341;0;1;0;1;0;0;1;0;0;initial;0
0,042777;0;1;0;0;1;0;0;1;0;initial;0
0,048212;1;0;0;1;0;0;0;1;0;initial;0
0,041744;0;1;0;0;0;0;1;1;0;initial;0
0,030222;0;1;1;0;0;1;0;0;0;initial;0
0,038945;1;1;1;0;0;0;0;1;0;initial;0
0,038586;0;1;1;0;0;0;1;1;0;initial;0
0,041617;1;0;1;0;0;0;0;1;0;initial;0
0,043076;0;0;1;1;0;0;1;1;0;initial;0
0,042529;0;1;0;0;0;0;0;1;1;initial;0
0,041138;0;0;1;0;0;0;1;1;0;initial;0
0,037143;1;1;1;1;0;0;0;0;0;initial;0
0,039820;1;1;0;1;0;0;0;0;0;initial;0
0,032746;0;1;1;0;0;0;1;0;0;initial;0
0,033779;0;1;1;0;1;0;0;0;0;initial;0
-1,055677;0;1;0;1;0;0;1;1;1;crossover;1
0,038714;0;1;1;0;0;0;0;1;0;crossover;1
-0,653732;1;1;0;1;0;0;1;0;0;crossover;1
0,045309;0;1;0;1;0;0;0;1;0;crossover;1
-1,057741;1;1;1;1;0;0;0;1;1;crossover;1
0,044702;0;0;1;1;0;0;0;1;0;crossover;2
-0,651929;1;1;0;0;0;0;1;1;0;crossover;2
-0,652384;1;0;1;0;0;0;1;1;0;crossover;2
-0,647439;1;0;0;1;0;0;1;1;0;crossover;2
-0,651341;1;1;0;0;0;0;0;1;1;crossover;3
-0,651514;0;1;0;0;1;0;1;1;0;crossover;3
-0,652030;0;1;1;1;0;0;0;1;1;crossover;3
0,041259;0;1;1;1;0;0;0;1;0;crossover;4
-0,650394;1;1;0;1;0;0;1;1;0;crossover;4
0,042171;0;0;1;0;1;0;0;1;0;crossover;5
-0,647716;1;0;0;0;0;0;0;1;1;crossover;5
0,047732;0;0;0;1;0;0;1;1;0;crossover;8
-0,653880;1;1;1;0;0;0;0;1;1;crossover;8
-0,648500;1;0;0;0;0;0;1;1;0;crossover;9
-1,055156;0;0;0;1;0;1;1;1;0;mutation;10
0,043436;1;0;1;1;0;0;0;1;0;mutation;10
-2,663785;1;0;0;1;0;0;0;0;0;mutation;10
-2,361324;1;0;1;0;1;1;1;0;1;diversification;11
-2,264168;0;1;0;1;1;1;1;0;1;diversification;11
-2,361021;1;1;0;0;1;1;1;0;1;diversification;11
-1,910551;1;1;1;0;1;1;0;0;1;diversification;11
-1,910791;0;1;1;0;1;1;1;0;1;diversification;11
-1,908241;0;0;0;0;1;1;1;0;1;diversification;11
-1,052489;0;0;0;1;1;0;1;1;0;mutation;13
-1,052316;1;0;0;1;0;0;0;1;1;crossover;15
-0,647467;1;0;0;0;1;0;0;1;0;crossover;18
-1,909301;1;1;0;0;1;1;0;0;1;diversification;21
-2,264232;1;0;1;1;1;1;0;0;1;diversification;21
-1,909589;0;1;0;0;1;1;1;0;1;diversification;21
-1,351031;0;1;0;0;1;1;1;0;0;mutation;22
0,041922;0;0;1;0;0;0;0;1;1;crossover;22
-0,650758;1;0;1;1;0;0;1;1;0;crossover;26
-2,660179;1;0;0;0;0;0;0;1;0;mutation;28
-2,655552;0;0;0;1;0;0;0;1;0;mutation;29
-1,909953;0;0;1;0;1;1;1;0;1;diversification;31
-0,650470;0;0;0;0;1;1;0;1;0;crossover;32
-1,349419;1;0;1;0;0;0;1;0;1;crossover;32
-1,057857;0;1;1;1;1;0;1;1;0;mutation;32
-0,644382;0;0;0;1;1;0;0;1;0;crossover;33
-1,054797;1;0;0;1;0;1;0;1;0;mutation;36
-1,351791;0;1;1;0;1;1;0;0;1;diversification;41
-2,159085;1;1;0;1;0;1;1;0;1;diversification;41
-2,664504;0;0;0;1;0;0;1;0;0;mutation;41
-1,909665;1;0;1;0;1;1;0;0;1;diversification;41
-2,157642;1;0;0;1;0;1;1;0;1;crossover;42
-1,348583;0;1;1;0;1;1;1;1;0;crossover;42
-1,055585;1;0;0;1;0;0;0;0;1;crossover;42
-0,651796;1;0;1;0;0;0;0;1;1;crossover;44
-2,668139;0;1;0;1;0;0;0;0;0;mutation;45
-0,651155;1;1;0;0;1;0;0;1;0;crossover;50
-0,649483;0;0;1;1;0;0;0;1;1;crossover;56
-0,650904;1;0;0;1;0;0;1;0;0;crossover;59
