File output_ga/std/ga_setpack_cosine,csv
elapsed_time;max_gen_reached
171,911072;False
corr_threshold;cxpb;db;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;std;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,186726;0;1;0;0;1;0;0;1;0;crossover;10
0,184474;0;1;0;0;0;1;0;1;0;initial;0
0,169698;0;1;1;0;1;0;0;1;0;crossover;1
0,163692;0;1;0;0;1;0;1;1;0;initial;0
0,162101;0;1;0;0;0;0;0;1;1;crossover;4
0,147110;0;1;1;0;0;0;0;1;1;crossover;1
0,137250;0;1;1;0;1;0;1;0;0;crossover;3
0,130406;0;1;1;0;0;1;0;1;0;initial;0
0,118905;0;1;1;0;1;0;1;1;0;initial;0
0,117695;1;1;0;0;0;0;0;1;1;initial;0
0,113195;0;1;1;1;0;0;1;1;0;initial;0
0,108130;1;1;1;1;0;0;0;1;0;initial;0
0,098866;0;1;1;0;1;0;0;0;0;crossover;9
0,098600;0;1;0;1;0;0;1;1;0;initial;0
0,097518;0;1;1;0;0;0;0;0;1;crossover;1
0,095562;1;1;1;0;0;0;0;1;1;initial;0
0,093745;0;1;1;1;0;0;0;1;0;crossover;1
0,083731;0;0;1;0;1;0;1;1;0;initial;0
0,076421;1;1;1;0;0;0;0;1;0;crossover;2
0,074488;1;1;0;0;0;0;0;1;0;initial;0
0,068928;1;1;1;0;0;0;0;0;1;initial;0
0,067292;0;1;1;1;0;0;0;0;0;crossover;12
0,065758;1;0;1;0;0;0;0;1;1;initial;0
0,064796;0;0;1;0;0;1;0;1;0;initial;0
0,063297;0;1;1;1;0;0;1;0;0;crossover;12
Last Generation
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
0,186726;0;1;0;0;1;0;0;1;0;crossover;10
0,186726;0;1;0;0;1;0;0;1;0;crossover;70
0,186726;0;1;0;0;1;0;0;1;0;crossover;70
0,186726;0;1;0;0;1;0;0;1;0;crossover;69
0,186726;0;1;0;0;1;0;0;1;0;crossover;70
0,186726;0;1;0;0;1;0;0;1;0;crossover;70
0,186726;0;1;0;0;1;0;0;1;0;crossover;70
0,186726;0;1;0;0;1;0;0;1;0;crossover;70
0,184474;0;1;0;0;0;1;0;1;0;initial;0
0,169698;0;1;1;0;1;0;0;1;0;crossover;1
0,169698;0;1;1;0;1;0;0;1;0;crossover;70
0,163692;0;1;0;0;1;0;1;1;0;initial;0
0,163692;0;1;0;0;1;0;1;1;0;crossover;70
0,163692;0;1;0;0;1;0;1;1;0;crossover;70
0,163692;0;1;0;0;1;0;1;1;0;crossover;70
0,163692;0;1;0;0;1;0;1;1;0;crossover;70
0,162101;0;1;0;0;0;0;0;1;1;crossover;4
0,162101;0;1;0;0;0;0;0;1;1;crossover;70
0,162101;0;1;0;0;0;0;0;1;1;crossover;70
0,162101;0;1;0;0;0;0;0;1;1;crossover;70
0,162101;0;1;0;0;0;0;0;1;1;crossover;70
0,162101;0;1;0;0;0;0;0;1;1;crossover;69
0,162101;0;1;0;0;0;0;0;1;1;crossover;69
0,147110;0;1;1;0;0;0;0;1;1;crossover;1
0,137250;0;1;1;0;1;0;1;0;0;crossover;3
0,137250;0;1;1;0;1;0;1;0;0;crossover;70
0,130406;0;1;1;0;0;1;0;1;0;initial;0
0,118905;0;1;1;0;1;0;1;1;0;initial;0
0,117695;1;1;0;0;0;0;0;1;1;initial;0
0,117695;1;1;0;0;0;0;0;1;1;crossover;70
0,113195;0;1;1;1;0;0;1;1;0;initial;0
0,108130;1;1;1;1;0;0;0;1;0;initial;0
0,098866;0;1;1;0;1;0;0;0;0;crossover;9
0,098600;0;1;0;1;0;0;1;1;0;initial;0
0,097518;0;1;1;0;0;0;0;0;1;crossover;1
0,097518;0;1;1;0;0;0;0;0;1;crossover;70
0,097518;0;1;1;0;0;0;0;0;1;crossover;1
0,095562;1;1;1;0;0;0;0;1;1;initial;0
0,093745;0;1;1;1;0;0;0;1;0;crossover;1
0,093745;0;1;1;1;0;0;0;1;0;crossover;70
0,083731;0;0;1;0;1;0;1;1;0;initial;0
0,076421;1;1;1;0;0;0;0;1;0;crossover;2
0,074488;1;1;0;0;0;0;0;1;0;initial;0
0,068928;1;1;1;0;0;0;0;0;1;initial;0
0,067292;0;1;1;1;0;0;0;0;0;crossover;12
0,065758;1;0;1;0;0;0;0;1;1;initial;0
0,064796;0;0;1;0;0;1;0;1;0;initial;0
0,063297;0;1;1;1;0;0;1;0;0;crossover;12
0,052201;0;1;0;0;0;0;1;1;0;crossover;70
-0,530460;0;1;0;1;0;1;0;1;0;crossover;70
