,all
0,936.2315902003304
1,811.6163722900596
2,761.0108247119093
3,722.254605529109
4,686.1572196278458
5,662.3444984080478
6,638.6296872652603
7,618.6920837123123
8,602.207512064789
9,589.6055760786112
10,574.391611066891
11,561.1126288525143
12,552.1164828945145
13,543.5004755088584
14,536.7782712338159
15,528.7373448856006
16,518.9757526595492
17,513.4740616048283
18,506.6938152995422
19,503.908622833545
20,496.3932864086852
21,492.7480768743408
22,487.16228004578886
23,481.81640040131276
24,477.8136794947235
25,472.6498451756117
26,468.0121203261167
27,464.97543737691876
28,461.5770941433742
29,454.5565249456638
30,451.12309613468364
31,449.09956359840766
32,444.6914605421482
33,441.6591803312437
34,437.73997066624065
35,437.6743105221982
36,432.82272903346444
37,429.2897934088763
38,427.8749751927392
39,425.00715690364314
40,422.74105143576645
41,420.6686995961879
42,415.95874386082426
43,414.0533481530382
44,412.2922430885799
45,410.34677655088046
46,407.32245843515267
47,406.66162692623857
48,402.0570785492945
49,399.60377287331835
50,397.38834434247013
51,397.43477931857484
52,395.5600775926885
53,395.18135312010503
54,391.68697490941315
55,390.18374564886517
56,389.22369734089693
57,384.4872040108472
58,383.4698994581804
59,382.0183892779738
60,382.37294213274447
61,379.37293101870233
62,378.7446333872397
63,377.94254389844366
64,375.57533997900254
65,372.5364828099901
66,372.0426815099979
67,369.452701045065
68,367.8948738890047
69,366.1977519753644
70,365.7388041803354
71,362.19801590288637
72,363.61062563128826
73,361.7784293077225
74,358.20821961234833
75,358.8806917590982
76,358.64712496965274
77,356.2777285275553
78,355.9671442080746
79,353.1402609621187
80,351.0518325210159
81,349.50191789146857
82,349.97652993034944
83,348.58570315234033
84,347.68491651555803
85,347.19988958366343
86,344.9480844391394
87,344.25582877058395
88,343.7651669097845
89,339.4951078017885
90,340.44805832185165
91,340.01713769541294
92,338.5164353546034
93,338.47050852529856
94,337.2497387180007
95,336.3428457974331
96,333.9343588171645
97,334.29707495386805
