,all
0,1054.315937411595
1,913.0960874425406
2,839.0162986483085
3,788.3040862418051
4,744.2099842909871
5,707.4206748131714
6,681.5133774182773
7,660.4002255860364
8,639.6334242582674
9,621.4749429217759
10,606.7738108132728
11,592.5555617818743
12,578.4299190040936
13,566.3494921036488
14,554.291504747936
15,544.5466881307696
16,535.9107154365109
17,527.0245215074575
18,518.6022191160009
19,512.8260679693587
20,505.66922489005265
21,497.40957592466856
22,491.4956577385601
23,486.1558455015239
24,479.1715639477735
25,474.403411674066
26,470.08373671712104
27,464.7495445243693
28,457.8179417235638
29,454.3143586700893
30,449.6638344212861
31,445.4441057438131
32,439.8928022514961
33,436.93257058174265
34,432.89632062970713
35,429.32916622505
36,424.69489697483164
37,421.445720186786
38,418.7236555304299
39,415.6633099628431
40,411.8875980643337
41,409.07782612262196
42,407.6321833823098
43,403.2963277959286
44,400.8794576323925
45,398.4079657207359
46,395.86468958754824
47,393.64750840836086
48,391.0668139899831
49,389.05277340477227
50,387.27758761023193
51,382.6131766517525
52,380.6618128941042
53,379.69820784134197
54,377.7535147553035
55,374.48245302267793
56,373.0191534018855
57,370.72364258845175
58,368.6225068173296
59,366.76096346186375
60,365.852479732599
61,363.838179461075
62,361.31208097604247
63,359.306980470771
64,357.4901599077361
65,356.9776491523926
66,354.60686565932207
67,353.16746790236596
68,350.39011922748193
69,350.78341253920524
70,348.384175358236
71,346.5438950419582
72,345.6564680818612
73,343.5883345463096
74,342.68569316450277
75,340.65993105861423
76,340.6405920998592
77,337.76329709545746
78,336.64139268621574
79,335.31346968668254
80,333.7994882119739
81,332.8785972600524
82,330.69426106387607
83,329.796093712363
84,328.3534791794049
85,327.02665595658505
86,327.3018773152173
87,326.0525905445796
88,324.23688090941823
89,323.17675241746554
90,321.92784918891545
91,320.2692107284754
92,319.48693301962084
93,319.2025245506277
94,317.87009100846296
95,315.1484667430716
96,315.2848755790707
97,314.98279343165814
