k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;3501.968414
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,gpm,hh;0,189951;1;3;0
deaths,hh,xpm;0,187349;1;3;0
deaths,denies,hh,xpm;0,170163;1;4;0
assists,deaths,gpm,hh;0,150208;1;4;0
deaths,denies,gpm,hh;0,149013;1;4;0
assists,deaths,denies,gpm,hh;0,145158;1;5;0
assists,deaths,hh,lh;0,130658;1;4;0
deaths,denies,hh,kills;0,119486;1;4;0
assists,deaths,hh,xpm;0,119165;1;4;0
assists,deaths,denies,hh;0,113329;1;4;0
