k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;3501.968414
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,gpm,hh;0,189951;1;3;0
deaths,hh,xpm;0,187349;1;3;0
deaths,denies,hh,xpm;0,170163;1;4;0
assists,deaths,gpm,hh;0,150208;1;4;0
deaths,denies,gpm,hh;0,149013;1;4;0
assists,deaths,denies,gpm,hh;0,145158;1;5;0
assists,deaths,hh,lh;0,130658;1;4;0
deaths,denies,hh,kills;0,119486;1;4;0
assists,deaths,hh,xpm;0,119165;1;4;0
assists,deaths,denies,hh;0,113329;1;4;0
deaths,hh,lh;0,109837;1;3;0
assists,deaths,denies,hh,kills;0,105277;1;5;0
deaths,hh,kills,lh;0,102264;1;4;0
deaths,denies,hd,hh;0,099993;1;4;0
assists,deaths,denies,hh,xpm;0,094692;1;5;0
deaths,denies,hh;0,089303;1;3;0
assists,deaths,denies,gpm;0,088322;1;4;0
assists,deaths,gpm;0,080952;1;3;0
assists,deaths,xpm;0,078078;1;3;0
assists,deaths,denies,xpm;0,070744;1;4;0
deaths,hh,kills;0,068721;1;3;0
assists,deaths,hh,kills,lh;0,062378;1;5;0
assists,deaths,denies,hd,hh;0,058966;1;5;0
assists,deaths,lh;0,055255;1;3;0
assists,deaths,denies,hd;0,053971;1;4;0
assists,denies,hh,xpm;0,053298;1;4;0
assists,deaths,denies;0,049614;1;3;0
assists,denies,hh,kills;0,049453;1;4;0
assists,denies,gpm,hh;0,042006;1;4;0
deaths,denies,gpm;0,040038;1;3;0
assists,deaths,hh,kills;0,038797;1;4;0
assists,denies,hd,hh;0,038095;1;4;0
assists,deaths,kills,lh;0,038017;1;4;0
assists,hh,kills,lh;0,037038;1;4;0
assists,deaths,denies,kills;0,033831;1;4;0
deaths,denies,xpm;0,030220;1;3;0
deaths,hd,hh;0,017160;1;3;0
assists,hh,xpm;0,014679;1;3;0
assists,denies,hh;0,006036;1;3;0
assists,deaths,hd,hh;0,004239;1;4;0
assists,hh,lh;0,003455;1;3;0
denies,hh,xpm;-0,005637;1;3;0
assists,gpm,hh;-0,012080;1;3;0
assists,deaths,hd;-0,016213;1;3;0
deaths,denies,kills;-0,022385;1;3;0
assists,deaths,kills;-0,022610;1;3;0
deaths,kills,lh;-0,039540;1;3;0
deaths,denies,hd;-0,051831;1;3;0
assists,hh,kills;-0,060377;1;3;0
assists,denies,xpm;-0,069716;1;3;0
assists,denies,kills;-0,077579;1;3;0
denies,gpm,hh;-0,079118;1;3;0
assists,hd,hh;-0,079666;1;3;0
assists,deaths,hh;-0,083581;1;3;0
assists,denies,gpm;-0,086450;1;3;0
assists,denies,hd;-0,088254;1;3;0
assists,kills,lh;-0,100996;1;3;0
denies,hh,kills;-0,115511;1;3;0
denies,hd,hh;-0,117342;1;3;0
hh,kills,lh;-0,125740;1;3;0
deaths,gpm,hh,lh;-0,535612;0;4;1
deaths,gpm,hh,xpm;-0,543529;0;4;1
deaths,denies,gpm,hh,xpm;-0,552782;0;5;1
deaths,denies,gpm,hh,kills;-0,555889;0;5;1
deaths,denies,hh,kills,xpm;-0,559299;0;5;1
deaths,denies,hd,hh,xpm;-0,561172;0;5;1
deaths,denies,gpm,hd,hh;-0,561888;0;5;1
assists,deaths,gpm,hh,lh;-0,565190;0;5;1
deaths,hh,lh,xpm;-0,567653;0;4;1
deaths,gpm,hh,kills;-0,567719;0;4;1
deaths,hd,hh,xpm;-0,568735;0;4;1
deaths,gpm,hd,hh;-0,569881;0;4;1
assists,deaths,denies,gpm,hh,xpm;-0,572187;0;6;1
assists,deaths,denies,gpm,hh,kills;-0,574295;0;6;1
deaths,denies,hh,kills,lh;-0,581463;0;5;1
