k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;1;0.750000;10;5475.181986
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,hh,xpm;0,104887;1;3;0
deaths,gpm,hh,xpm;0,104122;1;4;0
denies,hh,xpm;0,054160;1;3;0
deaths,denies,hh,xpm;0,051159;1;4;0
denies,gpm,hh,xpm;0,048909;1;4;0
deaths,denies,gpm,hh,xpm;0,048698;1;5;0
deaths,denies,xpm;0,041649;1;3;0
deaths,denies,gpm,xpm;0,040638;1;4;0
assists,deaths,denies,gpm,hh,xpm;0,035371;1;6;0
deaths,denies,gpm,hd,hh;0,035117;1;5;0
deaths,denies,hd,hh;0,034882;1;4;0
assists,deaths,denies,hh,xpm;0,034833;1;5;0
assists,deaths,denies,xpm;0,031443;1;4;0
assists,deaths,denies,gpm,xpm;0,030758;1;5;0
deaths,denies,hh,kills,lh;0,025874;1;5;0
deaths,denies,hh,lh;0,025759;1;4;0
deaths,denies,gpm,hh,kills,lh;0,025655;1;6;0
deaths,denies,gpm,hh,lh;0,024828;1;5;0
assists,deaths,denies,hh,lh;0,021138;1;5;0
assists,deaths,denies,lh;0,019764;1;4;0
assists,deaths,denies,gpm,hh,lh;0,018947;1;6;0
assists,deaths,denies,gpm,lh;0,017732;1;5;0
assists,deaths,denies,hh,kills,lh;0,017041;1;6;0
assists,deaths,denies,kills,lh;0,016325;1;5;0
assists,deaths,denies,gpm,kills,lh;0,015562;1;6;0
assists,deaths,denies,hh;0,014471;1;4;0
assists,deaths,denies,hh,kills;0,014234;1;5;0
assists,deaths,denies,gpm,hh;0,013985;1;5;0
assists,deaths,denies;0,012697;1;3;0
assists,deaths,denies,gpm,hh,kills;0,012032;1;6;0
assists,deaths,denies,gpm;0,011411;1;4;0
assists,deaths,denies,hd,hh;0,010290;1;5;0
assists,deaths,denies,gpm,hd;0,009901;1;5;0
assists,deaths,denies,gpm,hd,hh;0,009782;1;6;0
deaths,denies,kills,lh;0,008040;1;4;0
deaths,denies,gpm,kills,lh;0,007921;1;5;0
deaths,denies,lh;0,007479;1;3;0
