k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;0;0.750000;10;3964.030602
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
denies,gpm,hh;0,277717;1;3;0
denies,hh,xpm;0,272955;1;3;0
denies,hd,hh;0,269624;1;3;0
hh,kills,lh;0,269288;1;3;0
denies,hh,kills;0,267067;1;3;0
assists,kills,lh;0,261404;1;3;0
deaths,denies,hh;0,261145;1;3;0
assists,denies,hd;0,261062;1;3;0
assists,hd,hh;0,260944;1;3;0
assists,denies,hh;0,257597;1;3;0
deaths,gpm,hh;0,256075;1;3;0
assists,denies,xpm;0,256023;1;3;0
assists,denies,kills;0,256013;1;3;0
assists,hh,kills;0,255201;1;3;0
deaths,hh,lh;0,253470;1;3;0
deaths,denies,gpm;0,253458;1;3;0
assists,hh,xpm;0,251934;1;3;0
assists,denies,gpm;0,251751;1;3;0
assists,hh,lh;0,251514;1;3;0
deaths,hd,hh;0,251332;1;3;0
assists,gpm,hh;0,249896;1;3;0
deaths,kills,lh;0,249893;1;3;0
deaths,hh,xpm;0,249169;1;3;0
deaths,denies,xpm;0,248441;1;3;0
deaths,denies,hd;0,248382;1;3;0
deaths,denies,kills;0,246888;1;3;0
deaths,hh,kills;0,246208;1;3;0
assists,deaths,hd;0,240228;1;3;0
assists,deaths,denies;0,236544;1;3;0
assists,deaths,gpm;0,233972;1;3;0
assists,deaths,xpm;0,232315;1;3;0
assists,deaths,lh;0,232286;1;3;0
assists,deaths,hh;0,232033;1;3;0
assists,deaths,kills;0,229961;1;3;0
assists,denies,hh,xpm;0,220649;1;4;0
assists,denies,hd,hh;0,220460;1;4;0
assists,denies,gpm,hh;0,219044;1;4;0
assists,hh,kills,lh;0,218848;1;4;0
deaths,denies,hh,xpm;0,218603;1;4;0
deaths,denies,gpm,hh;0,213940;1;4;0
deaths,hh,kills,lh;0,212997;1;4;0
assists,denies,hh,kills;0,211913;1;4;0
deaths,denies,hh,kills;0,210940;1;4;0
deaths,denies,hd,hh;0,210014;1;4;0
assists,deaths,kills,lh;0,201491;1;4;0
assists,deaths,denies,xpm;0,201356;1;4;0
assists,deaths,denies,gpm;0,198122;1;4;0
assists,deaths,denies,hd;0,196604;1;4;0
assists,deaths,hh,lh;0,196015;1;4;0
assists,deaths,denies,hh;0,195947;1;4;0
assists,deaths,gpm,hh;0,195536;1;4;0
assists,deaths,hd,hh;0,194036;1;4;0
assists,deaths,hh,xpm;0,192342;1;4;0
