k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;1;0.750000;10;6079.089530
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
gpm,kills,lh;0,397373;1;3;0
gpm,hh,lh;0,390503;1;3;0
denies,gpm,hh;0,390465;1;3;0
denies,gpm,kills;0,383261;1;3;0
gpm,hh,kills;0,372874;1;3;0
assists,gpm,hh;0,365070;1;3;0
denies,gpm,hd;0,357015;1;3;0
denies,gpm,xpm;0,355674;1;3;0
assists,gpm,kills;0,355159;1;3;0
assists,gpm,xpm;0,354941;1;3;0
gpm,hd,hh;0,354826;1;3;0
denies,gpm,lh;0,346610;1;3;0
gpm,hh,xpm;0,342983;1;3;0
deaths,gpm,hh;0,341502;1;3;0
deaths,denies,gpm;0,333327;1;3;0
assists,gpm,hd;0,333003;1;3;0
hh,kills,lh;0,332986;1;3;0
deaths,gpm,lh;0,332910;1;3;0
assists,gpm,lh;0,330503;1;3;0
denies,gpm,hh,kills;0,330074;1;4;0
deaths,gpm,kills;0,328641;1;3;0
assists,denies,gpm;0,327395;1;3;0
gpm,hh,kills,lh;0,323775;1;4;0
deaths,gpm,xpm;0,323722;1;3;0
deaths,gpm,hd;0,321618;1;3;0
denies,hh,xpm;0,317520;1;3;0
denies,gpm,hh,xpm;0,315474;1;4;0
denies,kills,lh;0,315140;1;3;0
denies,gpm,kills,lh;0,314473;1;4;0
assists,gpm,kills,lh;0,311052;1;4;0
assists,deaths,gpm;0,310341;1;3;0
assists,kills,lh;0,308360;1;3;0
denies,hh,kills;0,308150;1;3;0
denies,hh,lh;0,306175;1;3;0
denies,gpm,hh,lh;0,304138;1;4;0
assists,denies,xpm;0,298458;1;3;0
assists,denies,gpm,xpm;0,297509;1;4;0
denies,hd,hh;0,295701;1;3;0
assists,denies,kills;0,295085;1;3;0
deaths,kills,lh;0,293977;1;3;0
assists,denies,gpm,kills;0,293944;1;4;0
deaths,gpm,kills,lh;0,293567;1;4;0
denies,gpm,hd,hh;0,291633;1;4;0
assists,denies,hh;0,289886;1;3;0
assists,denies,gpm,hh;0,288842;1;4;0
deaths,denies,xpm;0,284983;1;3;0
denies,hh,kills,lh;0,284729;1;4;0
assists,hd,hh;0,284481;1;3;0
denies,gpm,hh,kills,lh;0,283836;1;5;0
deaths,denies,kills;0,283728;1;3;0
deaths,denies,gpm,xpm;0,283575;1;4;0
assists,gpm,hd,hh;0,283177;1;4;0
deaths,denies,gpm,kills;0,282963;1;4;0
assists,hh,kills;0,281484;1;3;0
assists,gpm,hh,kills;0,280221;1;4;0
assists,hh,lh;0,280103;1;3;0
assists,gpm,hh,lh;0,277111;1;4;0
assists,hh,xpm;0,274289;1;3;0
deaths,hh,kills;0,271649;1;3;0
deaths,gpm,hh,kills;0,269875;1;4;0
assists,gpm,hh,xpm;0,269672;1;4;0
assists,denies,gpm,hh,xpm;0,269459;1;5;0
assists,denies,hh,xpm;0,269433;1;4;0
deaths,denies,lh;0,268337;1;3;0
deaths,denies,hh;0,267874;1;3;0
assists,denies,lh;0,267855;1;3;0
assists,denies,hh,kills;0,267621;1;4;0
deaths,denies,gpm,lh;0,267202;1;4;0
assists,denies,gpm,lh;0,267148;1;4;0
assists,denies,gpm,hh,kills;0,266737;1;5;0
