k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;inertia;3;6;0;0.750000;10;593.116899
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,xpm;340,708687;1;3;0
deaths,denies,xpm;351,458940;1;3;0
deaths,denies,gpm;352,662199;1;3;0
assists,denies,gpm;360,528044;1;3;0
denies,hh,xpm;365,386556;1;3;0
assists,kills,lh;368,197481;1;3;0
denies,gpm,hh;370,439078;1;3;0
deaths,kills,lh;375,295745;1;3;0
hh,kills,lh;383,458680;1;3;0
assists,denies,kills;419,594743;1;3;0
