k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;inertia;3;6;0;0.750000;10;593.116899
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,xpm;340,708687;1;3;0
deaths,denies,xpm;351,458940;1;3;0
deaths,denies,gpm;352,662199;1;3;0
assists,denies,gpm;360,528044;1;3;0
denies,hh,xpm;365,386556;1;3;0
assists,kills,lh;368,197481;1;3;0
denies,gpm,hh;370,439078;1;3;0
deaths,kills,lh;375,295745;1;3;0
hh,kills,lh;383,458680;1;3;0
assists,denies,kills;419,594743;1;3;0
assists,deaths,xpm;420,698127;1;3;0
assists,denies,hd;421,540975;1;3;0
assists,hh,xpm;427,097564;1;3;0
assists,deaths,gpm;427,679860;1;3;0
deaths,denies,kills;429,854660;1;3;0
denies,hh,kills;436,270160;1;3;0
deaths,denies,hd;441,496869;1;3;0
deaths,hh,xpm;443,767478;1;3;0
deaths,gpm,hh;445,748886;1;3;0
assists,gpm,hh;450,974622;1;3;0
denies,hd,hh;466,712208;1;3;0
assists,deaths,kills;477,396790;1;3;0
assists,hh,kills;480,178438;1;3;0
assists,deaths,lh;484,388218;1;3;0
assists,deaths,hd;484,417245;1;3;0
assists,deaths,denies;495,463841;1;3;0
assists,hd,hh;495,958004;1;3;0
assists,hh,lh;498,255760;1;3;0
deaths,hh,kills;500,913749;1;3;0
deaths,hh,lh;501,709611;1;3;0
deaths,denies,hh;511,382497;1;3;0
assists,denies,hh;511,635225;1;3;0
assists,deaths,hh;527,466427;1;3;0
deaths,hd,hh;528,272165;1;3;0
assists,deaths,denies,xpm;689,582075;1;4;0
assists,deaths,denies,gpm;701,394786;1;4;0
assists,denies,hh,xpm;712,255857;1;4;0
deaths,denies,gpm,hh;724,341072;1;4;0
deaths,denies,hh,xpm;724,574221;1;4;0
assists,deaths,kills,lh;729,353018;1;4;0
assists,denies,gpm,hh;732,657453;1;4;0
assists,hh,kills,lh;743,500715;1;4;0
deaths,hh,kills,lh;760,526682;1;4;0
assists,deaths,denies,kills;788,504972;1;4;0
assists,deaths,denies,hd;793,905465;1;4;0
assists,denies,hh,kills;805,923314;1;4;0
assists,deaths,hh,xpm;814,755520;1;4;0
deaths,denies,hh,kills;820,419223;1;4;0
assists,denies,hd,hh;825,103767;1;4;0
assists,deaths,gpm,hh;827,495962;1;4;0
deaths,denies,hd,hh;851,592472;1;4;0
assists,deaths,hh,kills;891,366927;1;4;0
assists,deaths,hh,lh;906,365179;1;4;0
assists,deaths,hd,hh;916,964317;1;4;0
