k;seed;metric;min_size;max_size;outliers;threshold;elite_size
10;-1;variance;3;9;0;0.750000;10
All solutions found
Solution;Evaluation;Feasible;Num. of Attr.;Restrictions Violated
denies,hd,hh;0.050197;1;3;0
denies,hh,kills;0.049687;1;3;0
assists,denies,hh;0.048080;1;3;0
deaths,denies,hh;0.048039;1;3;0
denies,gpm,hh;0.047841;1;3;0
hh,kills,lh;0.046185;1;3;0
assists,denies,hd,hh;0.045808;1;4;0
denies,hh,xpm;0.045792;1;3;0
deaths,denies,hd,hh;0.045778;1;4;0
assists,denies,hh,kills;0.045427;1;4;0
deaths,denies,hh,kills;0.045397;1;4;0
assists,hh,lh;0.044577;1;3;0
deaths,hh,lh;0.044537;1;3;0
assists,deaths,denies,hh;0.044191;1;4;0
assists,denies,gpm,hh;0.044042;1;4;0
deaths,denies,gpm,hh;0.044012;1;4;0
assists,hd,hh;0.043365;1;3;0
deaths,hd,hh;0.043325;1;3;0
assists,deaths,denies,hd,hh;0.043152;1;5;0
assists,hh,kills;0.042856;1;3;0
assists,deaths,denies,hh,kills;0.042846;1;5;0
deaths,hh,kills;0.042816;1;3;0
assists,hh,kills,lh;0.042800;1;4;0
deaths,hh,kills,lh;0.042770;1;4;0
assists,denies,hh,xpm;0.042505;1;4;0
deaths,denies,hh,xpm;0.042475;1;4;0
assists,deaths,denies,gpm,hh;0.041738;1;5;0
assists,denies,hd;0.041592;1;3;0
assists,deaths,hh,lh;0.041564;1;4;0
deaths,denies,hd;0.041552;1;3;0
assists,deaths,hh;0.041208;1;3;0
assists,denies,kills;0.041083;1;3;0
deaths,denies,kills;0.041043;1;3;0
assists,gpm,hh;0.041010;1;3;0
deaths,gpm,hh;0.040970;1;3;0
assists,deaths,hh,kills,lh;0.040745;1;5;0
assists,deaths,hd,hh;0.040655;1;4;0
assists,deaths,denies,hh,xpm;0.040509;1;5;0
assists,deaths,hh,kills;0.040273;1;4;0
assists,deaths,denies;0.039435;1;3;0
assists,deaths,denies,hd;0.039325;1;4;0
assists,denies,gpm;0.039237;1;3;0
deaths,denies,gpm;0.039197;1;3;0
assists,hh,xpm;0.038961;1;3;0
assists,deaths,denies,kills;0.038943;1;4;0
deaths,hh,xpm;0.038921;1;3;0
assists,deaths,gpm,hh;0.038888;1;4;0
assists,kills,lh;0.037581;1;3;0
assists,deaths,denies,gpm;0.037559;1;4;0
deaths,kills,lh;0.037541;1;3;0
assists,deaths,hh,xpm;0.037351;1;4;0
assists,denies,xpm;0.037188;1;3;0
deaths,denies,xpm;0.037148;1;3;0
assists,deaths,kills,lh;0.036317;1;4;0
assists,deaths,denies,xpm;0.036022;1;4;0
assists,deaths,lh;0.035933;1;3;0
assists,deaths,hd;0.034721;1;3;0
assists,deaths,kills;0.034212;1;3;0
assists,deaths,gpm;0.032366;1;3;0
assists,deaths,xpm;0.030316;1;3;0
denies,hh,lh;-1.047204;0;3;2
denies,hh,kills,lh;-1.050689;0;4;2
denies,hd,hh,kills;-1.051598;0;4;2
assists,denies,hh,lh;-1.051895;0;4;2
hd,hh,lh;-1.051918;0;3;2
deaths,denies,hh,lh;-1.051925;0;4;2
denies,gpm,hd,hh;-1.052983;0;4;2
denies,gpm,hh,kills;-1.053364;0;4;2
hd,hh,kills;-1.053639;0;3;2
assists,denies,hh,kills,lh;-1.053745;0;5;2
deaths,denies,hh,kills,lh;-1.053769;0;5;2
denies,kills,lh;-1.054200;0;3;2
gpm,hh,lh;-1.054274;0;3;2
assists,denies,hd,hh,kills;-1.054472;0;5;2
deaths,denies,hd,hh,kills;-1.054496;0;5;2
denies,hd,hh,xpm;-1.054520;0;4;2
assists,deaths,denies,hh,lh;-1.054734;0;5;2
denies,hh,kills,xpm;-1.054901;0;4;2
denies,hd,kills;-1.055412;0;3;2
assists,hd,hh,lh;-1.055431;0;4;2
deaths,hd,hh,lh;-1.055461;0;4;2
gpm,hd,hh;-1.055485;0;3;2
assists,denies,gpm,hd,hh;-1.055580;0;5;2
deaths,denies,gpm,hd,hh;-1.055604;0;5;2
assists,deaths,denies,hh,kills,lh;-1.055802;0;6;2
assists,denies,lh;-1.055808;0;3;2
deaths,denies,lh;-1.055848;0;3;2
assists,denies,gpm,hh,kills;-1.055885;0;5;2
deaths,denies,gpm,hh,kills;-1.055909;0;5;2
gpm,hh,kills;-1.055994;0;3;2
denies,gpm,hh,xpm;-1.056286;0;4;2
hh,lh,xpm;-1.056323;0;3;2
assists,deaths,denies,hd,hh,kills;-1.056408;0;6;2
assists,hd,hh,kills;-1.056721;0;4;2
deaths,hd,hh,kills;-1.056751;0;4;2
assists,denies,hd,hh,xpm;-1.056809;0;5;2
deaths,denies,hd,hh,xpm;-1.056833;0;5;2
assists,denies,hh,kills,xpm;-1.057115;0;5;2
deaths,denies,hh,kills,xpm;-1.057139;0;5;2
assists,denies,kills,lh;-1.057142;0;4;2
deaths,denies,kills,lh;-1.057172;0;4;2
assists,gpm,hh,lh;-1.057197;0;4;2
deaths,gpm,hh,lh;-1.057227;0;4;2
denies,gpm,hd;-1.057258;0;3;2
assists,deaths,denies,gpm,hd,hh;-1.057331;0;6;2
hd,hh,xpm;-1.057535;0;3;2
assists,deaths,hd,hh,lh;-1.057562;0;5;2
assists,deaths,denies,gpm,hh,kills;-1.057586;0;6;2
denies,gpm,kills;-1.057767;0;3;2
hh,kills,xpm;-1.058044;0;3;2
assists,denies,hd,kills;-1.058051;0;4;2
deaths,denies,hd,kills;-1.058081;0;4;2
assists,gpm,hd,hh;-1.058106;0;4;2
deaths,gpm,hd,hh;-1.058136;0;4;2
assists,denies,gpm,hh,xpm;-1.058223;0;5;2
deaths,denies,gpm,hh,xpm;-1.058247;0;5;2
assists,deaths,denies,hd,hh,xpm;-1.058356;0;6;2
assists,deaths,denies,lh;-1.058378;0;4;2
assists,gpm,hh,kills;-1.058488;0;4;2
deaths,gpm,hh,kills;-1.058518;0;4;2
assists,deaths,hd,hh,kills;-1.058595;0;5;2
assists,deaths,denies,hh,kills,xpm;-1.058610;0;6;2
assists,hh,lh,xpm;-1.058734;0;4;2
deaths,hh,lh,xpm;-1.058764;0;4;2
assists,deaths,denies,kills,lh;-1.058932;0;5;2
assists,deaths,gpm,hh,lh;-1.058975;0;5;2
denies,hd,xpm;-1.059308;0;3;2
assists,denies,gpm,hd;-1.059436;0;4;2
deaths,denies,gpm,hd;-1.059466;0;4;2
assists,deaths,denies,gpm,hh,xpm;-1.059534;0;6;2
assists,hd,hh,xpm;-1.059643;0;4;2
assists,deaths,denies,hd,kills;-1.059659;0;5;2
deaths,hd,hh,xpm;-1.059673;0;4;2
assists,deaths,gpm,hd,hh;-1.059702;0;5;2
denies,kills,xpm;-1.059817;0;3;2
assists,denies,gpm,kills;-1.059818;0;4;2
deaths,denies,gpm,kills;-1.059848;0;4;2
gpm,hh,xpm;-1.059890;0;3;2
assists,deaths,gpm,hh,kills;-1.060008;0;5;2
assists,hh,kills,xpm;-1.060025;0;4;2
deaths,hh,kills,xpm;-1.060055;0;4;2
assists,deaths,hh,lh,xpm;-1.060205;0;5;2
assists,hd,lh;-1.060522;0;3;2
deaths,hd,lh;-1.060563;0;3;2
assists,deaths,denies,gpm,hd;-1.060766;0;5;2
assists,deaths,hd,hh,xpm;-1.060932;0;5;2
assists,denies,hd,xpm;-1.060973;0;4;2
deaths,denies,hd,xpm;-1.061003;0;4;2
assists,deaths,denies,gpm,kills;-1.061072;0;5;2
assists,deaths,hh,kills,xpm;-1.061238;0;5;2
assists,denies,kills,xpm;-1.061355;0;4;2
deaths,denies,kills,xpm;-1.061385;0;4;2
assists,gpm,hh,xpm;-1.061410;0;4;2
deaths,gpm,hh,xpm;-1.061440;0;4;2
denies,gpm,xpm;-1.061663;0;3;2
assists,deaths,hd,lh;-1.061914;0;4;2
assists,deaths,denies,hd,xpm;-1.061996;0;5;2
assists,hd,kills;-1.062243;0;3;2
deaths,hd,kills;-1.062283;0;3;2
assists,deaths,denies,kills,xpm;-1.062301;0;5;2
assists,deaths,gpm,hh,xpm;-1.062345;0;5;2
assists,denies,gpm,xpm;-1.062739;0;4;2
deaths,denies,gpm,xpm;-1.062769;0;4;2
assists,gpm,lh;-1.062878;0;3;2
deaths,gpm,lh;-1.062918;0;3;2
assists,deaths,hd,kills;-1.063205;0;4;2
assists,deaths,denies,gpm,xpm;-1.063409;0;5;2
assists,deaths,gpm,lh;-1.063680;0;4;2
assists,gpm,hd;-1.064090;0;3;2
deaths,gpm,hd;-1.064130;0;3;2
assists,deaths,gpm,hd;-1.064589;0;4;2
assists,gpm,kills;-1.064599;0;3;2
deaths,gpm,kills;-1.064639;0;3;2
assists,lh,xpm;-1.064927;0;3;2
deaths,lh,xpm;-1.064967;0;3;2
assists,deaths,gpm,kills;-1.064971;0;4;2
assists,deaths,lh,xpm;-1.065217;0;4;2
assists,deaths,hd,xpm;-1.066126;0;4;2
assists,hd,xpm;-1.066139;0;3;2
deaths,hd,xpm;-1.066179;0;3;2
assists,deaths,kills,xpm;-1.066508;0;4;2
assists,kills,xpm;-1.066648;0;3;2
deaths,kills,xpm;-1.066688;0;3;2
assists,deaths,gpm,xpm;-1.067893;0;4;2
assists,gpm,xpm;-1.068494;0;3;2
deaths,gpm,xpm;-1.068534;0;3;2
denies,hd,hh,lh;-1.561133;0;4;4
denies,gpm,hh,lh;-1.562899;0;4;4
assists,denies,hd,hh,lh;-1.564265;0;5;4
deaths,denies,hd,hh,lh;-1.564289;0;5;4
denies,hh,lh,xpm;-1.564436;0;4;4
denies,hd,lh;-1.564517;0;3;4
hd,hh,kills,lh;-1.565050;0;4;4
assists,denies,gpm,hh,lh;-1.565678;0;5;4
deaths,denies,gpm,hh,lh;-1.565702;0;5;4
assists,deaths,denies,hd,hh,lh;-1.566373;0;6;4
gpm,hh,kills,lh;-1.566817;0;4;4
denies,gpm,lh;-1.566872;0;3;4
assists,denies,hh,lh,xpm;-1.566908;0;5;4
deaths,denies,hh,lh,xpm;-1.566932;0;5;4
assists,hd,hh,kills,lh;-1.567399;0;5;4
deaths,hd,hh,kills,lh;-1.567423;0;5;4
assists,deaths,denies,gpm,hh,lh;-1.567551;0;6;4
assists,denies,hd,lh;-1.567586;0;4;4
deaths,denies,hd,lh;-1.567616;0;4;4
hh,kills,lh,xpm;-1.568354;0;4;4
assists,deaths,denies,hh,lh,xpm;-1.568576;0;6;4
assists,gpm,hh,kills,lh;-1.568812;0;5;4
deaths,gpm,hh,kills,lh;-1.568836;0;5;4
denies,lh,xpm;-1.568922;0;3;4
assists,deaths,hd,hh,kills,lh;-1.568985;0;6;4
assists,denies,gpm,lh;-1.569353;0;4;4
deaths,denies,gpm,lh;-1.569383;0;4;4
assists,deaths,denies,hd,lh;-1.569452;0;5;4
hd,kills,lh;-1.569740;0;3;4
assists,hh,kills,lh,xpm;-1.570042;0;5;4
deaths,hh,kills,lh,xpm;-1.570066;0;5;4
assists,deaths,gpm,hh,kills,lh;-1.570163;0;6;4
assists,deaths,denies,gpm,lh;-1.570865;0;5;4
assists,denies,lh,xpm;-1.570890;0;4;4
deaths,denies,lh,xpm;-1.570920;0;4;4
assists,deaths,hh,kills,lh,xpm;-1.571187;0;6;4
assists,hd,kills,lh;-1.571504;0;4;4
deaths,hd,kills,lh;-1.571534;0;4;4
assists,deaths,denies,lh,xpm;-1.572095;0;5;4
gpm,kills,lh;-1.572095;0;3;4
assists,deaths,hd,kills,lh;-1.572586;0;5;4
assists,gpm,kills,lh;-1.573270;0;4;4
deaths,gpm,kills,lh;-1.573300;0;4;4
assists,deaths,gpm,kills,lh;-1.573999;0;5;4
kills,lh,xpm;-1.574145;0;3;4
assists,kills,lh,xpm;-1.574807;0;4;4
deaths,kills,lh,xpm;-1.574837;0;4;4
assists,deaths,kills,lh,xpm;-1.575228;0;5;4
denies,hd,hh,kills,lh;-1.899773;0;5;6
denies,gpm,hh,kills,lh;-1.901186;0;5;6
denies,gpm,hd,hh,kills;-1.901913;0;5;6
assists,denies,hd,hh,kills,lh;-1.902021;0;6;6
deaths,denies,hd,hh,kills,lh;-1.902042;0;6;6
denies,hh,kills,lh,xpm;-1.902415;0;5;6
denies,hd,kills,lh;-1.902852;0;4;6
gpm,hd,hh,lh;-1.902907;0;4;6
denies,hd,hh,kills,xpm;-1.903142;0;5;6
assists,denies,gpm,hh,kills,lh;-1.903199;0;6;6
deaths,denies,gpm,hh,kills,lh;-1.903219;0;6;6
assists,deaths,denies,hd,hh,kills,lh;-1.903645;0;7;6
assists,denies,gpm,hd,hh,kills;-1.903805;0;6;6
deaths,denies,gpm,hd,hh,kills;-1.903825;0;6;6
gpm,hd,hh,kills;-1.904198;0;4;6
assists,denies,hh,kills,lh,xpm;-1.904224;0;6;6
deaths,denies,hh,kills,lh,xpm;-1.904244;0;6;6
denies,gpm,hd,hh,xpm;-1.904250;0;5;6
hd,hh,lh,xpm;-1.904444;0;4;6
denies,gpm,hh,kills,xpm;-1.904556;0;5;6
denies,gpm,kills,lh;-1.904619;0;4;6
assists,deaths,denies,gpm,hh,kills,lh;-1.904654;0;7;6
assists,denies,hd,hh,kills,xpm;-1.904830;0;6;6
deaths,denies,hd,hh,kills,xpm;-1.904850;0;6;6
assists,denies,hd,kills,lh;-1.904935;0;5;6
deaths,denies,hd,kills,lh;-1.904959;0;5;6
assists,gpm,hd,hh,lh;-1.904979;0;5;6
deaths,gpm,hd,hh,lh;-1.905003;0;5;6
assists,deaths,denies,gpm,hd,hh,kills;-1.905174;0;7;6
denies,gpm,hd,kills;-1.905528;0;4;6
assists,deaths,denies,hh,kills,lh,xpm;-1.905533;0;7;6
hd,hh,kills,xpm;-1.905735;0;4;6
assists,denies,gpm,hd,hh,xpm;-1.905753;0;6;6
deaths,denies,gpm,hd,hh,xpm;-1.905773;0;6;6
assists,denies,gpm,hh,kills,xpm;-1.906007;0;6;6
assists,gpm,hd,hh,kills;-1.906012;0;5;6
deaths,denies,gpm,hh,kills,xpm;-1.906027;0;6;6
deaths,gpm,hd,hh,kills;-1.906036;0;5;6
assists,deaths,denies,hd,hh,kills,xpm;-1.906052;0;7;6
denies,kills,lh,xpm;-1.906156;0;4;6
assists,hd,hh,lh,xpm;-1.906209;0;5;6
gpm,hh,lh,xpm;-1.906211;0;4;6
deaths,hd,hh,lh,xpm;-1.906233;0;5;6
assists,deaths,denies,hd,kills,lh;-1.906344;0;6;6
assists,denies,gpm,kills,lh;-1.906348;0;5;6
deaths,denies,gpm,kills,lh;-1.906372;0;5;6
assists,deaths,gpm,hd,hh,lh;-1.906380;0;6;6
assists,deaths,denies,gpm,hd,hh,xpm;-1.906843;0;7;6
assists,deaths,denies,gpm,hh,kills,xpm;-1.907061;0;7;6
denies,hd,kills,xpm;-1.907065;0;4;6
assists,denies,gpm,hd,kills;-1.907075;0;5;6
deaths,denies,gpm,hd,kills;-1.907099;0;5;6
gpm,hd,hh,xpm;-1.907120;0;4;6
assists,deaths,gpm,hd,hh,kills;-1.907241;0;6;6
assists,hd,hh,kills,xpm;-1.907241;0;5;6
