k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;1;0.750000;10;0.611111
Top 10 solutions
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,lh;0,017999;1;3;0
deaths,denies,lh;0,014691;1;3;0
assists,deaths,denies,lh;0,014434;1;4;0
denies,hh,lh;0,014170;1;3;0
assists,denies,hh,lh;0,014044;1;4;0
denies,kills,lh;0,013903;1;3;0
assists,denies,kills,lh;0,013844;1;4;0
assists,denies,hd;0,013697;1;3;0
assists,deaths,lh;0,013623;1;3;0
assists,denies,gpm,lh;0,013532;1;4;0
