k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;1;0.750000;10;0.611111
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,lh;0,017999;1;3;0
deaths,denies,lh;0,014691;1;3;0
assists,deaths,denies,lh;0,014434;1;4;0
denies,hh,lh;0,014170;1;3;0
assists,denies,hh,lh;0,014044;1;4;0
denies,kills,lh;0,013903;1;3;0
assists,denies,kills,lh;0,013844;1;4;0
assists,denies,hd;0,013697;1;3;0
assists,deaths,lh;0,013623;1;3;0
assists,denies,gpm,lh;0,013532;1;4;0
denies,gpm,lh;0,013488;1;3;0
assists,hh,lh;0,013102;1;3;0
assists,kills,lh;0,012836;1;3;0
assists,gpm,lh;0,012421;1;3;0
assists,deaths,denies,hh,lh;0,011983;1;5;0
assists,deaths,denies,kills,lh;0,011823;1;5;0
assists,deaths,denies,gpm,lh;0,011574;1;5;0
deaths,denies,hh,lh;0,011563;1;4;0
assists,denies,hh,kills,lh;0,011511;1;5;0
assists,deaths,denies;0,011425;1;3;0
deaths,denies,kills,lh;0,011363;1;4;0
assists,denies,gpm,hh,lh;0,011262;1;5;0
assists,deaths,denies,hd;0,011208;1;4;0
assists,denies,gpm,kills,lh;0,011102;1;5;0
deaths,denies,gpm,lh;0,011051;1;4;0
denies,hh,kills,lh;0,010972;1;4;0
assists,denies,hh;0,010904;1;3;0
assists,denies,hd,hh;0,010818;1;4;0
assists,deaths,hh,lh;0,010762;1;4;0
denies,gpm,hh,lh;0,010661;1;4;0
assists,denies,kills;0,010637;1;3;0
assists,denies,xpm;0,010599;1;3;0
assists,deaths,kills,lh;0,010562;1;4;0
denies,gpm,kills,lh;0,010461;1;4;0
deaths,denies,hd;0,010389;1;3;0
assists,denies,gpm,hd;0,010306;1;4;0
assists,deaths,gpm,lh;0,010251;1;4;0
assists,denies,gpm;0,010222;1;3;0
assists,deaths,denies,hh,kills,lh;0,010216;1;6;0
assists,hh,kills,lh;0,010171;1;4;0
assists,deaths,denies,gpm,hh,lh;0,010008;1;6;0
assists,deaths,denies,gpm,kills,lh;0,009875;1;6;0
denies,hd,hh;0,009868;1;3;0
assists,gpm,hh,lh;0,009860;1;4;0
deaths,hh,lh;0,009794;1;3;0
assists,gpm,kills,lh;0,009660;1;4;0
assists,denies,gpm,hh,kills,lh;0,009614;1;6;0
deaths,kills,lh;0,009528;1;3;0
deaths,denies,hh,kills,lh;0,009526;1;5;0
assists,deaths,denies,hd,hh;0,009402;1;5;0
assists,deaths,hd;0,009322;1;3;0
deaths,denies,gpm,hh,lh;0,009277;1;5;0
denies,gpm,hd;0,009187;1;3;0
deaths,denies,gpm,kills,lh;0,009117;1;5;0
assists,deaths,denies,hh;0,009113;1;4;0
deaths,gpm,lh;0,009113;1;3;0
hh,kills,lh;0,009007;1;3;0
assists,deaths,denies,gpm,hd;0,008993;1;5;0
assists,deaths,denies,kills;0,008913;1;4;0
assists,deaths,hh,kills,lh;0,008885;1;5;0
assists,deaths,denies,xpm;0,008885;1;4;0
denies,gpm,hh,kills,lh;0,008804;1;5;0
assists,hd,hh;0,008801;1;3;0
assists,denies,gpm,hd,hh;0,008681;1;5;0
assists,deaths,gpm,hh,lh;0,008636;1;5;0
assists,deaths,denies,gpm;0,008602;1;4;0
gpm,hh,lh;0,008592;1;3;0
assists,denies,hh,kills;0,008522;1;4;0
assists,denies,hh,xpm;0,008494;1;4;0
assists,deaths,gpm,kills,lh;0,008476;1;5;0
deaths,denies,hd,hh;0,008337;1;4;0
gpm,kills,lh;0,008325;1;3;0
assists,denies,gpm,hh;0,008211;1;4;0
assists,gpm,hh,kills,lh;0,008164;1;5;0
assists,gpm,hd;0,008119;1;3;0
assists,denies,gpm,kills;0,008011;1;4;0
assists,denies,gpm,xpm;0,007983;1;4;0
deaths,denies,gpm,hh,kills,lh;0,007960;1;6;0
assists,deaths,denies,gpm,hd,hh;0,007857;1;6;0
deaths,denies,gpm,hd;0,007825;1;4;0
deaths,hh,kills,lh;0,007690;1;4;0
deaths,denies,hh;0,007596;1;3;0
assists,deaths,denies,hh,kills;0,007566;1;5;0
assists,deaths,denies,hh,xpm;0,007544;1;5;0
assists,deaths,hd,hh;0,007536;1;4;0
denies,gpm,hd,hh;0,007435;1;4;0
assists,deaths,gpm,hh,kills,lh;0,007427;1;6;0
deaths,gpm,hh,lh;0,007379;1;4;0
deaths,denies,kills;0,007329;1;3;0
assists,deaths,denies,gpm,hh;0,007317;1;5;0
deaths,denies,xpm;0,007291;1;3;0
deaths,gpm,kills,lh;0,007179;1;4;0
assists,deaths,denies,gpm,kills;0,007157;1;5;0
assists,deaths,denies,gpm,xpm;0,007135;1;5;0
assists,deaths,gpm,hd;0,007025;1;4;0
deaths,denies,gpm;0,006914;1;3;0
assists,denies,gpm,hh,kills;0,006845;1;5;0
assists,denies,gpm,hh,xpm;0,006822;1;5;0
denies,hh,kills;0,006808;1;3;0
gpm,hh,kills,lh;0,006788;1;4;0
denies,hh,xpm;0,006771;1;3;0
deaths,denies,gpm,hd,hh;0,006696;1;5;0
assists,gpm,hd,hh;0,006634;1;4;0
assists,deaths,hh;0,006528;1;3;0
denies,gpm,hh;0,006393;1;3;0
assists,deaths,denies,gpm,hh,kills;0,006327;1;6;0
assists,deaths,denies,gpm,hh,xpm;0,006309;1;6;0
assists,deaths,kills;0,006262;1;3;0
assists,deaths,xpm;0,006224;1;3;0
deaths,gpm,hh,kills,lh;0,006179;1;5;0
denies,gpm,kills;0,006126;1;3;0
denies,gpm,xpm;0,006089;1;3;0
assists,deaths,gpm,hd,hh;0,006055;1;5;0
deaths,denies,hh,kills;0,006041;1;4;0
deaths,denies,hh,xpm;0,006013;1;4;0
assists,deaths,gpm;0,005847;1;3;0
assists,hh,kills;0,005741;1;3;0
deaths,denies,gpm,hh;0,005730;1;4;0
assists,hh,xpm;0,005703;1;3;0
deaths,denies,gpm,kills;0,005530;1;4;0
deaths,denies,gpm,xpm;0,005502;1;4;0
deaths,hd,hh;0,005493;1;3;0
assists,gpm,hh;0,005326;1;3;0
assists,deaths,hh,kills;0,005241;1;4;0
assists,deaths,hh,xpm;0,005213;1;4;0
denies,gpm,hh,kills;0,005139;1;4;0
denies,gpm,hh,xpm;0,005111;1;4;0
assists,gpm,kills;0,005059;1;3;0
assists,gpm,xpm;0,005021;1;3;0
assists,deaths,gpm,hh;0,004930;1;4;0
deaths,denies,gpm,hh,kills;0,004860;1;5;0
deaths,denies,gpm,hh,xpm;0,004837;1;5;0
deaths,gpm,hd;0,004811;1;3;0
assists,deaths,gpm,kills;0,004730;1;4;0
assists,deaths,gpm,xpm;0,004701;1;4;0
assists,gpm,hh,kills;0,004339;1;4;0
assists,gpm,hh,xpm;0,004311;1;4;0
gpm,hd,hh;0,004290;1;3;0
assists,deaths,gpm,hh,kills;0,004219;1;5;0
assists,deaths,gpm,hh,xpm;0,004197;1;5;0
deaths,gpm,hd,hh;0,004153;1;4;0
deaths,hh,kills;0,002433;1;3;0
deaths,hh,xpm;0,002395;1;3;0
deaths,gpm,hh;0,002018;1;3;0
deaths,gpm,hh,kills;0,001858;1;4;0
deaths,gpm,hh,xpm;0,001830;1;4;0
deaths,gpm,kills;0,001751;1;3;0
deaths,gpm,xpm;0,001713;1;3;0
gpm,hh,kills;0,001230;1;3;0
gpm,hh,xpm;0,001192;1;3;0
denies,hd,lh;-0,676184;0;3;1
assists,denies,hd,lh;-0,677008;0;4;1
assists,hd,lh;-0,677251;0;3;1
denies,lh,xpm;-0,679282;0;3;1
assists,denies,lh,xpm;-0,679332;0;4;1
assists,deaths,denies,hd,lh;-0,679488;0;5;1
deaths,denies,hd,lh;-0,679489;0;4;1
assists,denies,hd,hh,lh;-0,679800;0;5;1
denies,hd,hh,lh;-0,679880;0;4;1
assists,denies,gpm,hd,lh;-0,680209;0;5;1
assists,deaths,hd,lh;-0,680290;0;4;1
assists,lh,xpm;-0,680349;0;3;1
denies,gpm,hd,lh;-0,680391;0;4;1
deaths,hd,lh;-0,680559;0;3;1
assists,hd,hh,lh;-0,680681;0;4;1
hd,hh,lh;-0,681080;0;3;1
