elapstime;k;seed;metric;ngen;pop;cxpb;mutpb;elite_size;min_size;max_size;outliers;max_no_improv;max_gen_reached
186.346416;10;-1;i;300;50;0.800000;0.010000;0;3;9;0;60;0
last_generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
137.932772;0;0;0;1;0;0;1;0;1
250.735489;0;0;0;1;0;0;1;1;1
282.322147;1;0;0;0;0;0;1;0;1
334.863272;0;0;1;1;0;0;1;0;1
734.139112;1;0;1;1;1;0;1;0;0
939.858671;1;0;1;1;0;1;0;1;0
1652.814208;1;1;1;1;1;1;1;0;0
1959.934363;1;1;1;1;1;1;1;1;1
