elapstime;k;seed;metric;ngen;pop;cxpb;mutpb;elite_size;min_size;max_size;outliers;max_no_improv;max_gen_reached
251.854794;10;-1;i;300;50;0.800000;0.010000;0;3;9;1;60;0
last_generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
6.171061;0;0;0;1;0;0;1;0;1
76.495079;0;0;1;1;1;0;1;0;0
152.807479;1;0;0;0;0;1;1;1;0
277.384397;1;1;1;0;0;0;0;1;1
401.032638;1;1;1;1;1;1;1;1;0
409.051023;1;1;1;1;1;1;1;1;1
