elapstime;k;seed;metric;ngen;pop;cxpb;mutpb;elite_size;min_size;max_size;outliers;max_no_improv;max_gen_reached
868.896738;10;-1;sc;300;50;0.800000;0.010000;0;3;9;0;60;0
last_generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.188001;0;1;0;0;0;1;0;0;1
0.168388;0;1;1;0;0;1;0;0;1
0.168388;0;1;1;0;0;1;0;0;1
0.158503;0;1;0;1;0;1;0;1;0
0.158503;0;1;0;1;0;1;0;1;0
