elapstime;k;seed;metric;ngen;pop;cxpb;mutpb;elite_size;min_size;max_size;outliers;max_no_improv;max_gen_reached
1788.798757;10;-1;sc;300;50;0.800000;0.010000;0;3;9;1;60;0
last_generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073922;0;1;1;1;1;1;0;0;1
0.073532;0;1;1;0;1;1;0;0;1
0.070889;0;1;1;1;1;1;1;0;1
0.064271;0;1;1;0;0;1;0;1;1
0.057020;0;1;1;1;0;0;0;1;1
0.049475;0;1;1;1;1;1;1;1;1
