elapstime;k;seed;metric;ngen;pop;cxpb;mutpb;elite_size;min_size;max_size;outliers;max_no_improv;max_gen_reached
2029.138438;10;-1;se;300;50;0.800000;0.010000;0;3;9;1;60;0
last_generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.384666;0;0;1;1;0;0;1;0;0
0.374119;0;0;0;1;0;1;1;0;0
0.374119;0;0;0;1;0;1;1;0;0
0.374119;0;0;0;1;0;1;1;0;0
0.374119;0;0;0;1;0;1;1;0;0
0.374119;0;0;0;1;0;1;1;0;0
0.374119;0;0;0;1;0;1;1;0;0
