File files/output_ga/ga_setpack_variance_log,csv
elapsed_time;max_gen_reached
1,713593;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,039197;0;1;1;1;0;0;0;0;0;initial;0
0,040745;1;1;0;0;0;1;1;1;0;initial;0
0,038888;1;1;0;1;0;1;0;0;0;initial;0
0,042816;0;1;0;0;0;1;1;0;0;initial;0
0,041564;1;1;0;0;0;1;0;1;0;initial;0
0,044537;0;1;0;0;0;1;0;1;0;initial;0
0,043152;1;1;1;0;1;1;0;0;0;initial;0
0,045397;0;1;1;0;0;1;1;0;0;initial;0
0,040509;1;1;1;0;0;1;0;0;1;initial;0
0,045808;1;0;1;0;1;1;0;0;0;initial;0
0,048039;0;1;1;0;0;1;0;0;0;initial;0
0,042846;1;1;1;0;0;1;1;0;0;initial;0
0,037188;1;0;1;0;0;0;0;0;1;initial;0
0,037541;0;1;0;0;0;0;1;1;0;initial;0
0,034212;1;1;0;0;0;0;1;0;0;initial;0
0,041043;0;1;1;0;0;0;1;0;0;initial;0
0,045778;0;1;1;0;1;1;0;0;0;initial;0
0,039435;1;1;1;0;0;0;0;0;0;initial;0
0,041738;1;1;1;1;0;1;0;0;0;initial;0
0,050197;0;0;1;0;1;1;0;0;0;initial;0
0,036022;1;1;1;0;0;0;0;0;1;initial;0
0,042770;0;1;0;0;0;1;1;1;0;initial;0
0,037148;0;1;1;0;0;0;0;0;1;initial;0
0,043365;1;0;0;0;1;1;0;0;0;initial;0
0,039325;1;1;1;0;1;0;0;0;0;initial;0
0,044042;1;0;1;1;0;1;0;0;0;initial;0
0,046185;0;0;0;0;0;1;1;1;0;initial;0
0,039237;1;0;1;1;0;0;0;0;0;initial;0
-0,648304;0;1;1;0;0;1;1;1;0;crossover;1
-0,646460;0;1;1;0;0;1;0;1;0;crossover;1
0,040273;1;1;0;0;0;1;1;0;0;crossover;1
-0,652586;1;0;1;0;1;0;1;0;0;crossover;1
-0,649269;1;1;1;0;0;1;0;1;0;crossover;2
0,044191;1;1;1;0;0;1;0;0;0;crossover;2
-0,649031;0;1;1;0;1;1;1;0;0;crossover;2
-0,654353;1;0;1;1;0;0;1;0;0;crossover;2
0,038943;1;1;1;0;0;0;1;0;0;crossover;3
-0,650337;1;1;1;0;0;1;1;1;0;crossover;4
0,041208;1;1;0;0;0;1;0;0;0;crossover;4
0,049687;0;0;1;0;0;1;1;0;0;crossover;5
0,045427;1;0;1;0;0;1;1;0;0;crossover;5
0,044012;0;1;1;1;0;1;0;0;0;crossover;5
0,042800;1;0;0;0;0;1;1;1;0;crossover;6
0,048080;1;0;1;0;0;1;0;0;0;crossover;7
0,043325;0;1;0;0;1;1;0;0;0;crossover;9
-1,911826;1;1;0;1;1;0;0;1;1;diversification;11
-1,757930;1;1;0;1;0;0;1;1;1;diversification;11
-1,756752;1;1;0;0;1;0;1;1;1;diversification;11
-2,267677;1;0;0;1;1;0;1;1;1;diversification;11
-1,911514;1;0;0;1;1;0;0;1;1;diversification;11
-1,350459;1;1;1;1;1;0;0;0;1;diversification;11
-0,641739;0;0;1;0;0;1;0;1;0;crossover;12
-1,354059;0;0;0;1;1;0;0;0;1;crossover;12
-2,449147;0;1;0;0;1;0;0;0;0;mutation;12
-0,649996;0;1;0;0;1;1;0;1;0;mutation;12
0,047841;0;0;1;1;0;1;0;0;0;crossover;14
-0,651866;1;1;1;1;1;1;0;0;0;crossover;14
-0,652616;0;1;1;0;1;0;1;0;0;crossover;14
-0,649007;1;0;1;0;1;1;1;0;0;crossover;15
0,040970;0;1;0;1;0;1;0;0;0;crossover;15
-0,648280;1;0;1;0;0;1;1;1;0;crossover;15
-0,646133;0;0;1;0;1;1;1;0;0;crossover;18
-0,650115;1;0;1;1;1;1;0;0;0;crossover;18
-0,650139;0;1;1;1;1;1;0;0;0;crossover;19
-1,757669;1;0;0;1;0;0;1;1;1;diversification;21
-1,757693;0;1;0;1;0;0;1;1;1;diversification;21
-1,911076;0;0;0;1;1;0;0;1;1;crossover;22
-0,650420;1;0;1;1;0;1;1;0;0;mutation;27
-2,442016;1;0;1;0;0;0;0;0;0;mutation;27
-2,436944;0;0;0;0;0;1;1;0;0;mutation;28
0,042856;1;0;0;0;0;1;1;0;0;crossover;28
0,044577;1;0;0;0;0;1;0;1;0;crossover;29
-1,057528;0;0;0;0;0;1;1;1;1;mutation;30
-1,349821;0;1;1;1;1;0;0;0;1;diversification;31
-1,911538;0;1;0;1;1;0;0;1;1;diversification;31
-1,912687;1;1;0;1;1;0;1;0;1;diversification;31
-2,041942;0;1;1;1;1;0;0;1;1;diversification;31
-0,654001;0;1;1;1;1;0;0;0;0;crossover;32
-0,649055;0;0;1;0;1;1;0;0;1;crossover;32
-1,568695;0;1;1;1;0;1;0;1;1;crossover;32
-0,658624;1;0;0;1;1;0;0;0;0;crossover;32
-0,646430;1;0;1;0;0;1;0;1;0;crossover;37
-0,651344;1;0;1;0;1;1;0;0;1;mutation;39
0,040655;1;1;0;0;1;1;0;0;0;crossover;40
-2,267697;0;1;0;1;1;0;1;1;1;diversification;41
-1,908645;1;0;1;1;0;0;1;1;1;diversification;41
-0,645224;0;0;1;0;0;1;1;1;0;crossover;45
-0,647899;0;0;1;1;0;1;1;0;0;crossover;49
-1,908665;0;1;1;1;0;0;1;1;1;diversification;51
