File files/output_ga/ga_setpack_cosine,csv
elapsed_time;max_gen_reached
904,914866;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,189786;0;1;0;1;0;1;0;0;0;crossover;8
0,187813;0;1;0;0;0;1;0;0;1;crossover;2
0,170438;0;1;1;0;0;1;0;0;1;crossover;6
0,149903;1;1;0;1;0;1;0;0;0;crossover;7
0,149269;1;1;1;1;0;1;0;0;0;initial;0
0,147107;0;1;1;1;0;1;0;0;0;initial;0
0,130690;1;1;0;0;0;1;0;1;0;mutation;1
0,130223;1;1;1;0;0;1;0;0;0;crossover;1
0,125889;1;1;0;0;0;1;0;0;1;initial;0
0,118888;0;1;1;0;0;1;1;0;0;crossover;3
0,109376;0;1;0;0;0;1;0;1;0;crossover;7
0,105985;1;1;1;0;0;1;1;0;0;initial;0
0,101665;0;1;0;0;0;1;1;1;0;initial;0
0,099655;0;1;1;0;1;1;0;0;0;crossover;5
0,098228;1;1;1;0;1;1;0;0;0;initial;0
0,094578;1;1;1;0;0;1;0;0;1;initial;0
0,089042;0;1;1;0;0;1;0;0;0;crossover;7
0,088116;1;1;1;1;0;0;0;0;0;initial;0
0,082420;1;1;0;0;0;1;1;1;0;initial;0
0,079021;0;1;0;0;0;1;1;0;0;crossover;1
0,053136;1;0;1;0;0;1;0;0;1;initial;0
0,043392;1;0;1;0;0;1;1;0;0;crossover;2
0,042656;1;1;0;0;0;0;1;1;0;initial;0
0,040748;1;0;1;0;1;1;0;0;0;initial;0
0,040256;1;1;0;0;0;1;1;0;0;crossover;3
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,189786;0;1;0;1;0;1;0;0;0;crossover;8
0,189786;0;1;0;1;0;1;0;0;0;crossover;68
0,189786;0;1;0;1;0;1;0;0;0;crossover;68
0,189786;0;1;0;1;0;1;0;0;0;crossover;68
0,189786;0;1;0;1;0;1;0;0;0;crossover;68
0,189786;0;1;0;1;0;1;0;0;0;crossover;67
0,189786;0;1;0;1;0;1;0;0;0;crossover;8
0,189786;0;1;0;1;0;1;0;0;0;crossover;68
0,187813;0;1;0;0;0;1;0;0;1;crossover;2
0,187813;0;1;0;0;0;1;0;0;1;crossover;68
0,187813;0;1;0;0;0;1;0;0;1;crossover;67
0,187813;0;1;0;0;0;1;0;0;1;crossover;67
0,187813;0;1;0;0;0;1;0;0;1;crossover;68
0,170438;0;1;1;0;0;1;0;0;1;crossover;6
0,149903;1;1;0;1;0;1;0;0;0;crossover;7
0,149269;1;1;1;1;0;1;0;0;0;initial;0
0,147107;0;1;1;1;0;1;0;0;0;initial;0
0,147107;0;1;1;1;0;1;0;0;0;initial;0
0,130690;1;1;0;0;0;1;0;1;0;mutation;1
0,130690;1;1;0;0;0;1;0;1;0;crossover;68
0,130690;1;1;0;0;0;1;0;1;0;crossover;68
0,130223;1;1;1;0;0;1;0;0;0;crossover;1
0,125889;1;1;0;0;0;1;0;0;1;initial;0
0,125889;1;1;0;0;0;1;0;0;1;crossover;68
0,118888;0;1;1;0;0;1;1;0;0;crossover;3
0,109376;0;1;0;0;0;1;0;1;0;crossover;7
0,109376;0;1;0;0;0;1;0;1;0;crossover;68
0,109376;0;1;0;0;0;1;0;1;0;crossover;68
0,109376;0;1;0;0;0;1;0;1;0;crossover;68
0,105985;1;1;1;0;0;1;1;0;0;initial;0
0,105985;1;1;1;0;0;1;1;0;0;initial;0
0,105985;1;1;1;0;0;1;1;0;0;initial;0
0,101665;0;1;0;0;0;1;1;1;0;initial;0
0,099655;0;1;1;0;1;1;0;0;0;crossover;5
0,098228;1;1;1;0;1;1;0;0;0;initial;0
0,094578;1;1;1;0;0;1;0;0;1;initial;0
0,089042;0;1;1;0;0;1;0;0;0;crossover;7
0,089042;0;1;1;0;0;1;0;0;0;crossover;68
0,089042;0;1;1;0;0;1;0;0;0;crossover;7
0,088116;1;1;1;1;0;0;0;0;0;initial;0
0,082420;1;1;0;0;0;1;1;1;0;initial;0
0,079021;0;1;0;0;0;1;1;0;0;crossover;1
0,053136;1;0;1;0;0;1;0;0;1;initial;0
0,043392;1;0;1;0;0;1;1;0;0;crossover;2
0,042656;1;1;0;0;0;0;1;1;0;initial;0
0,040748;1;0;1;0;1;1;0;0;0;initial;0
0,040256;1;1;0;0;0;1;1;0;0;crossover;3
-0,544860;0;1;0;1;0;1;0;0;1;mutation;68
-0,544860;0;1;0;1;0;1;0;0;1;crossover;68
-0,569680;0;1;0;0;1;1;0;0;1;mutation;68
