File files/output_ga/ga_setpack_cosine_log,csv
elapsed_time;max_gen_reached
904,914866;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,125889;1;1;0;0;0;1;0;0;1;initial;0
0,149269;1;1;1;1;0;1;0;0;0;initial;0
0,082420;1;1;0;0;0;1;1;1;0;initial;0
0,004364;1;0;0;0;0;1;0;1;0;initial;0
0,098228;1;1;1;0;1;1;0;0;0;initial;0
0,105985;1;1;1;0;0;1;1;0;0;initial;0
0,094578;1;1;1;0;0;1;0;0;1;initial;0
0,018452;0;1;0;0;1;1;0;0;0;initial;0
0,053136;1;0;1;0;0;1;0;0;1;initial;0
0,032176;1;1;1;0;0;0;1;0;0;initial;0
0,036532;1;0;0;0;0;1;1;1;0;initial;0
-0,038725;0;1;0;0;0;0;1;1;0;initial;0
0,088116;1;1;1;1;0;0;0;0;0;initial;0
-0,126534;0;0;0;0;0;1;1;1;0;initial;0
-0,047837;1;1;0;0;1;0;0;0;0;initial;0
0,101665;0;1;0;0;0;1;1;1;0;initial;0
-0,004229;0;0;1;0;0;1;0;0;1;initial;0
-0,086154;1;0;1;1;0;0;0;0;0;initial;0
0,147107;0;1;1;1;0;1;0;0;0;initial;0
-0,024801;1;1;0;0;0;0;1;0;0;initial;0
0,007066;1;0;1;0;0;1;0;0;0;initial;0
0,042656;1;1;0;0;0;0;1;1;0;initial;0
0,040748;1;0;1;0;1;1;0;0;0;initial;0
0,011161;1;0;0;0;0;1;0;0;1;initial;0
0,130223;1;1;1;0;0;1;0;0;0;crossover;1
-0,571984;1;1;1;1;0;1;0;0;1;crossover;1
0,079021;0;1;0;0;0;1;1;0;0;crossover;1
-0,670611;1;1;1;0;0;0;1;1;0;crossover;1
-0,609583;1;1;1;0;1;1;1;0;0;crossover;1
-0,593355;1;1;1;1;1;1;0;0;0;mutation;1
0,130690;1;1;0;0;0;1;0;1;0;mutation;1
0,043392;1;0;1;0;0;1;1;0;0;crossover;2
0,187813;0;1;0;0;0;1;0;0;1;crossover;2
-1,012053;1;1;1;0;1;1;0;1;0;crossover;2
-1,882859;1;0;0;1;1;0;1;1;0;diversification;3
0,040256;1;1;0;0;0;1;1;0;0;crossover;3
0,118888;0;1;1;0;0;1;1;0;0;crossover;3
-1,306999;0;0;0;1;0;0;1;1;0;diversification;3
-1,033772;1;0;1;1;0;1;0;1;0;mutation;3
-1,450652;1;0;1;1;1;0;0;0;1;diversification;3
-1,836752;0;0;0;0;1;1;1;1;1;diversification;3
-1,894115;0;0;0;0;1;0;1;1;1;diversification;3
-1,856502;1;0;0;0;1;0;1;1;1;diversification;3
-0,579051;1;1;1;1;0;1;1;0;0;crossover;3
-2,056143;0;0;0;1;1;0;0;1;1;diversification;3
-2,008854;0;0;0;1;1;0;1;1;0;diversification;3
-0,645875;1;0;1;0;0;1;1;1;0;crossover;4
-0,081126;1;0;0;0;1;1;0;0;0;crossover;4
-0,553695;0;1;1;1;0;1;0;0;1;crossover;5
-0,095905;1;1;0;0;0;1;0;0;0;crossover;5
0,099655;0;1;1;0;1;1;0;0;0;crossover;5
0,170438;0;1;1;0;0;1;0;0;1;crossover;6
-0,978083;0;1;0;0;0;1;1;1;1;crossover;6
-0,022784;0;1;1;0;0;0;1;0;0;crossover;7
0,109376;0;1;0;0;0;1;0;1;0;crossover;7
0,089042;0;1;1;0;0;1;0;0;0;crossover;7
0,149903;1;1;0;1;0;1;0;0;0;crossover;7
-0,580839;0;1;1;0;0;1;1;1;0;crossover;7
-0,584301;1;1;1;0;0;1;1;1;0;crossover;8
0,189786;0;1;0;1;0;1;0;0;0;crossover;8
-2,020455;1;0;1;1;1;0;1;1;0;diversification;9
-2,561343;0;1;0;0;0;0;0;0;1;mutation;9
-2,510045;1;0;1;1;1;1;1;1;0;diversification;9
-2,415959;0;0;0;1;1;0;1;1;1;diversification;9
-0,586227;0;1;0;0;0;1;1;0;1;crossover;9
-1,913988;0;0;0;1;0;0;1;1;1;diversification;9
-2,006099;1;0;0;1;1;0;0;1;1;diversification;9
-2,117746;0;0;1;1;1;0;1;1;0;diversification;9
-1,762268;0;1;0;1;0;0;1;1;1;diversification;9
-2,372076;1;0;0;1;1;0;1;1;1;diversification;9
-0,730622;0;1;0;1;0;0;1;0;0;crossover;10
-0,544860;0;1;0;1;0;1;0;0;1;crossover;10
-1,080193;0;1;0;0;0;0;1;1;1;crossover;10
-1,814373;1;0;0;1;1;1;1;1;0;crossover;10
-0,560018;0;1;1;0;0;1;1;0;1;crossover;10
