File files/output_ga/ga_setpack_cosine_outliers,csv
elapsed_time;max_gen_reached
1783,950361;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,104793;0;1;0;0;0;1;0;0;1;crossover;33
0,104014;0;1;0;1;0;1;0;0;1;initial;0
0,056469;0;0;1;0;0;1;0;0;1;mutation;55
0,051231;0;0;1;1;0;1;0;0;1;crossover;68
0,050937;0;1;1;1;0;1;0;0;1;initial;0
0,049081;0;1;1;0;0;1;0;0;1;initial;0
0,041211;0;1;1;0;0;0;0;0;1;crossover;4
0,040745;0;1;1;1;0;0;0;0;1;crossover;4
0,036283;0;1;1;1;1;1;0;0;0;crossover;3
0,035752;1;1;1;1;0;1;0;0;1;initial;0
0,035341;1;1;1;0;0;1;0;0;1;initial;0
0,034842;0;1;1;0;1;1;0;0;0;initial;0
0,029520;1;1;1;0;0;0;0;0;1;initial;0
0,028052;1;1;1;1;0;0;0;0;1;initial;0
0,026539;0;1;1;0;0;1;0;1;0;crossover;13
0,026375;0;1;1;0;0;1;1;1;0;initial;0
0,025471;0;1;1;1;0;1;1;1;0;crossover;22
0,024420;0;1;1;1;0;1;0;1;0;crossover;5
0,020139;1;1;1;0;0;0;0;1;0;crossover;4
0,019841;1;1;1;0;0;1;0;1;0;crossover;2
0,018715;1;1;1;1;0;0;0;1;0;crossover;1
0,018374;1;1;1;1;0;1;0;1;0;crossover;3
0,016946;1;1;1;0;0;1;1;1;0;crossover;3
0,016237;1;1;1;0;0;1;0;0;0;crossover;7
0,016158;1;1;1;0;0;0;1;1;0;initial;0
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,104793;0;1;0;0;0;1;0;0;1;crossover;33
0,104793;0;1;0;0;0;1;0;0;1;crossover;33
0,104793;0;1;0;0;0;1;0;0;1;crossover;93
0,104793;0;1;0;0;0;1;0;0;1;crossover;33
0,104793;0;1;0;0;0;1;0;0;1;crossover;90
0,104793;0;1;0;0;0;1;0;0;1;crossover;90
0,104014;0;1;0;1;0;1;0;0;1;initial;0
0,104014;0;1;0;1;0;1;0;0;1;crossover;93
0,104014;0;1;0;1;0;1;0;0;1;crossover;93
0,104014;0;1;0;1;0;1;0;0;1;crossover;92
0,056469;0;0;1;0;0;1;0;0;1;mutation;55
0,056469;0;0;1;0;0;1;0;0;1;crossover;93
0,051231;0;0;1;1;0;1;0;0;1;crossover;68
0,051231;0;0;1;1;0;1;0;0;1;crossover;93
0,051231;0;0;1;1;0;1;0;0;1;crossover;92
0,051231;0;0;1;1;0;1;0;0;1;crossover;91
0,050937;0;1;1;1;0;1;0;0;1;initial;0
0,050937;0;1;1;1;0;1;0;0;1;crossover;93
0,050937;0;1;1;1;0;1;0;0;1;crossover;93
0,050937;0;1;1;1;0;1;0;0;1;crossover;93
0,049081;0;1;1;0;0;1;0;0;1;initial;0
0,041211;0;1;1;0;0;0;0;0;1;crossover;4
0,041211;0;1;1;0;0;0;0;0;1;crossover;4
0,040745;0;1;1;1;0;0;0;0;1;crossover;4
0,040745;0;1;1;1;0;0;0;0;1;crossover;4
0,036283;0;1;1;1;1;1;0;0;0;crossover;3
0,036283;0;1;1;1;1;1;0;0;0;crossover;93
0,035752;1;1;1;1;0;1;0;0;1;initial;0
0,035341;1;1;1;0;0;1;0;0;1;initial;0
0,035341;1;1;1;0;0;1;0;0;1;crossover;93
0,035341;1;1;1;0;0;1;0;0;1;crossover;93
0,034842;0;1;1;0;1;1;0;0;0;initial;0
0,029520;1;1;1;0;0;0;0;0;1;initial;0
0,029520;1;1;1;0;0;0;0;0;1;crossover;93
0,028052;1;1;1;1;0;0;0;0;1;initial;0
0,028052;1;1;1;1;0;0;0;0;1;crossover;93
0,026539;0;1;1;0;0;1;0;1;0;crossover;13
0,026375;0;1;1;0;0;1;1;1;0;initial;0
0,025471;0;1;1;1;0;1;1;1;0;crossover;22
0,024420;0;1;1;1;0;1;0;1;0;crossover;5
0,024420;0;1;1;1;0;1;0;1;0;crossover;93
0,020139;1;1;1;0;0;0;0;1;0;crossover;4
0,019841;1;1;1;0;0;1;0;1;0;crossover;2
0,018715;1;1;1;1;0;0;0;1;0;crossover;1
0,018374;1;1;1;1;0;1;0;1;0;crossover;3
0,018374;1;1;1;1;0;1;0;1;0;crossover;93
0,016946;1;1;1;0;0;1;1;1;0;crossover;3
0,016237;1;1;1;0;0;1;0;0;0;crossover;7
0,016158;1;1;1;0;0;0;1;1;0;initial;0
-0,261232;0;0;1;0;0;1;0;1;0;crossover;93
