File files/output_ga/ga_setpack_cosine_outliers_log,csv
elapsed_time;max_gen_reached
1783,950361;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;sc;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
-0,007363;1;1;0;1;0;0;0;1;0;initial;0
-0,040792;1;0;1;1;0;1;0;0;1;initial;0
0,015229;1;1;1;1;0;1;0;0;0;initial;0
-0,264854;0;0;0;1;1;1;0;0;0;initial;0
-0,078676;1;1;0;1;0;1;1;0;0;initial;0
0,015681;1;1;1;1;0;0;1;1;0;initial;0
0,026375;0;1;1;0;0;1;1;1;0;initial;0
0,050937;0;1;1;1;0;1;0;0;1;initial;0
0,034842;0;1;1;0;1;1;0;0;0;initial;0
-0,111657;1;0;0;1;0;0;1;1;0;initial;0
0,016158;1;1;1;0;0;0;1;1;0;initial;0
-0,083010;1;0;1;1;0;1;1;0;0;initial;0
-0,083570;1;0;1;0;0;0;0;0;1;initial;0
-0,001747;1;1;0;1;0;1;1;1;0;initial;0
0,049081;0;1;1;0;0;1;0;0;1;initial;0
-0,207487;1;1;0;1;0;0;0;0;0;initial;0
-0,060903;1;0;1;0;0;1;0;1;0;initial;0
-0,161452;1;0;0;1;0;1;1;0;0;initial;0
-0,149179;1;0;0;0;1;1;0;0;0;initial;0
0,009603;1;1;1;1;1;1;0;0;0;initial;0
-0,053052;1;1;0;0;1;0;0;0;0;initial;0
0,104014;0;1;0;1;0;1;0;0;1;initial;0
-0,179846;1;0;0;1;1;0;0;0;0;initial;0
0,035341;1;1;1;0;0;1;0;0;1;initial;0
0,006304;1;1;1;1;1;0;0;0;0;initial;0
-0,094815;1;0;0;1;0;1;1;1;0;initial;0
-0,340392;0;0;1;1;1;0;0;0;0;initial;0
-0,076584;1;0;1;1;0;0;1;1;0;initial;0
-0,261232;0;0;1;0;0;1;0;1;0;initial;0
0,035752;1;1;1;1;0;1;0;0;1;initial;0
0,029520;1;1;1;0;0;0;0;0;1;initial;0
-0,061189;1;0;1;1;1;1;0;0;0;initial;0
-0,332323;0;0;0;1;0;0;1;1;0;initial;0
-0,144205;1;0;0;1;0;1;0;0;1;initial;0
-0,148811;1;0;0;1;1;1;0;0;0;initial;0
0,028052;1;1;1;1;0;0;0;0;1;initial;0
-0,221346;0;0;1;0;0;1;1;0;0;initial;0
-0,038803;1;1;0;0;0;0;0;0;1;initial;0
-0,008629;1;1;0;1;0;1;0;0;1;crossover;1
-0,212193;0;0;1;1;0;1;1;0;0;crossover;1
-1,173680;1;0;0;1;0;0;1;1;1;crossover;1
0,012689;1;1;1;0;0;0;0;0;0;crossover;1
-1,079840;1;1;1;0;0;0;1;1;1;crossover;1
-0,019044;0;1;1;1;0;1;0;0;0;crossover;1
-0,618711;0;1;1;0;1;1;0;0;1;crossover;1
0,018715;1;1;1;1;0;0;0;1;0;crossover;1
0,010768;1;1;1;1;0;0;0;0;0;crossover;2
-0,763612;1;0;0;0;1;1;0;1;0;crossover;2
-0,040602;1;1;0;1;0;0;0;0;1;crossover;2
0,019841;1;1;1;0;0;1;0;1;0;crossover;2
