File files/output_ga/ga_setpack_euclidean,csv
elapsed_time;max_gen_reached
1097,803331;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,277722;0;0;1;1;0;1;0;0;0;crossover;35
0,273162;0;0;1;0;0;1;0;0;1;crossover;33
0,268846;0;0;0;0;0;1;1;1;0;crossover;29
0,266937;0;0;1;0;0;1;1;0;0;crossover;26
0,262517;0;0;1;0;1;1;0;0;0;crossover;29
0,260884;0;1;1;0;0;1;0;0;0;crossover;4
0,260859;1;0;0;0;1;1;0;0;0;crossover;1
0,257541;1;0;1;0;0;0;1;0;0;crossover;16
0,257234;1;0;1;0;0;1;0;0;0;initial;0
0,256698;1;0;1;0;0;0;0;0;1;crossover;12
0,256075;0;1;0;1;0;1;0;0;0;initial;0
0,255168;1;0;0;0;0;1;1;0;0;crossover;4
0,253178;0;1;0;0;0;1;0;1;0;crossover;46
0,252015;1;0;0;0;0;1;0;1;0;crossover;51
0,251945;1;0;0;0;0;1;0;0;1;crossover;16
0,251408;0;1;0;0;1;1;0;0;0;crossover;9
0,250442;1;0;0;1;0;1;0;0;0;initial;0
0,248947;0;1;0;0;0;1;0;0;1;crossover;19
0,248437;0;1;1;0;0;0;0;0;1;crossover;9
0,246948;0;1;1;0;0;0;1;0;0;crossover;33
0,246133;0;1;0;0;0;1;1;0;0;initial;0
0,236343;1;1;1;0;0;0;0;0;0;crossover;5
0,234139;1;1;0;1;0;0;0;0;0;initial;0
0,232321;1;1;0;0;0;0;0;0;1;crossover;2
0,231931;1;1;0;0;0;1;0;0;0;crossover;3
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,277722;0;0;1;1;0;1;0;0;0;crossover;35
0,277722;0;0;1;1;0;1;0;0;0;crossover;95
0,277722;0;0;1;1;0;1;0;0;0;crossover;95
0,277722;0;0;1;1;0;1;0;0;0;crossover;94
0,277722;0;0;1;1;0;1;0;0;0;crossover;95
0,277722;0;0;1;1;0;1;0;0;0;crossover;95
0,277722;0;0;1;1;0;1;0;0;0;crossover;95
0,277722;0;0;1;1;0;1;0;0;0;crossover;95
0,273162;0;0;1;0;0;1;0;0;1;crossover;33
0,273162;0;0;1;0;0;1;0;0;1;crossover;33
0,273162;0;0;1;0;0;1;0;0;1;crossover;94
0,273162;0;0;1;0;0;1;0;0;1;crossover;33
0,273162;0;0;1;0;0;1;0;0;1;crossover;95
0,268846;0;0;0;0;0;1;1;1;0;crossover;29
0,268846;0;0;0;0;0;1;1;1;0;crossover;94
0,268846;0;0;0;0;0;1;1;1;0;crossover;95
0,266937;0;0;1;0;0;1;1;0;0;crossover;26
0,266937;0;0;1;0;0;1;1;0;0;crossover;95
0,266937;0;0;1;0;0;1;1;0;0;crossover;95
0,266937;0;0;1;0;0;1;1;0;0;crossover;95
0,262517;0;0;1;0;1;1;0;0;0;crossover;29
0,262517;0;0;1;0;1;1;0;0;0;crossover;95
0,260884;0;1;1;0;0;1;0;0;0;crossover;4
0,260859;1;0;0;0;1;1;0;0;0;crossover;1
0,257541;1;0;1;0;0;0;1;0;0;crossover;16
0,257541;1;0;1;0;0;0;1;0;0;crossover;95
0,257541;1;0;1;0;0;0;1;0;0;crossover;95
0,257541;1;0;1;0;0;0;1;0;0;crossover;95
0,257541;1;0;1;0;0;0;1;0;0;crossover;95
0,257541;1;0;1;0;0;0;1;0;0;crossover;95
0,257234;1;0;1;0;0;1;0;0;0;initial;0
0,257234;1;0;1;0;0;1;0;0;0;crossover;94
0,256698;1;0;1;0;0;0;0;0;1;crossover;12
0,256075;0;1;0;1;0;1;0;0;0;initial;0
0,255168;1;0;0;0;0;1;1;0;0;crossover;4
0,253178;0;1;0;0;0;1;0;1;0;crossover;46
0,252015;1;0;0;0;0;1;0;1;0;crossover;51
0,251945;1;0;0;0;0;1;0;0;1;crossover;16
0,251408;0;1;0;0;1;1;0;0;0;crossover;9
0,251408;0;1;0;0;1;1;0;0;0;crossover;95
0,250442;1;0;0;1;0;1;0;0;0;initial;0
0,250442;1;0;0;1;0;1;0;0;0;crossover;95
0,248947;0;1;0;0;0;1;0;0;1;crossover;19
0,248437;0;1;1;0;0;0;0;0;1;crossover;9
0,246948;0;1;1;0;0;0;1;0;0;crossover;33
0,246133;0;1;0;0;0;1;1;0;0;initial;0
0,236343;1;1;1;0;0;0;0;0;0;crossover;5
0,234139;1;1;0;1;0;0;0;0;0;initial;0
0,232321;1;1;0;0;0;0;0;0;1;crossover;2
0,231931;1;1;0;0;0;1;0;0;0;crossover;3
