File files/output_ga/ga_setpack_euclidean_log,csv
elapsed_time;max_gen_reached
1097,803331;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,179788;1;1;1;1;0;1;0;0;0;initial;0
0,250442;1;0;0;1;0;1;0;0;0;initial;0
0,172642;1;1;1;0;0;1;1;0;0;initial;0
0,201488;1;1;0;0;0;0;1;1;0;initial;0
0,170798;1;1;1;0;1;1;0;0;0;initial;0
0,173258;1;1;0;0;0;1;1;1;0;initial;0
0,177070;1;1;1;0;0;1;0;0;1;initial;0
0,193511;1;1;0;0;1;1;0;0;0;initial;0
0,257234;1;0;1;0;0;1;0;0;0;initial;0
0,234139;1;1;0;1;0;0;0;0;0;initial;0
0,200936;1;1;1;0;0;0;0;0;1;initial;0
0,195661;1;1;0;1;0;1;0;0;0;initial;0
0,218911;1;0;0;0;0;1;1;1;0;initial;0
0,196800;1;1;1;0;1;0;0;0;0;initial;0
0,256075;0;1;0;1;0;1;0;0;0;initial;0
0,191485;1;1;0;0;0;1;1;0;0;initial;0
0,246133;0;1;0;0;0;1;1;0;0;initial;0
0,210207;0;1;1;0;1;1;0;0;0;initial;0
-0,499266;1;1;0;1;0;1;0;0;1;crossover;1
0,198951;1;1;1;0;0;1;0;0;0;crossover;1
0,260859;1;0;0;0;1;1;0;0;0;crossover;1
0,214120;0;1;1;1;0;1;0;0;0;crossover;1
-0,467367;0;1;0;1;0;1;1;0;0;crossover;1
0,213035;0;1;0;0;0;1;1;1;0;crossover;1
-1,560781;1;0;0;1;0;0;1;1;1;diversification;2
-2,108943;0;1;0;1;1;0;1;1;1;diversification;2
-1,182047;0;1;1;1;1;0;0;0;1;diversification;2
-1,739271;0;0;1;0;1;1;1;1;1;diversification;2
-1,398019;1;0;1;1;1;0;0;1;0;diversification;2
-2,077925;0;0;0;1;1;1;1;1;1;diversification;2
-1,582613;0;1;0;1;1;0;1;1;0;diversification;2
-1,729920;0;0;1;0;1;0;1;1;1;diversification;2
-0,518620;1;1;1;0;0;0;1;1;0;crossover;2
0,232321;1;1;0;0;0;0;0;0;1;crossover;2
-1,874723;1;0;1;1;1;0;0;1;1;diversification;2
-2,078537;0;0;0;1;1;0;1;1;1;diversification;2
0,215538;1;0;1;0;0;1;1;0;0;crossover;3
0,231931;1;1;0;0;0;1;0;0;0;crossover;3
-0,867842;0;1;0;1;0;0;1;1;0;crossover;3
0,255168;1;0;0;0;0;1;1;0;0;crossover;4
0,260884;0;1;1;0;0;1;0;0;0;crossover;4
-2,128907;0;0;0;0;1;1;0;0;0;mutation;4
-1,756927;0;1;1;1;0;0;1;1;1;diversification;5
-1,761167;0;1;1;0;1;0;1;1;1;diversification;5
-1,571351;0;1;0;1;0;0;1;1;1;diversification;5
-1,194417;0;1;1;1;0;0;1;1;0;diversification;5
0,236343;1;1;1;0;0;0;0;0;0;crossover;5
-0,470377;1;0;0;1;1;1;0;0;0;mutation;5
-2,155318;1;0;0;1;0;0;0;0;0;mutation;5
-2,155043;1;0;0;0;0;0;1;0;0;mutation;5
-2,187726;0;0;1;1;1;0;1;1;1;diversification;5
