File files/output_ga/ga_setpack_euclidean_outliers,csv
elapsed_time;max_gen_reached
1694,014684;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,397662;0;0;0;1;0;0;1;1;0;crossover;7
0,390482;0;0;0;1;0;1;0;1;0;crossover;50
0,388926;0;0;1;1;0;1;0;0;0;crossover;1
0,384115;0;0;1;1;0;0;1;0;0;crossover;4
0,372864;0;0;0;1;0;1;1;0;0;crossover;4
0,366626;1;0;0;1;0;1;0;0;0;crossover;4
0,354809;1;0;0;1;0;0;1;0;0;crossover;2
0,350003;1;0;0;1;0;0;0;0;1;initial;0
0,347058;0;0;1;1;0;0;0;0;1;initial;0
0,346998;0;0;1;1;0;0;0;1;0;crossover;19
0,343055;0;0;0;1;0;1;0;0;1;mutation;1
0,342651;0;1;0;1;0;1;0;0;0;crossover;8
0,333540;0;1;1;1;0;0;0;0;0;crossover;28
0,332867;0;1;0;1;0;0;0;1;0;crossover;20
0,330729;1;0;0;1;0;0;0;1;0;crossover;2
0,327054;1;0;1;1;0;0;0;0;0;initial;0
0,324889;0;1;0;1;0;0;1;0;0;crossover;10
0,324482;0;1;0;1;0;0;0;0;1;crossover;3
0,318835;0;0;1;0;0;1;0;0;1;crossover;1
0,318335;0;0;1;1;0;0;1;1;0;crossover;3
0,315451;0;0;1;0;0;0;1;1;0;crossover;54
0,313744;0;0;1;1;0;1;0;0;1;initial;0
0,310450;0;0;1;0;0;1;1;0;0;initial;0
0,308354;1;0;0;0;0;0;1;1;0;initial;0
0,307779;1;0;0;1;0;0;1;1;0;initial;0
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,397662;0;0;0;1;0;0;1;1;0;crossover;7
0,397662;0;0;0;1;0;0;1;1;0;crossover;67
0,397662;0;0;0;1;0;0;1;1;0;crossover;67
0,397662;0;0;0;1;0;0;1;1;0;crossover;67
0,397662;0;0;0;1;0;0;1;1;0;crossover;67
0,397662;0;0;0;1;0;0;1;1;0;crossover;67
0,397662;0;0;0;1;0;0;1;1;0;crossover;67
0,390482;0;0;0;1;0;1;0;1;0;crossover;50
0,390482;0;0;0;1;0;1;0;1;0;crossover;67
0,388926;0;0;1;1;0;1;0;0;0;crossover;1
0,388926;0;0;1;1;0;1;0;0;0;crossover;67
0,388926;0;0;1;1;0;1;0;0;0;crossover;67
0,388926;0;0;1;1;0;1;0;0;0;crossover;67
0,384115;0;0;1;1;0;0;1;0;0;crossover;4
0,384115;0;0;1;1;0;0;1;0;0;crossover;67
0,384115;0;0;1;1;0;0;1;0;0;crossover;67
0,372864;0;0;0;1;0;1;1;0;0;crossover;4
0,372864;0;0;0;1;0;1;1;0;0;crossover;67
0,372864;0;0;0;1;0;1;1;0;0;crossover;67
0,372864;0;0;0;1;0;1;1;0;0;crossover;67
0,372864;0;0;0;1;0;1;1;0;0;crossover;67
0,366626;1;0;0;1;0;1;0;0;0;crossover;4
0,354809;1;0;0;1;0;0;1;0;0;crossover;2
0,354809;1;0;0;1;0;0;1;0;0;crossover;2
0,354809;1;0;0;1;0;0;1;0;0;crossover;67
0,350003;1;0;0;1;0;0;0;0;1;initial;0
0,347058;0;0;1;1;0;0;0;0;1;initial;0
0,346998;0;0;1;1;0;0;0;1;0;crossover;19
0,346998;0;0;1;1;0;0;0;1;0;crossover;67
0,346998;0;0;1;1;0;0;0;1;0;crossover;67
0,346998;0;0;1;1;0;0;0;1;0;crossover;67
0,343055;0;0;0;1;0;1;0;0;1;mutation;1
0,343055;0;0;0;1;0;1;0;0;1;crossover;66
0,342651;0;1;0;1;0;1;0;0;0;crossover;8
0,342651;0;1;0;1;0;1;0;0;0;crossover;67
0,333540;0;1;1;1;0;0;0;0;0;crossover;28
0,332867;0;1;0;1;0;0;0;1;0;crossover;20
0,330729;1;0;0;1;0;0;0;1;0;crossover;2
0,330729;1;0;0;1;0;0;0;1;0;crossover;67
0,327054;1;0;1;1;0;0;0;0;0;initial;0
0,324889;0;1;0;1;0;0;1;0;0;crossover;10
0,324889;0;1;0;1;0;0;1;0;0;crossover;67
0,324482;0;1;0;1;0;0;0;0;1;crossover;3
0,318835;0;0;1;0;0;1;0;0;1;crossover;1
0,318335;0;0;1;1;0;0;1;1;0;crossover;3
0,315451;0;0;1;0;0;0;1;1;0;crossover;54
0,313744;0;0;1;1;0;1;0;0;1;initial;0
0,310450;0;0;1;0;0;1;1;0;0;initial;0
0,308354;1;0;0;0;0;0;1;1;0;initial;0
0,307779;1;0;0;1;0;0;1;1;0;initial;0
