File files/output_ga/ga_setpack_euclidean_outliers_log,csv
elapsed_time;max_gen_reached
1694,014684;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,260501;0;1;0;0;0;1;0;0;1;initial;0
0,307779;1;0;0;1;0;0;1;1;0;initial;0
0,227896;1;0;1;1;0;1;1;1;0;initial;0
0,222325;0;1;1;1;0;1;1;1;0;initial;0
0,240500;1;1;0;1;0;0;1;0;0;initial;0
0,229075;1;0;1;1;1;1;0;0;0;initial;0
0,269058;1;0;1;1;0;1;0;0;1;initial;0
0,285436;0;0;1;1;0;1;1;1;0;initial;0
0,205782;1;1;1;1;0;1;0;0;1;initial;0
0,308354;1;0;0;0;0;0;1;1;0;initial;0
0,223226;1;1;0;1;0;1;0;0;1;initial;0
0,327054;1;0;1;1;0;0;0;0;0;initial;0
0,249286;0;1;0;0;1;1;0;0;0;initial;0
0,279842;1;0;0;1;0;1;1;0;0;initial;0
0,313744;0;0;1;1;0;1;0;0;1;initial;0
0,270141;1;0;0;1;0;1;0;0;1;initial;0
0,219809;1;1;0;1;0;1;1;0;0;initial;0
0,347058;0;0;1;1;0;0;0;0;1;initial;0
0,283660;0;1;1;1;0;0;0;0;1;initial;0
0,310450;0;0;1;0;0;1;1;0;0;initial;0
0,262924;1;0;0;1;0;1;1;1;0;initial;0
0,233133;1;1;1;1;0;0;1;0;0;initial;0
0,244405;1;1;0;1;0;0;0;0;1;initial;0
0,270026;0;1;0;1;0;1;1;0;0;initial;0
0,234625;0;1;1;0;0;1;0;0;1;initial;0
0,291551;0;0;1;1;1;1;0;0;0;initial;0
0,307624;0;0;1;1;0;1;1;0;0;initial;0
0,293079;0;1;0;1;0;0;1;1;0;initial;0
0,284673;0;1;1;0;0;0;0;0;1;initial;0
0,240729;0;1;0;1;0;1;1;1;0;initial;0
0,206479;1;1;1;1;1;0;0;0;0;initial;0
0,299068;1;0;1;0;0;0;0;0;1;initial;0
0,185488;1;1;1;1;1;1;0;0;0;initial;0
