File files/output_ga/ga_setpack_inertia,csv
elapsed_time;max_gen_reached
143,253964;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;i;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
340,694025;1;0;1;0;0;0;0;0;1;crossover;4
351,459768;0;1;1;0;0;0;0;0;1;initial;0
352,663292;0;1;1;1;0;0;0;0;0;crossover;6
360,528723;1;0;1;1;0;0;0;0;0;initial;0
365,386810;0;0;1;0;0;1;0;0;1;initial;0
368,157811;1;0;0;0;0;0;1;1;0;crossover;8
375,284291;0;1;0;0;0;0;1;1;0;crossover;4
419,599970;1;0;1;0;0;0;1;0;0;initial;0
421,296707;1;1;0;0;0;0;0;0;1;initial;0
427,079122;1;0;0;0;0;1;0;0;1;crossover;3
427,677665;1;1;0;1;0;0;0;0;0;crossover;10
429,871202;0;1;1;0;0;0;1;0;0;crossover;3
436,273332;0;0;1;0;0;1;1;0;0;mutation;3
443,769473;0;1;0;0;0;1;0;0;1;crossover;3
445,734971;0;1;0;1;0;1;0;0;0;crossover;23
450,975418;1;0;0;1;0;1;0;0;0;crossover;4
466,909921;0;0;1;0;1;1;0;0;0;crossover;7
477,396082;1;1;0;0;0;0;1;0;0;initial;0
480,179465;1;0;0;0;0;1;1;0;0;crossover;2
484,774923;1;1;0;0;0;0;0;1;0;crossover;29
495,968709;1;0;0;0;1;1;0;0;0;crossover;26
498,275096;1;0;0;0;0;1;0;1;0;crossover;1
500,908119;0;1;0;0;0;1;1;0;0;crossover;2
501,716146;0;1;0;0;0;1;0;1;0;initial;0
511,370741;0;1;1;0;0;1;0;0;0;crossover;22
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
340,694025;1;0;1;0;0;0;0;0;1;crossover;4
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
340,694025;1;0;1;0;0;0;0;0;1;crossover;64
351,459768;0;1;1;0;0;0;0;0;1;initial;0
351,459768;0;1;1;0;0;0;0;0;1;crossover;64
352,663292;0;1;1;1;0;0;0;0;0;crossover;6
352,663292;0;1;1;1;0;0;0;0;0;crossover;64
360,528723;1;0;1;1;0;0;0;0;0;initial;0
360,528723;1;0;1;1;0;0;0;0;0;crossover;64
360,528723;1;0;1;1;0;0;0;0;0;crossover;64
360,528723;1;0;1;1;0;0;0;0;0;crossover;64
365,386810;0;0;1;0;0;1;0;0;1;initial;0
365,386810;0;0;1;0;0;1;0;0;1;crossover;64
365,386810;0;0;1;0;0;1;0;0;1;crossover;64
365,386810;0;0;1;0;0;1;0;0;1;crossover;64
365,386810;0;0;1;0;0;1;0;0;1;crossover;64
368,157811;1;0;0;0;0;0;1;1;0;crossover;8
375,284291;0;1;0;0;0;0;1;1;0;crossover;4
419,599970;1;0;1;0;0;0;1;0;0;initial;0
419,599970;1;0;1;0;0;0;1;0;0;crossover;64
421,296707;1;1;0;0;0;0;0;0;1;initial;0
421,296707;1;1;0;0;0;0;0;0;1;crossover;64
427,079122;1;0;0;0;0;1;0;0;1;crossover;3
427,677665;1;1;0;1;0;0;0;0;0;crossover;10
429,871202;0;1;1;0;0;0;1;0;0;crossover;3
429,871202;0;1;1;0;0;0;1;0;0;crossover;64
436,273332;0;0;1;0;0;1;1;0;0;mutation;3
436,273332;0;0;1;0;0;1;1;0;0;crossover;64
443,769473;0;1;0;0;0;1;0;0;1;crossover;3
445,734971;0;1;0;1;0;1;0;0;0;crossover;23
450,975418;1;0;0;1;0;1;0;0;0;crossover;4
466,909921;0;0;1;0;1;1;0;0;0;crossover;7
466,909921;0;0;1;0;1;1;0;0;0;crossover;64
477,396082;1;1;0;0;0;0;1;0;0;initial;0
480,179465;1;0;0;0;0;1;1;0;0;crossover;2
480,179465;1;0;0;0;0;1;1;0;0;crossover;64
484,774923;1;1;0;0;0;0;0;1;0;crossover;29
495,968709;1;0;0;0;1;1;0;0;0;crossover;26
498,275096;1;0;0;0;0;1;0;1;0;crossover;1
500,908119;0;1;0;0;0;1;1;0;0;crossover;2
501,716146;0;1;0;0;0;1;0;1;0;initial;0
511,370741;0;1;1;0;0;1;0;0;0;crossover;22
