File files/output_ga/ga_setpack_inertia_log,csv
elapsed_time;max_gen_reached
143,253964;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;i;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
793,902710;1;1;1;0;1;0;0;0;0;initial;0
701,395118;1;1;1;1;0;0;0;0;0;initial;0
827,477386;1;1;0;1;0;1;0;0;0;initial;0
1272,425895;1;1;1;0;1;1;0;0;0;initial;0
820,431309;0;1;1;0;0;1;1;0;0;initial;0
421,296707;1;1;0;0;0;0;0;0;1;initial;0
351,459768;0;1;1;0;0;0;0;0;1;initial;0
729,383805;1;1;0;0;0;0;1;1;0;initial;0
419,599970;1;0;1;0;0;0;1;0;0;initial;0
528,273407;0;1;0;0;1;1;0;0;0;initial;0
1150,952831;1;1;1;1;0;1;0;0;0;initial;0
1242,853811;1;1;1;0;0;1;1;0;0;initial;0
477,396082;1;1;0;0;0;0;1;0;0;initial;0
825,123767;1;0;1;0;1;1;0;0;0;initial;0
365,386810;0;0;1;0;0;1;0;0;1;initial;0
1140,485370;1;1;1;0;0;1;0;0;1;initial;0
743,501300;1;0;0;0;0;1;1;1;0;initial;0
360,528723;1;0;1;1;0;0;0;0;0;initial;0
1178,548980;1;1;0;0;0;1;1;1;0;initial;0
851,590744;0;1;1;0;1;1;0;0;0;initial;0
501,716146;0;1;0;0;0;1;0;1;0;initial;0
814,756660;1;1;0;0;0;1;0;0;1;initial;0
10688,047091;0;1;0;0;1;1;0;0;1;crossover;1
527,482690;1;1;0;0;0;1;0;0;0;crossover;1
760,528231;0;1;0;0;0;1;1;1;0;crossover;1
498,275096;1;0;0;0;0;1;0;1;0;crossover;1
10933,489401;1;1;1;0;1;0;0;0;1;crossover;1
