File files/output_ga/ga_setpack_inertia_outliers,csv
elapsed_time;max_gen_reached
176,573437;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;i;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
10,227338;0;0;0;1;0;1;0;0;1;crossover;1
11,020115;0;0;0;1;0;1;1;0;0;crossover;4
16,252818;0;1;0;1;0;0;0;0;1;initial;0
18,386333;0;1;0;1;0;0;1;0;0;crossover;7
19,829254;0;0;1;1;0;0;0;0;1;crossover;23
20,861450;0;1;0;1;0;1;0;0;0;crossover;10
22,624311;0;0;1;1;0;0;1;0;0;crossover;26
28,903250;0;0;1;1;0;1;0;0;0;crossover;13
29,468770;1;0;0;1;0;0;0;0;1;initial;0
30,330594;1;0;0;1;0;0;1;0;0;crossover;24
34,081669;0;0;0;1;0;1;0;1;0;initial;0
35,216159;0;1;0;0;0;1;0;0;1;crossover;3
36,023159;1;0;0;1;0;1;0;0;0;crossover;11
37,528664;0;1;0;0;0;1;1;0;0;crossover;5
37,657830;0;1;0;1;0;1;0;0;1;crossover;3
39,251355;0;1;0;1;0;1;1;0;0;crossover;52
39,569501;0;0;1;0;0;1;0;0;1;initial;0
41,959184;0;0;1;1;0;1;0;0;1;initial;0
43,269084;0;0;1;0;0;1;1;0;0;initial;0
44,651388;0;0;1;1;0;1;1;0;0;mutation;30
47,879783;0;0;0;1;0;1;1;1;0;crossover;3
52,465988;0;1;0;1;0;0;0;1;0;crossover;43
54,986088;1;0;0;0;0;1;0;0;1;initial;0
55,745919;0;1;1;0;0;0;0;0;1;crossover;1
57,556090;1;0;0;1;0;1;0;0;1;mutation;18
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
10,227338;0;0;0;1;0;1;0;0;1;crossover;1
10,227338;0;0;0;1;0;1;0;0;1;crossover;61
10,227338;0;0;0;1;0;1;0;0;1;crossover;61
10,227338;0;0;0;1;0;1;0;0;1;crossover;61
10,227338;0;0;0;1;0;1;0;0;1;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;4
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;61
11,020115;0;0;0;1;0;1;1;0;0;crossover;59
16,252818;0;1;0;1;0;0;0;0;1;initial;0
16,252818;0;1;0;1;0;0;0;0;1;crossover;61
16,252818;0;1;0;1;0;0;0;0;1;crossover;60
18,386333;0;1;0;1;0;0;1;0;0;crossover;7
19,829254;0;0;1;1;0;0;0;0;1;crossover;23
19,829254;0;0;1;1;0;0;0;0;1;crossover;61
20,861450;0;1;0;1;0;1;0;0;0;crossover;10
22,624311;0;0;1;1;0;0;1;0;0;crossover;26
22,624311;0;0;1;1;0;0;1;0;0;crossover;61
28,903250;0;0;1;1;0;1;0;0;0;crossover;13
29,468770;1;0;0;1;0;0;0;0;1;initial;0
29,468770;1;0;0;1;0;0;0;0;1;crossover;61
29,468770;1;0;0;1;0;0;0;0;1;crossover;61
30,330594;1;0;0;1;0;0;1;0;0;crossover;24
30,330594;1;0;0;1;0;0;1;0;0;crossover;61
34,081669;0;0;0;1;0;1;0;1;0;initial;0
35,216159;0;1;0;0;0;1;0;0;1;crossover;3
36,023159;1;0;0;1;0;1;0;0;0;crossover;11
36,023159;1;0;0;1;0;1;0;0;0;crossover;61
37,528664;0;1;0;0;0;1;1;0;0;crossover;5
37,657830;0;1;0;1;0;1;0;0;1;crossover;3
39,251355;0;1;0;1;0;1;1;0;0;crossover;52
39,569501;0;0;1;0;0;1;0;0;1;initial;0
39,569501;0;0;1;0;0;1;0;0;1;crossover;61
41,959184;0;0;1;1;0;1;0;0;1;initial;0
43,269084;0;0;1;0;0;1;1;0;0;initial;0
44,651388;0;0;1;1;0;1;1;0;0;mutation;30
47,879783;0;0;0;1;0;1;1;1;0;crossover;3
52,465988;0;1;0;1;0;0;0;1;0;crossover;43
54,986088;1;0;0;0;0;1;0;0;1;initial;0
55,745919;0;1;1;0;0;0;0;0;1;crossover;1
57,556090;1;0;0;1;0;1;0;0;1;mutation;18
