File files/output_ga/ga_setpack_inertia_outliers_log,csv
elapsed_time;max_gen_reached
176,573437;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;i;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
280,893236;1;1;1;1;1;1;0;0;0;initial;0
108,318324;1;1;0;0;0;1;0;0;1;initial;0
203,299941;1;0;1;1;0;0;0;1;0;initial;0
96,991598;1;0;1;0;0;0;0;0;1;initial;0
178,483113;1;1;0;1;1;1;0;0;0;initial;0
60,641156;0;1;1;0;0;0;1;0;0;initial;0
286,722432;1;1;1;1;0;0;1;1;0;initial;0
102,357985;1;0;0;1;0;0;0;1;0;initial;0
54,986088;1;0;0;0;0;1;0;0;1;initial;0
176,270814;0;1;1;0;0;1;1;1;0;initial;0
71,191523;0;1;1;0;0;1;0;0;0;initial;0
146,954977;1;1;1;0;0;0;0;0;0;initial;0
222,836226;1;1;0;1;0;1;1;1;0;initial;0
200,560136;1;1;1;1;0;1;0;0;1;initial;0
16,252818;0;1;0;1;0;0;0;0;1;initial;0
57,602257;1;0;0;0;0;1;1;0;0;initial;0
145,140012;0;1;1;1;0;0;1;1;0;initial;0
206,517170;1;1;0;1;0;1;0;1;0;initial;0
34,081669;0;0;0;1;0;1;0;1;0;initial;0
178,723292;0;1;1;1;0;1;1;1;0;initial;0
219,326751;1;0;1;1;0;0;1;1;0;initial;0
305,293243;1;1;1;0;0;1;0;1;0;initial;0
87,347113;0;1;1;1;0;1;0;0;1;initial;0
41,959184;0;0;1;1;0;1;0;0;1;initial;0
165,740435;1;1;1;0;0;0;1;0;0;initial;0
176,008038;1;1;0;0;1;1;0;0;0;initial;0
198,065676;1;1;1;0;0;1;0;0;1;initial;0
29,468770;1;0;0;1;0;0;0;0;1;initial;0
203,065420;1;1;1;0;0;1;1;0;0;initial;0
74,222093;0;1;0;1;1;1;0;0;0;initial;0
137,731864;1;0;1;0;0;1;1;0;0;initial;0
43,269084;0;0;1;0;0;1;1;0;0;initial;0
39,569501;0;0;1;0;0;1;0;0;1;initial;0
99,493050;1;0;1;1;0;0;0;0;1;initial;0
71,787018;0;1;0;0;1;1;0;0;0;crossover;1
162,732144;0;1;1;1;0;1;0;1;0;crossover;1
10,227338;0;0;0;1;0;1;0;0;1;crossover;1
55,745919;0;1;1;0;0;0;0;0;1;crossover;1
205,589717;1;1;1;1;0;1;1;0;0;crossover;1
110,916955;1;1;0;1;0;1;0;0;1;crossover;1
120,175312;0;0;1;1;0;1;1;1;0;crossover;1
84,872266;0;1;1;0;0;1;0;0;1;crossover;1
73,729279;0;1;1;1;0;1;0;0;0;crossover;1
50191,688448;1;0;0;0;1;0;1;1;1;diversification;2
20183,895939;1;0;0;0;1;0;1;1;0;diversification;2
10189,894351;1;1;0;1;1;1;0;0;1;diversification;2
20225,792992;1;0;1;0;0;0;1;1;1;diversification;2
30172,572493;0;1;1;0;1;1;1;0;1;diversification;2
30156,431059;0;1;0;1;1;1;0;1;1;diversification;2
160,691095;1;1;1;0;0;0;0;0;1;crossover;2
20255,522888;0;1;1;0;1;1;1;1;0;diversification;2
132,767864;1;0;1;0;0;1;0;0;1;crossover;2
30178,199807;1;0;0;0;1;0;0;1;1;diversification;2
20127,402579;0;1;0;1;1;0;1;1;0;diversification;2
30217,657444;1;0;0;1;1;1;0;1;1;diversification;2
20330,826586;1;0;1;0;1;1;1;1;0;diversification;2
20296,097128;1;0;1;1;1;0;1;1;0;diversification;2
152,959146;0;1;1;1;1;1;0;0;0;crossover;2
1083,790941;0;1;0;1;1;1;0;0;1;crossover;2
50259,911581;1;1;0;0;1;0;1;1;1;diversification;2
37,657830;0;1;0;1;0;1;0;0;1;crossover;3
108,925125;1;0;0;0;1;1;0;0;0;crossover;3
35,216159;0;1;0;0;0;1;0;0;1;crossover;3
47,879783;0;0;0;1;0;1;1;1;0;crossover;3
129,142666;0;1;1;1;0;0;0;1;0;crossover;3
85,838661;1;0;1;1;0;0;0;0;0;crossover;3
58,366354;0;1;1;1;0;0;0;0;1;crossover;3
118,679320;1;0;0;1;0;0;1;1;0;crossover;3
136,560038;1;0;0;0;0;1;0;1;0;crossover;4
119,071938;1;0;1;0;0;1;0;0;0;crossover;4
142,685890;0;1;1;0;0;0;1;1;0;crossover;4
11,020115;0;0;0;1;0;1;1;0;0;crossover;4
37,528664;0;1;0;0;0;1;1;0;0;crossover;5
101,780323;0;0;1;0;0;1;0;1;0;crossover;5
18,386333;0;1;0;1;0;0;1;0;0;crossover;7
609,356159;0;0;0;0;0;1;0;0;1;mutation;7
84,085600;0;1;0;1;0;1;0;1;0;mutation;8
6016,167125;0;1;0;0;0;0;1;0;0;mutation;8
81,634822;0;1;0;0;0;1;0;1;0;crossover;9
20,861450;0;1;0;1;0;1;0;0;0;crossover;10
1049,478579;0;1;0;0;0;1;1;0;1;crossover;10
160,277116;0;1;1;0;0;1;0;1;0;crossover;11
36,023159;1;0;0;1;0;1;0;0;0;crossover;11
602,356944;0;0;0;1;0;1;0;0;0;mutation;12
20218,028294;0;1;1;0;1;0;1;1;0;diversification;12
20361,408987;1;1;1;0;1;0;1;1;0;diversification;12
20223,326082;1;0;0;1;1;1;1;1;0;diversification;12
30248,819382;1;1;0;1;1;0;0;1;1;diversification;12
1018,242209;0;0;0;1;0;1;1;0;1;crossover;12
30355,576851;1;1;1;0;1;0;0;1;1;diversification;12
