File files/output_ga/ga_setpack_variance,csv
elapsed_time;max_gen_reached
1,687912;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,050197;0;0;1;0;1;1;0;0;0;initial;0
0,049687;0;0;1;0;0;1;1;0;0;crossover;16
0,048080;1;0;1;0;0;1;0;0;0;crossover;1
0,048039;0;1;1;0;0;1;0;0;0;crossover;3
0,047841;0;0;1;1;0;1;0;0;0;initial;0
0,045808;1;0;1;0;1;1;0;0;0;initial;0
0,045792;0;0;1;0;0;1;0;0;1;crossover;34
0,045778;0;1;1;0;1;1;0;0;0;crossover;3
0,045427;1;0;1;0;0;1;1;0;0;crossover;13
0,045397;0;1;1;0;0;1;1;0;0;crossover;2
0,044191;1;1;1;0;0;1;0;0;0;crossover;1
0,044042;1;0;1;1;0;1;0;0;0;crossover;6
0,044012;0;1;1;1;0;1;0;0;0;initial;0
0,043365;1;0;0;0;1;1;0;0;0;initial;0
0,043325;0;1;0;0;1;1;0;0;0;initial;0
0,043152;1;1;1;0;1;1;0;0;0;initial;0
0,042856;1;0;0;0;0;1;1;0;0;crossover;3
0,042846;1;1;1;0;0;1;1;0;0;initial;0
0,042816;0;1;0;0;0;1;1;0;0;crossover;15
0,042800;1;0;0;0;0;1;1;1;0;initial;0
0,042770;0;1;0;0;0;1;1;1;0;initial;0
0,042505;1;0;1;0;0;1;0;0;1;initial;0
0,042475;0;1;1;0;0;1;0;0;1;initial;0
0,041738;1;1;1;1;0;1;0;0;0;initial;0
0,041592;1;0;1;0;1;0;0;0;0;mutation;21
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,050197;0;0;1;0;1;1;0;0;0;initial;0
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;59
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,050197;0;0;1;0;1;1;0;0;0;crossover;60
0,049687;0;0;1;0;0;1;1;0;0;crossover;16
0,049687;0;0;1;0;0;1;1;0;0;crossover;60
0,049687;0;0;1;0;0;1;1;0;0;crossover;60
0,049687;0;0;1;0;0;1;1;0;0;crossover;60
0,048080;1;0;1;0;0;1;0;0;0;crossover;1
0,048080;1;0;1;0;0;1;0;0;0;crossover;60
0,048080;1;0;1;0;0;1;0;0;0;crossover;60
0,048080;1;0;1;0;0;1;0;0;0;crossover;60
0,048039;0;1;1;0;0;1;0;0;0;crossover;3
0,048039;0;1;1;0;0;1;0;0;0;crossover;60
0,047841;0;0;1;1;0;1;0;0;0;initial;0
0,047841;0;0;1;1;0;1;0;0;0;crossover;59
0,045808;1;0;1;0;1;1;0;0;0;initial;0
0,045808;1;0;1;0;1;1;0;0;0;crossover;60
0,045792;0;0;1;0;0;1;0;0;1;crossover;34
0,045792;0;0;1;0;0;1;0;0;1;mutation;59
0,045792;0;0;1;0;0;1;0;0;1;crossover;60
0,045778;0;1;1;0;1;1;0;0;0;crossover;3
0,045427;1;0;1;0;0;1;1;0;0;crossover;13
0,045397;0;1;1;0;0;1;1;0;0;crossover;2
0,044191;1;1;1;0;0;1;0;0;0;crossover;1
0,044191;1;1;1;0;0;1;0;0;0;crossover;60
0,044042;1;0;1;1;0;1;0;0;0;crossover;6
0,044042;1;0;1;1;0;1;0;0;0;mutation;59
0,044042;1;0;1;1;0;1;0;0;0;crossover;60
0,044042;1;0;1;1;0;1;0;0;0;crossover;60
0,044012;0;1;1;1;0;1;0;0;0;initial;0
0,043365;1;0;0;0;1;1;0;0;0;initial;0
0,043325;0;1;0;0;1;1;0;0;0;initial;0
0,043152;1;1;1;0;1;1;0;0;0;initial;0
0,042856;1;0;0;0;0;1;1;0;0;crossover;3
0,042846;1;1;1;0;0;1;1;0;0;initial;0
0,042846;1;1;1;0;0;1;1;0;0;crossover;60
0,042816;0;1;0;0;0;1;1;0;0;crossover;15
0,042800;1;0;0;0;0;1;1;1;0;initial;0
0,042770;0;1;0;0;0;1;1;1;0;initial;0
0,042505;1;0;1;0;0;1;0;0;1;initial;0
0,042475;0;1;1;0;0;1;0;0;1;initial;0
0,041738;1;1;1;1;0;1;0;0;0;initial;0
0,041592;1;0;1;0;1;0;0;0;0;mutation;21
