File files/output_ga/ga_setpack_variance_log,csv
elapsed_time;max_gen_reached
1,687912;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,037148;0;1;1;0;0;0;0;0;1;initial;0
0,040509;1;1;1;0;0;1;0;0;1;initial;0
0,042800;1;0;0;0;0;1;1;1;0;initial;0
0,042475;0;1;1;0;0;1;0;0;1;initial;0
0,040745;1;1;0;0;0;1;1;1;0;initial;0
0,043152;1;1;1;0;1;1;0;0;0;initial;0
0,041738;1;1;1;1;0;1;0;0;0;initial;0
0,042505;1;0;1;0;0;1;0;0;1;initial;0
0,043325;0;1;0;0;1;1;0;0;0;initial;0
0,038961;1;0;0;0;0;1;0;0;1;initial;0
0,037541;0;1;0;0;0;0;1;1;0;initial;0
0,047841;0;0;1;1;0;1;0;0;0;initial;0
0,038921;0;1;0;0;0;1;0;0;1;initial;0
0,042846;1;1;1;0;0;1;1;0;0;initial;0
0,045808;1;0;1;0;1;1;0;0;0;initial;0
0,042770;0;1;0;0;0;1;1;1;0;initial;0
0,043365;1;0;0;0;1;1;0;0;0;initial;0
0,038888;1;1;0;1;0;1;0;0;0;initial;0
0,038943;1;1;1;0;0;0;1;0;0;initial;0
0,050197;0;0;1;0;1;1;0;0;0;initial;0
0,039435;1;1;1;0;0;0;0;0;0;initial;0
0,036317;1;1;0;0;0;0;1;1;0;initial;0
0,044012;0;1;1;1;0;1;0;0;0;initial;0
0,039237;1;0;1;1;0;0;0;0;0;initial;0
-0,652891;1;1;1;0;1;1;0;0;1;crossover;1
0,048080;1;0;1;0;0;1;0;0;0;crossover;1
-0,654178;1;0;0;0;1;1;0;0;1;crossover;1
0,044191;1;1;1;0;0;1;0;0;0;crossover;1
-0,648280;1;0;1;0;0;1;1;1;0;crossover;1
-0,650337;1;1;1;0;0;1;1;1;0;crossover;1
-0,654208;0;1;0;0;1;1;0;0;1;crossover;2
0,041010;1;0;0;1;0;1;0;0;0;crossover;2
0,040655;1;1;0;0;1;1;0;0;0;crossover;2
0,045397;0;1;1;0;0;1;1;0;0;crossover;2
0,039325;1;1;1;0;1;0;0;0;0;mutation;2
0,048039;0;1;1;0;0;1;0;0;0;crossover;3
0,045778;0;1;1;0;1;1;0;0;0;crossover;3
0,042856;1;0;0;0;0;1;1;0;0;crossover;3
-0,646430;1;0;1;0;0;1;0;1;0;crossover;3
-0,651286;0;1;0;0;1;1;1;0;0;crossover;4
-0,652641;1;0;0;1;1;1;0;0;0;mutation;4
-0,649966;1;0;0;0;1;1;0;1;0;mutation;4
-0,649031;0;1;1;0;1;1;1;0;0;mutation;5
-2,442373;0;0;1;1;0;0;0;0;0;mutation;5
-0,650821;0;0;1;1;0;1;0;0;1;mutation;5
0,040970;0;1;0;1;0;1;0;0;0;crossover;5
0,044042;1;0;1;1;0;1;0;0;0;crossover;6
-0,647899;0;0;1;1;0;1;1;0;0;crossover;8
-2,267224;0;0;0;1;1;0;1;1;1;diversification;11
-2,267677;1;0;0;1;1;0;1;1;1;diversification;11
-1,911076;0;0;0;1;1;0;0;1;1;diversification;11
-1,756280;0;1;0;0;1;0;1;1;1;diversification;11
-2,267697;0;1;0;1;1;0;1;1;1;diversification;11
-1,756752;1;1;0;0;1;0;1;1;1;diversification;11
-1,911514;1;0;0;1;1;0;0;1;1;diversification;11
-1,757930;1;1;0;1;0;0;1;1;1;diversification;11
0,041208;1;1;0;0;0;1;0;0;0;crossover;12
-1,341570;0;0;1;1;0;1;1;1;0;crossover;12
-1,757693;0;1;0;1;0;0;1;1;1;crossover;12
-1,754004;0;0;0;1;1;0;1;1;0;crossover;12
0,045427;1;0;1;0;0;1;1;0;0;crossover;13
-0,646133;0;0;1;0;1;1;1;0;0;crossover;14
-0,649269;1;1;1;0;0;1;0;1;0;crossover;15
0,042816;0;1;0;0;0;1;1;0;0;crossover;15
0,049687;0;0;1;0;0;1;1;0;0;crossover;16
-1,911826;1;1;0;1;1;0;0;1;1;diversification;21
0,041592;1;0;1;0;1;0;0;0;0;mutation;21
-1,350550;1;1;0;1;1;0;0;1;0;diversification;21
-1,911538;0;1;0;1;1;0;0;1;1;diversification;21
-1,756256;1;0;0;0;1;0;1;1;1;diversification;21
-0,650139;0;1;1;1;1;1;0;0;0;mutation;22
-2,429109;0;0;1;0;0;1;0;0;0;mutation;22
-0,650115;1;0;1;1;1;1;0;0;0;crossover;24
-0,645224;0;0;1;0;0;1;1;1;0;crossover;25
-0,649436;0;0;1;0;0;1;1;0;1;mutation;30
-1,908645;1;0;1;1;0;0;1;1;1;diversification;31
-1,349821;0;1;1;1;1;0;0;0;1;diversification;31
-0,651368;0;1;1;0;1;1;0;0;1;crossover;32
-1,903165;0;0;1;0;1;1;1;1;1;mutation;32
-1,907487;0;1;1;0;1;0;1;1;1;crossover;32
0,041552;0;1;1;0;1;0;0;0;0;crossover;33
0,045792;0;0;1;0;0;1;0;0;1;crossover;34
-0,649007;1;0;1;0;1;1;1;0;0;crossover;40
-1,755728;1;1;0;1;1;0;1;1;0;diversification;41
-2,041922;1;0;1;1;1;0;0;1;1;diversification;41
-2,449087;1;0;0;0;1;0;0;0;0;mutation;42
-0,651793;0;0;1;1;1;0;0;0;0;crossover;43
-0,650420;1;0;1;1;0;1;1;0;0;crossover;43
-0,649055;0;0;1;0;1;1;0;0;1;crossover;44
-1,050307;0;0;1;0;1;1;0;1;0;crossover;47
-1,757669;1;0;0;1;0;0;1;1;1;diversification;51
-1,353957;1;0;0;1;1;0;0;0;1;diversification;51
-0,647518;0;0;1;1;1;1;0;0;0;mutation;51
-2,359572;0;0;1;1;1;0;1;1;1;crossover;52
-2,434363;0;0;0;0;0;1;0;1;0;mutation;59
