File files/output_ga/ga_setpack_variance_outliers,csv
elapsed_time;max_gen_reached
2,367530;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Elite
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,017999;1;0;1;0;0;0;0;1;0;crossover;9
0,014691;0;1;1;0;0;0;0;1;0;crossover;9
0,014434;1;1;1;0;0;0;0;1;0;crossover;15
0,014170;0;0;1;0;0;1;0;1;0;initial;0
0,014044;1;0;1;0;0;1;0;1;0;initial;0
0,013903;0;0;1;0;0;0;1;1;0;initial;0
0,013844;1;0;1;0;0;0;1;1;0;initial;0
0,013697;1;0;1;0;1;0;0;0;0;crossover;4
0,013532;1;0;1;1;0;0;0;1;0;crossover;56
0,013488;0;0;1;1;0;0;0;1;0;crossover;23
0,013102;1;0;0;0;0;1;0;1;0;crossover;61
0,011983;1;1;1;0;0;1;0;1;0;initial;0
0,011823;1;1;1;0;0;0;1;1;0;crossover;2
0,011574;1;1;1;1;0;0;0;1;0;crossover;67
0,011563;0;1;1;0;0;1;0;1;0;crossover;24
0,011511;1;0;1;0;0;1;1;1;0;crossover;1
0,011425;1;1;1;0;0;0;0;0;0;crossover;32
0,011363;0;1;1;0;0;0;1;1;0;crossover;4
0,011262;1;0;1;1;0;1;0;1;0;crossover;26
0,011208;1;1;1;0;1;0;0;0;0;initial;0
0,011102;1;0;1;1;0;0;1;1;0;crossover;2
0,010972;0;0;1;0;0;1;1;1;0;crossover;9
0,010904;1;0;1;0;0;1;0;0;0;crossover;3
0,010818;1;0;1;0;1;1;0;0;0;crossover;3
0,010661;0;0;1;1;0;1;0;1;0;crossover;39
Last Generation
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,017999;1;0;1;0;0;0;0;1;0;crossover;9
0,017999;1;0;1;0;0;0;0;1;0;crossover;69
0,017999;1;0;1;0;0;0;0;1;0;crossover;69
0,017999;1;0;1;0;0;0;0;1;0;crossover;68
0,017999;1;0;1;0;0;0;0;1;0;crossover;69
0,017999;1;0;1;0;0;0;0;1;0;crossover;69
0,014691;0;1;1;0;0;0;0;1;0;crossover;9
0,014691;0;1;1;0;0;0;0;1;0;crossover;69
0,014434;1;1;1;0;0;0;0;1;0;crossover;15
0,014434;1;1;1;0;0;0;0;1;0;crossover;69
0,014434;1;1;1;0;0;0;0;1;0;crossover;69
0,014434;1;1;1;0;0;0;0;1;0;crossover;69
0,014434;1;1;1;0;0;0;0;1;0;crossover;69
0,014170;0;0;1;0;0;1;0;1;0;initial;0
0,014170;0;0;1;0;0;1;0;1;0;crossover;69
0,014170;0;0;1;0;0;1;0;1;0;crossover;68
0,014044;1;0;1;0;0;1;0;1;0;initial;0
0,014044;1;0;1;0;0;1;0;1;0;crossover;69
0,014044;1;0;1;0;0;1;0;1;0;crossover;69
0,014044;1;0;1;0;0;1;0;1;0;crossover;69
0,014044;1;0;1;0;0;1;0;1;0;crossover;69
0,014044;1;0;1;0;0;1;0;1;0;crossover;69
0,014044;1;0;1;0;0;1;0;1;0;crossover;69
0,013903;0;0;1;0;0;0;1;1;0;initial;0
0,013903;0;0;1;0;0;0;1;1;0;crossover;69
0,013844;1;0;1;0;0;0;1;1;0;initial;0
0,013697;1;0;1;0;1;0;0;0;0;crossover;4
0,013697;1;0;1;0;1;0;0;0;0;crossover;69
0,013532;1;0;1;1;0;0;0;1;0;crossover;56
0,013532;1;0;1;1;0;0;0;1;0;crossover;69
0,013488;0;0;1;1;0;0;0;1;0;crossover;23
0,013102;1;0;0;0;0;1;0;1;0;crossover;61
0,013102;1;0;0;0;0;1;0;1;0;crossover;61
0,011983;1;1;1;0;0;1;0;1;0;initial;0
0,011823;1;1;1;0;0;0;1;1;0;crossover;2
0,011574;1;1;1;1;0;0;0;1;0;crossover;67
0,011563;0;1;1;0;0;1;0;1;0;crossover;24
0,011511;1;0;1;0;0;1;1;1;0;crossover;1
0,011425;1;1;1;0;0;0;0;0;0;crossover;32
0,011425;1;1;1;0;0;0;0;0;0;crossover;69
0,011363;0;1;1;0;0;0;1;1;0;crossover;4
0,011363;0;1;1;0;0;0;1;1;0;crossover;69
0,011363;0;1;1;0;0;0;1;1;0;crossover;68
0,011262;1;0;1;1;0;1;0;1;0;crossover;26
0,011208;1;1;1;0;1;0;0;0;0;initial;0
0,011102;1;0;1;1;0;0;1;1;0;crossover;2
0,010972;0;0;1;0;0;1;1;1;0;crossover;9
0,010904;1;0;1;0;0;1;0;0;0;crossover;3
0,010818;1;0;1;0;1;1;0;0;0;crossover;3
0,010661;0;0;1;1;0;1;0;1;0;crossover;39
